Gene = Lce1k
index = 627
Annotated 5SS: [55]
Annotated 3SS: [992]
SMsplice 5SS: [158]
SMsplice 3SS: [992]
top_k =  1000
Partition function (log Z): -9.376252223158135

Sorted 5' Splice Sites (High to Low Probability):
Position 158: 0.5091190356538324
Position 380: 0.4029649785891324
Position 55: 0.28153109911579083
Position 721: 0.10971521929827006
Position 853: 0.020872869957157803
Position 476: 0.01431987886968704
Position 1494: 0.011095212114147854
Position 188: 0.005208448071022426
Position 126: 0.0049734889728384945
Position 518: 0.004570051829960197
Position 565: 0.003995268189016757
Position 80: 0.0035131444034268654
Position 265: 0.0027461433463440658
Position 176: 0.002688584195553268
Position 1084: 0.0022214768894123966
Position 1060: 0.001950392795204487
Position 1133: 0.0014384031894128257
Position 745: 0.0014056393108656203
Position 1399: 0.0009961370271401723
Position 399: 0.0009159553131699261
Position 162: 0.0009005177041953932
Position 22: 0.0007649144788468029
Position 365: 0.0006531904717827773
Position 1123: 0.0005908879533537932
Position 1498: 0.0005306872760381453
Position 220: 0.0004779921376507215
Position 321: 0.00041813498762322655
Position 819: 0.00041438320303791904
Position 839: 0.0004019692576516329
Position 1146: 0.0003340274087656641
Position 821: 0.0003242008149210288
Position 494: 0.0003231430824303684
Position 846: 0.00028360209601787533
Position 42: 0.0002707752193298693
Position 1113: 0.00025990988536929243
Position 1365: 0.0001962081757791056
Position 442: 0.00016096978042968971
Position 337: 0.0001300269385589668
Position 1419: 0.00012353383324043224
Position 617: 0.00011014087514488382
Position 554: 8.678523796315155e-05
Position 33: 7.916019630167394e-05
Position 711: 6.469654144013304e-05
Position 37: 4.8428644243529866e-05
Position 873: 4.610957520533191e-05
Position 124: 4.148568015155522e-05
Position 59: 3.6739790642631296e-05
Position 1155: 3.431840289142248e-05
Position 1164: 3.243462403261064e-05
Position 1469: 2.642581407548527e-05
Position 592: 2.6281403193506927e-05
Position 424: 2.451537192449514e-05
Position 725: 1.943363027393454e-05
Position 1188: 1.1467581812694728e-05
Position 222: 1.0542869093972323e-05
Position 542: 8.808857309687987e-06
Position 44: 8.352644641296202e-06
Position 4: 7.633128945168136e-06
Position 82: 6.087090281863886e-06
Position 61: 5.873844814959914e-06
Position 280: 3.471752398086069e-06
Position 411: 2.35673284645143e-06
Position 24: 1.856702489879587e-06
Position 257: 1.5888039934734837e-06
Position 269: 1.4326819883748527e-06
Position 290: 1.1061608271375423e-06
Position 46: 8.517640382734171e-07
Position 502: 8.048805491065576e-07
Position 346: 7.078198430666395e-07
Position 260: 5.380332789232987e-07
Position 552: 3.8971489585024975e-07
Position 693: 3.748861875524076e-07
Position 788: 1.8156321467705798e-07
Position 777: 1.7918838196084483e-07
Position 293: 1.7826888219787927e-07
Position 701: 4.9342310003980816e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 992: 0.5642160428854495
Position 1571: 0.1660944336565868
Position 265: 0.12431766177420894
Position 301: 0.11983298740525765
Position 278: 0.09652007260696611
Position 611: 0.09413309249729197
Position 637: 0.0417270443509191
Position 1149: 0.021980704578240876
Position 1221: 0.018459996756071708
Position 1257: 0.01792603884420231
Position 665: 0.01464242246766072
Position 1492: 0.011369009454702084
Position 1290: 0.010282466438971736
Position 1197: 0.009831265215695833
Position 899: 0.009272990293736018
Position 1497: 0.008491935067362228
Position 592: 0.0072998421908329275
Position 362: 0.006115636340236489
Position 238: 0.005579801937577195
Position 542: 0.005385726438289714
Position 784: 0.005371678093981812
Position 1173: 0.0045482405107299196
Position 1266: 0.0044588316346831055
Position 584: 0.0033384592103252605
Position 310: 0.002946932582985183
Position 693: 0.0021539138411220964
Position 1305: 0.002087956377488179
Position 1060: 0.001911583888474958
Position 1203: 0.0017221054978672156
Position 1414: 0.001483358636422679
Position 1010: 0.0012918616384527816
Position 719: 0.0012757624977384591
Position 1123: 0.0012181758750177856
Position 337: 0.001053840238485689
Position 452: 0.0007729632987235525
Position 1027: 0.0007371215205534039
Position 379: 0.0006491965646618198
Position 1308: 0.0006178217718853979
Position 699: 0.0004562532185344228
Position 424: 0.00040138934477009137
Position 1338: 0.0003196443679029527
Position 341: 0.0003034398386096206
Position 431: 0.0002506819210126457
Position 1335: 0.00020804477214918216
Position 1084: 0.00020669462903688833
Position 905: 0.00018944673844817223
Position 494: 0.0001727250186111245
Position 786: 0.0001673729994552206
Position 428: 0.0001250544929437753
Position 1365: 8.252431714318088e-05
Position 1573: 7.676947043390247e-05
Position 209: 5.1991371492768036e-05
Position 1032: 4.3569309289043645e-05
Position 1179: 4.207011658318566e-05
Position 814: 3.923222294779984e-05
Position 1039: 3.79560150716563e-05
Position 1534: 3.778007831020858e-05
Position 721: 3.43026498014517e-05
Position 517: 3.203381049208392e-05
Position 1368: 3.1179488331500136e-05
Position 435: 2.203515327108841e-05
Position 1248: 1.9011826959764973e-05
Position 937: 1.885429591712516e-05
Position 392: 1.6974132691933356e-05
Position 927: 1.64898121461554e-05
Position 523: 4.617466895185087e-06
Position 372: 3.986725656367968e-06
Position 512: 3.7744536011608733e-06
Position 215: 3.6242612608779474e-06
Position 136: 2.9465396742766975e-06
Position 472: 2.140465305293859e-06
Position 475: 1.7292020837747759e-06
Position 158: 1.5286253781848372e-06
Position 151: 1.3013822321279772e-06
Position 188: 1.2732401893853893e-06
Position 155: 7.598573514426913e-07
Position 468: 7.161807280847423e-07
Position 206: 5.790660669882321e-07
Position 397: 2.949579710267284e-07
Position 399: 1.0110041288150598e-07
Position 129: 8.193991558642833e-08
Position 388: 7.666763593077935e-08
Position 406: 5.805587938876535e-08
Position 404: 5.286200595401144e-08
Position 120: 3.8301658816013315e-08
Position 171: 3.608310573438749e-08
Position 140: 3.2875920763923666e-08
Position 402: 2.3891849568457477e-08
Position 466: 6.549704916560961e-09
Position 68: 5.212999385455026e-09
Position 94: 4.973752320438236e-09
Position 91: 4.6420548329131696e-09
Position 169: 3.8082318040831276e-11
Position 103: 2.2444734041667467e-11
Position 79: 8.164798159455592e-13
Position 110: 7.703825074072707e-13
Position 113: 5.845578758951261e-13
Position 73: 4.136760535527684e-13
Position 118: 2.9819742601999736e-13
Position 76: 2.4546083042293505e-17
Position 108: 8.177712722308792e-18
Position 116: 5.4013986830123816e-18
