Gene = Gyg
index = 530
Annotated 5SS: [   99  2367  4144  4558 17080 29839]
Annotated 3SS: [ 2230  3968  4394 16952 29618 32231]
SMsplice 5SS: [   99  4144  4558 17080 29839]
SMsplice 3SS: [ 3968  4394 16952 29718 32231]
top_k =  1000
Partition function (log Z): -14.484380580680554

Sorted 5' Splice Sites (High to Low Probability):
Position 17080: 0.9659837342238254
Position 4558: 0.9387695637983864
Position 99: 0.9302764725065119
Position 4144: 0.6783490232896011
Position 2367: 0.35535791211105194
Position 8219: 0.2386293021646893
Position 2276: 0.2016453112147544
Position 7814: 0.14865596742943285
Position 9732: 0.08898615512134841
Position 7389: 0.08445966750227434
Position 1789: 0.08428970217532969
Position 9021: 0.07283266201455206
Position 7163: 0.06815153886557249
Position 504: 0.06038118594163703
Position 922: 0.05404509866982428
Position 11278: 0.04650894679147265
Position 10638: 0.0441275205286092
Position 4546: 0.03931865345153019
Position 3907: 0.039175685590634064
Position 4907: 0.026829734627537148
Position 8721: 0.02562140359306036
Position 6402: 0.018604752177589754
Position 1401: 0.01736781191774414
Position 10567: 0.016223334290751706
Position 1637: 0.01279901705800733
Position 4594: 0.012591311511481901
Position 17114: 0.012372045234019455
Position 299: 0.01173093205747982
Position 3879: 0.010170881613728599
Position 3562: 0.00975395560319057
Position 573: 0.009544161431393547
Position 2565: 0.009155077119699455
Position 2350: 0.00890028132207315
Position 2863: 0.008523380163685193
Position 1785: 0.0057473440592823374
Position 5353: 0.0056086736846378
Position 6111: 0.005156707767787645
Position 4025: 0.004417566069943055
Position 158: 0.004205306685418166
Position 4006: 0.004049145578278118
Position 110: 0.003253232811019677
Position 4180: 0.003050718171261278
Position 4118: 0.0030332137981327278
Position 225: 0.003008962348670874
Position 255: 0.002654175247324318
Position 6087: 0.002532403743452068
Position 6954: 0.0024142120569518983
Position 1273: 0.0024123795856396115
Position 4095: 0.002244383556332746
Position 1738: 0.002008873711106361
Position 2473: 0.0018703504026288782
Position 2737: 0.0017748626137890197
Position 3255: 0.0017732165250206652
Position 1849: 0.001642815325874394
Position 1628: 0.0016184052264423218
Position 2329: 0.0015944150299989316
Position 4107: 0.001428228441500281
Position 5211: 0.00139946192718481
Position 1545: 0.0013777325493353383
Position 1674: 0.001017563487500358
Position 8995: 0.0009271204324634475
Position 400: 0.0008752441252785895
Position 8481: 0.0008150325868629773
Position 4314: 0.0006473421959186714
Position 951: 0.0005644004085390228
Position 1610: 0.000507295712894255
Position 4257: 0.0004631225088480244
Position 1520: 0.0003846135163070668
Position 984: 0.0003811841004370212
Position 344: 0.0003366910654482164
Position 8987: 0.0003089904239132319
Position 118: 0.0003039053907630245
Position 128: 0.0002728758190532905
Position 216: 0.00026269443887723225
Position 1446: 0.0002354953011662822
Position 796: 0.00021441869889448728
Position 1139: 0.0001934470542855396
Position 1383: 0.00017398691002152108
Position 2574: 0.0001584441130935902
Position 1474: 0.0001501790440588401
Position 5357: 0.0001427644535899998
Position 6869: 0.00013844157229517216
Position 1845: 0.00012225509726604178
Position 5504: 0.00011810563850528458
Position 1266: 0.00011452206766401267
Position 1961: 0.00010914717809143222
Position 1771: 0.00010774327156746623
Position 1449: 0.00010727401295646522
Position 5473: 0.00010510352834382481
Position 1285: 9.739171877601817e-05
Position 1894: 9.570687997297912e-05
Position 876: 7.529795576954187e-05
Position 6512: 7.23586563640169e-05
Position 612: 6.382297594414008e-05
Position 1678: 5.685332669315928e-05
Position 959: 4.3902760827128825e-05
Position 1010: 3.870007336821581e-05
Position 11309: 2.1790168983226303e-05
Position 2064: 1.173737416763777e-05
Position 2332: 5.879907555475911e-06
Position 281: 5.299599485792754e-06
Position 533: 4.022910658591355e-06
Position 604: 3.1507254651639662e-06
Position 8236: 3.0764372531252764e-06
Position 172: 3.0353798807621336e-06
Position 626: 2.879122211712871e-06
Position 589: 1.6883837991016772e-06
Position 48: 1.6368018684845528e-06
Position 2284: 1.4841991590771733e-06
Position 760: 1.1534184694482941e-06
Position 1341: 9.95532863130933e-07
Position 460: 7.98897868816678e-07
Position 1254: 7.039247803345715e-07
Position 621: 6.451488654825216e-07
Position 1370: 5.729321194819214e-07
Position 443: 4.835888333499278e-07
Position 542: 4.3341168721203463e-07
Position 462: 3.841954491785935e-07
Position 628: 3.757167196063672e-07
Position 739: 3.2991435434942675e-07
Position 1359: 2.658427316642276e-07
Position 906: 1.3042376510238834e-07
Position 596: 1.2807178820267035e-07
Position 815: 7.177245226523152e-08
Position 864: 6.18073384243325e-08
Position 6543: 4.902603899439759e-08
Position 831: 3.116386158099805e-08
Position 5347: 2.1421120938580783e-08
Position 782: 2.113545432696226e-08
Position 895: 1.4972354706173943e-08
Position 987: 6.092663343240964e-09
Position 452: 6.5966699477606e-10
Position 692: 5.047970319018022e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 16952: 0.9925017068156894
Position 4394: 0.9574637394043
Position 3968: 0.5637509788683847
Position 2230: 0.501399978235882
Position 8101: 0.2247887978929314
Position 22592: 0.14075984842521908
Position 26288: 0.13117636189499354
Position 7727: 0.12740104603722793
Position 17456: 0.12375006617054238
Position 3865: 0.09473855487146274
Position 18826: 0.08238230280457207
Position 17435: 0.08081284975433721
Position 20449: 0.07221183410916324
Position 8860: 0.07026793135897173
Position 10452: 0.06151764211893583
Position 4009: 0.06119437090551396
Position 22076: 0.046547115693491875
Position 6909: 0.0434103252168298
Position 21118: 0.04153229217092183
Position 2199: 0.04116620953156967
Position 9591: 0.03782189283431778
Position 385: 0.03652992044203371
Position 18787: 0.03460484164015826
Position 6979: 0.031247057700121216
Position 11124: 0.031107013847993165
Position 9664: 0.029455030053738743
Position 4431: 0.029104073214874272
Position 7095: 0.0283666071623961
Position 837: 0.027113517999976924
Position 17837: 0.027073731081035574
Position 1665: 0.02635483508597623
Position 8637: 0.025401470859921827
Position 18615: 0.024491768774239545
Position 4753: 0.022120379236046407
Position 19292: 0.02101341212323655
Position 1636: 0.020895893215510122
Position 7292: 0.019401858008018608
Position 18729: 0.018996785373886167
Position 20116: 0.018319827351793144
Position 7135: 0.017337090418574876
Position 17289: 0.017324055399231878
Position 1422: 0.016656934250819405
Position 19132: 0.014429107247620171
Position 7594: 0.013870739917149405
Position 21543: 0.013853055042040081
Position 1469: 0.013067493566717723
Position 3973: 0.012625847895735514
Position 17523: 0.01262537000582202
Position 11090: 0.012572788303440722
Position 1532: 0.012027681523685978
Position 7298: 0.01192899845000838
Position 8160: 0.011681972302161232
Position 9634: 0.011313630758023167
Position 2235: 0.010482144324429224
Position 1317: 0.010263188010524515
Position 2432: 0.010163586680665028
Position 796: 0.009842783211288128
Position 6314: 0.009653239833419702
Position 17414: 0.009623913553950158
Position 19268: 0.0070950593616361515
Position 20296: 0.007083622963621016
Position 7631: 0.006654608657361972
Position 1613: 0.006488701771268637
Position 3979: 0.006421434257394283
Position 19043: 0.006375173298111469
Position 2275: 0.006230019884537872
Position 1549: 0.006057367863072652
Position 4022: 0.005298141456449145
Position 9643: 0.005271052867126632
Position 9567: 0.005213076497119009
Position 18112: 0.005067417515637043
Position 18668: 0.004975377939416334
Position 5258: 0.004927115526814264
Position 2307: 0.004751363252631183
Position 18146: 0.004523566856710652
Position 8641: 0.004438997743127767
Position 1216: 0.004303737539005828
Position 4426: 0.0040759430623087045
Position 19862: 0.003837154980304488
Position 3373: 0.0036215093179443984
Position 18989: 0.003611216528965104
Position 6278: 0.0035860422872688786
Position 2762: 0.0034151913162450026
Position 10861: 0.0032594654583399645
Position 5918: 0.002957556616073365
Position 6933: 0.0028517424649312415
Position 6197: 0.002828781216951507
Position 3449: 0.0026646776592244652
Position 1180: 0.002495839281697846
Position 1563: 0.0024149415899265684
Position 2700: 0.002361616738523946
Position 8105: 0.0023250924289908003
Position 760: 0.0023103423633956005
Position 904: 0.0022711193727911975
Position 6298: 0.0022151320252547057
Position 18829: 0.002174124682392314
Position 4841: 0.0019657057605091633
Position 2601: 0.00178318673245894
Position 1682: 0.0016501484824634092
Position 18465: 0.001625868809256145
Position 3504: 0.0015545182471710186
Position 8384: 0.0014438694320725522
Position 1513: 0.0014430590290427127
Position 1652: 0.0014125493226742382
Position 4794: 0.0014098249001568922
Position 12610: 0.0013389100859480195
Position 615: 0.0013048853964606312
Position 5880: 0.0012605410033355653
Position 17214: 0.0012574105528267892
Position 3177: 0.001249967768651829
Position 2111: 0.0011837083340326335
Position 3340: 0.0011425018063623202
Position 1283: 0.001120598511105126
Position 4770: 0.0010836637736444023
Position 5863: 0.0010792250620182881
Position 1009: 0.00103028868230003
Position 4135: 0.0009703192272928717
Position 859: 0.0009638379655385618
Position 2035: 0.0009424502250093461
Position 2676: 0.0008498119296428996
Position 320: 0.0008166893427939152
Position 2134: 0.0007668639333432747
Position 1093: 0.0007627054578864299
Position 6003: 0.000738747414527546
Position 3384: 0.0007384432535098268
Position 11468: 0.000733463367365216
Position 5125: 0.0007186215045792926
Position 2819: 0.0007013786412652143
Position 4107: 0.0006965039084883821
Position 2349: 0.0006678517944476392
Position 705: 0.0006313831303576528
Position 6026: 0.0006275700921521058
Position 5769: 0.0005984197546009679
Position 3907: 0.0005981654975822394
Position 3932: 0.0005550471458639296
Position 5021: 0.0005375093000994238
Position 3142: 0.0005232487563688353
Position 6667: 0.0005100856360745958
Position 323: 0.0005070373765600271
Position 849: 0.00045583780492036295
Position 2080: 0.0004434344283245744
Position 5948: 0.0004403894177387265
Position 2063: 0.00041499513263205565
Position 5088: 0.00041304772724100845
Position 1242: 0.0003751514689824715
Position 1689: 0.0003632044585459456
Position 1072: 0.00034720813896835023
Position 5306: 0.0003356530947377506
Position 15527: 0.00032691938221016364
Position 298: 0.00032228704452077166
Position 7046: 0.00031562884733925554
Position 7656: 0.0002916549686019508
Position 211: 0.00028085608161622925
Position 2780: 0.0002611113546440485
Position 1574: 0.0002595617361684722
Position 1568: 0.00024557276999632966
Position 3422: 0.00022528436840932084
Position 2312: 0.00021669474574750996
Position 7731: 0.00021573766067229646
Position 7567: 0.00020871994133176826
Position 2725: 0.00020366602861311684
Position 5275: 0.00019589992890959836
Position 5410: 0.0001878862120128755
Position 6246: 0.00016695496961256133
Position 1670: 0.0001620163735901835
Position 14684: 0.00016022949053637667
Position 4775: 0.00015065989675211235
Position 1888: 0.0001506135327398748
Position 685: 0.0001480122744203174
Position 1645: 0.00014070418523952968
Position 7763: 0.00013570900148626348
Position 291: 0.00013173267758218352
Position 1947: 0.0001304258185659575
Position 12027: 0.00012334580397079482
Position 6280: 0.00011852231210582477
Position 10339: 0.00011778547013120782
Position 5215: 0.00011670274944403599
Position 681: 0.00011265733973545747
Position 2057: 0.00010825721797736972
Position 523: 0.00010551689694729859
Position 6450: 0.00010403954759237574
Position 1341: 0.00010281894424251579
Position 10163: 0.00010262488160447528
Position 10825: 0.00010051022319113968
Position 9095: 9.554182064055413e-05
Position 1260: 9.457056822298086e-05
Position 4799: 8.928617162344516e-05
Position 1236: 8.853500800709899e-05
Position 488: 7.967019942961947e-05
Position 8555: 7.590411141835205e-05
Position 1966: 7.463935191654991e-05
Position 1300: 7.041512060925688e-05
Position 8364: 6.867946474050998e-05
Position 2549: 6.1012027464657445e-05
Position 870: 5.8745056893165066e-05
Position 4482: 5.5456376638806486e-05
Position 6243: 5.130611560529633e-05
Position 2204: 4.682532004220026e-05
Position 954: 4.458992848312122e-05
