Gene = Eloc
index = 372
Annotated 5SS: [   63  8930 11199]
Annotated 3SS: [ 8876 11054 13405]
SMsplice 5SS: [   23 11199]
SMsplice 3SS: [11054 13405]
top_k =  1000
Partition function (log Z): -10.964552763493433

Sorted 5' Splice Sites (High to Low Probability):
Position 11199: 0.8267676907849204
Position 9558: 0.5184905924422799
Position 23: 0.4334915577119283
Position 63: 0.29495887007800586
Position 8930: 0.1714897968677453
Position 10360: 0.12140446769978912
Position 269: 0.09565744046266232
Position 589: 0.08374182999575201
Position 8945: 0.06033666841410409
Position 11203: 0.0547926479702237
Position 9286: 0.04725946398679509
Position 2585: 0.04459271793564941
Position 2646: 0.04087824485876335
Position 6290: 0.038927709046298296
Position 13498: 0.03189160883255678
Position 298: 0.028782634858840233
Position 10588: 0.028737579698067305
Position 503: 0.02862779552612769
Position 111: 0.0283547287016445
Position 3533: 0.02384374626703832
Position 5472: 0.016768466427362724
Position 2650: 0.016756306027079355
Position 3232: 0.014839748752938522
Position 3287: 0.014622866271317975
Position 3870: 0.013348261753852172
Position 3856: 0.012824222306901771
Position 8811: 0.012643543232624413
Position 2533: 0.011298632702241473
Position 80: 0.01058495882945882
Position 11929: 0.008011152184150556
Position 8383: 0.0077852125067937455
Position 13916: 0.006912312487525918
Position 7723: 0.00624819503909517
Position 9634: 0.005002433334224387
Position 7125: 0.004503439187677991
Position 12933: 0.00362127690324329
Position 12670: 0.003313738101152348
Position 9571: 0.0030297230383992445
Position 2492: 0.0027992891980139207
Position 8801: 0.0024710021418087452
Position 11101: 0.002283973411821702
Position 11212: 0.0012022126813273919
Position 44: 0.0007055601605180964
Position 392: 0.0006134150997859539
Position 10450: 0.0006007898764898237
Position 10621: 0.0005996172778098665
Position 10345: 0.0005812987248902009
Position 792: 0.0005782850201133431
Position 12039: 0.00047530202481750025
Position 522: 0.0004574757208718069
Position 1222: 0.0004008353227482194
Position 2758: 0.00021815543147191992
Position 1880: 0.0001717879637393799
Position 3236: 0.00013658779975700246
Position 3254: 0.0001325222740503293
Position 2073: 0.00011794612414442175
Position 1553: 9.332034876999229e-05
Position 1466: 9.270441202988695e-05
Position 115: 9.077954205920731e-05
Position 2577: 9.002507997240297e-05
Position 869: 7.204526900560847e-05
Position 273: 4.1601695235938545e-05
Position 194: 4.069512214877991e-05
Position 3647: 3.484689481767715e-05
Position 69: 3.2733843061539857e-05
Position 913: 2.8624803893346766e-05
Position 1897: 2.7911590342472302e-05
Position 636: 2.6775994107297654e-05
Position 1892: 2.5926874477694557e-05
Position 1540: 2.119204643393166e-05
Position 1934: 2.10585155666957e-05
Position 345: 2.0309084354819694e-05
Position 340: 2.006098725518667e-05
Position 32: 1.8706341192375256e-05
Position 1740: 1.7867422329326157e-05
Position 1218: 1.2030215107939265e-05
Position 862: 1.1825809644026808e-05
Position 3355: 1.0975062425929632e-05
Position 876: 9.69747845135089e-06
Position 1047: 9.207242645088167e-06
Position 67: 9.160011892974814e-06
Position 3037: 9.030159615852287e-06
Position 1034: 8.449897815552141e-06
Position 414: 7.091959565910804e-06
Position 1648: 6.221668616516836e-06
Position 376: 6.046515450943707e-06
Position 2453: 5.478736484024822e-06
Position 3321: 4.108812239743611e-06
Position 27: 3.8423370972710796e-07
Position 239: 2.7230317933029644e-07
Position 400: 1.1271069843302431e-07
Position 139: 1.0899857718580855e-07
Position 164: 8.054663825094976e-08
Position 17: 2.3317973300993676e-08
Position 481: 2.2601504491443652e-08
Position 424: 1.6129498277593474e-08
Position 1686: 1.1404639298323933e-08
Position 2239: 1.0889175523970925e-08
Position 2259: 9.150754169240169e-09
Position 1665: 7.244177507485166e-09
Position 609: 6.883524291807398e-09
Position 2139: 6.8403756805245364e-09
Position 594: 4.470300921911314e-09
Position 2019: 3.188639751251823e-09
Position 406: 7.590271146102642e-10
Position 692: 6.452561080523554e-11
Position 648: 3.7781083609340636e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 11054: 0.8900503716353404
Position 13405: 0.8047912935095377
Position 9473: 0.5318026555719109
Position 8718: 0.16942096986894203
Position 10275: 0.14428621646436887
Position 2388: 0.10267296210319954
Position 8876: 0.07899753421951985
Position 14433: 0.045971811865040534
Position 8991: 0.038345426463868605
Position 6200: 0.03415689295656901
Position 11741: 0.026650164169795335
Position 3719: 0.024383280572843714
Position 3485: 0.020734290191731366
Position 3171: 0.015965344199041706
Position 3146: 0.015273180095213635
Position 10476: 0.014467194088448182
Position 12130: 0.01377373973985164
Position 9830: 0.013061742178559457
Position 5309: 0.012100576568451867
Position 13676: 0.010781665947008577
Position 11605: 0.01004223645954625
Position 2491: 0.009746424418288905
Position 9026: 0.009708811464093364
Position 13497: 0.009260060630457145
Position 13744: 0.009066367107606539
Position 8159: 0.008166732048521669
Position 13047: 0.007970721625016684
Position 13944: 0.007542664286108513
Position 11772: 0.00739423083343518
Position 13218: 0.007106479768029877
Position 12781: 0.006566539318088767
Position 7633: 0.006172214314493324
Position 13915: 0.006158486874755171
Position 13747: 0.005549825866767611
Position 11980: 0.005307429286557201
Position 12528: 0.005040578321380463
Position 6204: 0.004839472525192881
Position 13410: 0.00452732791552879
Position 9991: 0.0039450169064385535
Position 11542: 0.0033590334543213275
Position 2574: 0.002520681246237935
Position 424: 0.0025134839652462063
Position 11877: 0.0024251847362474037
Position 3502: 0.0023364855949226447
Position 13260: 0.0020491127891848282
Position 11952: 0.0019118477320267033
Position 5369: 0.0017878429992003514
Position 460: 0.0015477683815943851
Position 14104: 0.0015302113971887364
Position 9633: 0.0014280513029163206
Position 5312: 0.0014030269723794547
Position 6909: 0.0013650331785678284
Position 2393: 0.0013089797653161308
Position 466: 0.0012846945230116024
Position 6748: 0.0012247248184783328
Position 11909: 0.0011868838420484283
Position 13633: 0.001122056202931778
Position 7106: 0.001113449568957363
Position 11824: 0.0010942946058958162
Position 3499: 0.001088736937556371
Position 5329: 0.0010340156997184157
Position 14878: 0.0010250651606806848
Position 323: 0.0010167017676211997
Position 2520: 0.0009342987908652875
Position 12419: 0.0008791823621468598
Position 6792: 0.000830438224995329
Position 11842: 0.0008008425199107858
Position 3730: 0.0006804022715089441
Position 12760: 0.0006699723063915987
Position 5414: 0.0005274046134074212
Position 13514: 0.0004960048364567418
Position 11920: 0.0004323456856697141
Position 212: 0.0004140599795498093
Position 9665: 0.00039249805638608636
Position 2851: 0.00035135289127526885
Position 3414: 0.0003473969182971267
Position 431: 0.0002530753981043735
Position 1833: 0.00022615907205357478
Position 7603: 0.00020823246705819302
Position 571: 0.00016208405686713446
Position 106: 0.00012284749655012836
Position 8475: 0.00010344512177448843
Position 2691: 7.794387045608514e-05
Position 1365: 7.573804134527387e-05
Position 1707: 6.638733584449196e-05
Position 8126: 6.622361756074077e-05
Position 690: 5.736993800612772e-05
Position 1781: 5.4889330660805556e-05
Position 1620: 5.091132320279084e-05
Position 5130: 4.597794608069982e-05
Position 7297: 4.517177951571527e-05
Position 4550: 4.280208273290068e-05
Position 437: 3.80952680057398e-05
Position 2865: 3.247340252119433e-05
Position 1357: 3.058321104215571e-05
Position 4446: 3.0184571191902785e-05
Position 4893: 2.8001893405868764e-05
Position 4408: 2.6770283701967727e-05
Position 1018: 2.5335076112144125e-05
Position 1428: 2.4983189459830285e-05
Position 7960: 2.3972293485502204e-05
Position 178: 2.3683538816322096e-05
Position 2934: 2.3005112722764676e-05
Position 4787: 2.2440168991357995e-05
Position 1726: 2.1840501710969557e-05
Position 4897: 1.8348197826215527e-05
Position 1031: 1.6982830746427088e-05
Position 139: 1.632721565970218e-05
Position 4004: 1.5995006225666218e-05
Position 1799: 1.4411982073593542e-05
Position 1046: 1.4367244047894967e-05
Position 7357: 1.3834596608294226e-05
Position 1793: 1.326048097708827e-05
Position 779: 1.2881891307958415e-05
Position 661: 1.2543976036224534e-05
Position 2533: 1.2023222932265674e-05
Position 4941: 1.1917442535945165e-05
Position 1212: 1.0234716579268242e-05
Position 2983: 1.0005388500408012e-05
Position 2931: 9.544655045652391e-06
Position 6448: 9.40346181260744e-06
Position 5163: 9.083441720145769e-06
Position 4912: 8.673993572324878e-06
Position 2435: 8.607654428462502e-06
Position 6542: 8.534341443876792e-06
Position 2438: 8.0826283301156e-06
Position 1255: 7.925980401317194e-06
Position 4096: 7.760612530516036e-06
Position 913: 7.467408253867896e-06
Position 5917: 7.229844917444159e-06
Position 259: 6.6344973895040485e-06
Position 2500: 5.904893504428306e-06
Position 829: 5.758713748377412e-06
Position 1504: 5.549665143031439e-06
Position 2644: 5.410563645142915e-06
Position 4255: 5.3053732711190185e-06
Position 4051: 5.294289355442952e-06
Position 695: 4.4219951462557e-06
Position 1842: 4.399514487131303e-06
Position 2003: 4.0210727286918985e-06
Position 236: 3.732453513340589e-06
Position 954: 3.6157729574358334e-06
Position 1277: 3.3083865440749703e-06
Position 1038: 2.904386775377367e-06
Position 3440: 2.4625633318899276e-06
Position 620: 2.1871672151775082e-06
Position 3363: 2.1619837413521565e-06
Position 737: 2.0711641494907824e-06
Position 1442: 1.9015761387561522e-06
Position 3922: 1.8011197156630333e-06
