Gene = Leng1
index = 631
Annotated 5SS: [ 525 2159 3070]
Annotated 3SS: [1978 2815 4479]
SMsplice 5SS: [ 525 2159]
SMsplice 3SS: [1978 4479]
top_k =  1000
Partition function (log Z): -2.4576665115661154

Sorted 5' Splice Sites (High to Low Probability):
Position 2159: 0.9885745029772702
Position 525: 0.9663303895853984
Position 3070: 0.5349929857606444
Position 4577: 0.2974297626148798
Position 2838: 0.04682466797131663
Position 2667: 0.04338236659332354
Position 1887: 0.04323336424038109
Position 3083: 0.03759587639582181
Position 3235: 0.024607232130423536
Position 201: 0.023226829802581155
Position 4565: 0.015112273564502272
Position 2723: 0.013308304109247058
Position 1339: 0.010023253987454222
Position 2681: 0.008188968605988617
Position 586: 0.007125112101240292
Position 4182: 0.0065268885246569
Position 2272: 0.005896484956749442
Position 3204: 0.005855087868398203
Position 107: 0.005625999408884718
Position 3538: 0.005478693758773262
Position 1730: 0.0053921066130877306
Position 1259: 0.005353694117742651
Position 3126: 0.005097597847551689
Position 378: 0.004676812322168241
Position 3814: 0.003399501806397693
Position 823: 0.003307819582522098
Position 2893: 0.00225579904304476
Position 4595: 0.002131256238720269
Position 5136: 0.002117108340644228
Position 131: 0.0020261730534976313
Position 4119: 0.0019298783561457528
Position 423: 0.0017351338401635607
Position 450: 0.001675871004896001
Position 4230: 0.0016232348440964205
Position 3172: 0.0015739685962013943
Position 2698: 0.0015711969059114986
Position 2525: 0.0014819354136761077
Position 3571: 0.0012789924954457234
Position 2717: 0.001221650405211013
Position 90: 0.0011593892866249454
Position 504: 0.0010840440110483622
Position 2709: 0.0010250864599211915
Position 5188: 0.0009871431635119833
Position 4323: 0.0008709665477355707
Position 2746: 0.0008671523552838158
Position 969: 0.0008602837660816522
Position 3109: 0.0008584754929239227
Position 1649: 0.0008353313447935217
Position 2573: 0.0007292801740646649
Position 1422: 0.0006350667465115499
Position 4142: 0.0005957422804282115
Position 952: 0.0005908109659392544
Position 573: 0.0005767111541051341
Position 25: 0.0005692467026011192
Position 1720: 0.0005451110837672762
Position 187: 0.00047364632445740754
Position 3597: 0.00043720554512472224
Position 3018: 0.00042231042678207416
Position 3027: 0.0003975802718691095
Position 2061: 0.00037550815555157106
Position 1503: 0.0003671551237015432
Position 1602: 0.0003595709410242064
Position 761: 0.0003339491790550981
Position 5321: 0.00031228123264920814
Position 4283: 0.0002906244536086608
Position 179: 0.0002901576532036939
Position 349: 0.0002625244388071609
Position 5329: 0.0002401166742776521
Position 736: 0.00023765022413167148
Position 1511: 0.00021796597557728704
Position 887: 0.00020278980384932867
Position 70: 0.00018742715100112097
Position 843: 0.00018549078599895523
Position 309: 0.00014792545574238145
Position 5038: 0.0001309708942007942
Position 4248: 0.00012998751852151907
Position 2194: 0.00012867308759586575
Position 5132: 0.00011808673328340441
Position 590: 0.00011727895806572128
Position 1983: 0.00011220893146505305
Position 359: 0.00011080303005471382
Position 5104: 9.700244921650817e-05
Position 828: 9.096775376658378e-05
Position 4435: 8.998772699838288e-05
Position 4418: 8.705636361625035e-05
Position 1437: 8.572716787211293e-05
Position 1879: 8.147409830449651e-05
Position 1472: 7.572044558668575e-05
Position 441: 7.115087335972541e-05
Position 1417: 6.691658401218947e-05
Position 57: 5.578022698030109e-05
Position 2224: 5.0487079188715175e-05
Position 1928: 4.9273760977888173e-05
Position 274: 4.461763599576042e-05
Position 905: 4.165367070199562e-05
Position 371: 3.7598885930316644e-05
Position 41: 3.5919889279487294e-05
Position 3777: 3.501831513127896e-05
Position 1228: 3.456417242030604e-05
Position 2364: 2.8756470543694616e-05
Position 1863: 2.8755619357359956e-05
Position 2862: 2.517818982558662e-05
Position 1348: 2.3672303556080418e-05
Position 136: 1.9639942994525503e-05
Position 723: 1.8473355004230928e-05
Position 2080: 1.7320337231806828e-05
Position 2111: 1.6180507570310835e-05
Position 594: 1.5512164977564226e-05
Position 1176: 1.5086592346408785e-05
Position 662: 1.3904038230689591e-05
Position 2386: 1.3874722355308437e-05
Position 660: 1.326561767655843e-05
Position 4001: 1.2677191042584217e-05
Position 2213: 1.2332744768080063e-05
Position 896: 1.2286861684773812e-05
Position 1004: 1.1222726592867767e-05
Position 975: 1.0897851396304827e-05
Position 3562: 1.0532797118445467e-05
Position 1606: 9.359623206093234e-06
Position 2798: 7.869572676865805e-06
Position 604: 6.443719260913281e-06
Position 1054: 5.327208323206866e-06
Position 592: 4.656600501616695e-06
Position 2488: 4.368609981921787e-06
Position 2431: 3.924230144906129e-06
Position 2163: 3.594282258649319e-06
Position 4853: 3.3400308060732374e-06
Position 2588: 3.2351969976016636e-06
Position 2276: 2.1186661482622776e-06
Position 2335: 1.9787076619976226e-06
