Gene = Chek1
index = 261
Annotated 5SS: [   96   862  2862  3898  4055  7155  8328 10233 12234 12976 13338 14617]
Annotated 3SS: [  779  2637  3832  3984  6965  8222 10136 12124 12797 13205 14514 16227]
SMsplice 5SS: [   96   862  7155 10233 12234 12976 13338 14617]
SMsplice 3SS: [  779  6965 10136 12124 12797 13205 14514 17409]
top_k =  1000
Partition function (log Z): 7.412901812189357

Sorted 5' Splice Sites (High to Low Probability):
Position 13338: 0.9980377104941506
Position 7155: 0.9520038161815446
Position 14617: 0.9317371625469315
Position 12234: 0.9276330519586804
Position 10233: 0.8827870477735894
Position 12976: 0.8359424115250983
Position 96: 0.7726218610180083
Position 862: 0.6420108280415691
Position 4055: 0.41618205276958564
Position 3898: 0.37695987811210036
Position 8328: 0.36130426858501785
Position 14829: 0.22634163090398807
Position 2343: 0.2091136225864954
Position 7626: 0.20101828110127423
Position 15311: 0.14992099173199205
Position 12547: 0.1478289382278367
Position 8366: 0.14191574397766085
Position 993: 0.14027860299007627
Position 15273: 0.1364736050816586
Position 17516: 0.13441178011264387
Position 5417: 0.11904470811257327
Position 2862: 0.1067500077156813
Position 10560: 0.0957241877959782
Position 7680: 0.09313318962580969
Position 16303: 0.09269024433107478
Position 8502: 0.0873247697136405
Position 8059: 0.07174202558946192
Position 3946: 0.05981591739673285
Position 1187: 0.05471181056281167
Position 404: 0.05275589149029217
Position 10468: 0.052377863555536336
Position 3902: 0.04794406694157259
Position 648: 0.04441451523790324
Position 1398: 0.04361578641241932
Position 5809: 0.04287715358886155
Position 7372: 0.0372378463989501
Position 849: 0.031079093378959678
Position 6499: 0.0283091239717299
Position 276: 0.027943201687338094
Position 9685: 0.025519554349740303
Position 665: 0.021084805585820442
Position 8655: 0.019186030672831166
Position 726: 0.019093141769255178
Position 5378: 0.01909179987650683
Position 2290: 0.018885217545121125
Position 14838: 0.017731244240841465
Position 15307: 0.016870238480307987
Position 16351: 0.015291859307782575
Position 11309: 0.014463030889752366
Position 2128: 0.014348858866007192
Position 12608: 0.013994277822535376
Position 9965: 0.013739809883105674
Position 17909: 0.013054001696554178
Position 17120: 0.012631165393586177
Position 4479: 0.011824993444593635
Position 13904: 0.011661399934941238
Position 10043: 0.010886719691400966
Position 14417: 0.010431123302533134
Position 3597: 0.010358597180943578
Position 10210: 0.010122527770567668
Position 10272: 0.009802770432317634
Position 8362: 0.009170423389237466
Position 202: 0.008832917259195579
Position 2552: 0.008762650160945617
Position 16506: 0.008203938646562447
Position 8380: 0.007206796756839659
Position 644: 0.007033026444517022
Position 8351: 0.006948936745875036
Position 412: 0.006651534979797481
Position 8617: 0.006149127225951584
Position 7001: 0.005772458676375716
Position 37: 0.004294813034125301
Position 5847: 0.004232482568587309
Position 12155: 0.004225007549197382
Position 11107: 0.0037300062665816076
Position 4: 0.003710598621188025
Position 1230: 0.003544274746863993
Position 16547: 0.0033772104185752416
Position 1402: 0.0030733005562214332
Position 12956: 0.003010366900394252
Position 938: 0.00300006249375395
Position 13871: 0.002997046456917651
Position 12944: 0.002829994021764043
Position 15035: 0.002599252618523353
Position 16137: 0.002336775317063358
Position 289: 0.002276196354088385
Position 4516: 0.0022640248139999624
Position 10629: 0.0022301926864501044
Position 367: 0.0021769311468600445
Position 7734: 0.0019964908423310847
Position 10084: 0.001867574480521398
Position 2812: 0.0015988241820097694
Position 2268: 0.0015366749536284865
Position 107: 0.0015153719754190437
Position 5412: 0.0011997602535671224
Position 552: 0.0011535995998414297
Position 16159: 0.0010654339126434046
Position 391: 0.0010446276556461038
Position 17541: 0.000974247799197861
Position 629: 0.0009228093453988969
Position 956: 0.000823777382709944
Position 7657: 0.0007226440500664407
Position 14380: 0.0007094790526047481
Position 3014: 0.0006476742977702737
Position 117: 0.0004536226356144971
Position 14213: 0.0004497892786057248
Position 17552: 0.0003543312498341264
Position 17943: 0.0003425559952880546
Position 634: 0.00034159189203334094
Position 315: 0.0003380885979311156
Position 14328: 0.0002774106157139683
Position 657: 0.00026571738047994524
Position 2256: 0.0002457235533587589
Position 436: 0.00024475176575568627
Position 12937: 0.0002145821088103061
Position 1973: 0.00021137985626279877
Position 13327: 0.00021085644123638113
Position 15049: 0.00020741949438838586
Position 681: 0.00020068660061313412
Position 7648: 0.00019366434839096058
Position 13342: 0.0001837269947887548
Position 12217: 0.00017591614742288128
Position 13347: 0.00014106989523887285
Position 13899: 0.00013988983238095518
Position 13985: 0.00013841184878483301
Position 14804: 0.00013502573596978743
Position 13084: 0.00012850577191265316
Position 13039: 0.00012729359856516833
Position 380: 0.00011999774925482575
Position 623: 0.00011425569017548586
Position 2301: 0.00011086378127629974
Position 12877: 0.00010637513629441951
Position 12918: 0.00010221974023953883
Position 153: 0.00010031097640687088
Position 830: 8.226341735315129e-05
Position 7630: 7.839970400411263e-05
Position 13908: 7.730411250522733e-05
Position 12889: 7.36995350122442e-05
Position 559: 7.339081731185817e-05
Position 604: 7.198082951826309e-05
Position 16144: 6.971392061021321e-05
Position 236: 6.548823526189076e-05
Position 184: 5.98940849500879e-05
Position 589: 5.498187456017103e-05
Position 14813: 5.1174392584895285e-05
Position 445: 4.7791124522631854e-05
Position 1052: 4.5969008155619314e-05
Position 14596: 4.21260711613405e-05
Position 55: 3.7708645644506505e-05
Position 13998: 3.3891057552930335e-05
Position 684: 3.27426073818785e-05
Position 160: 3.226709471701149e-05
Position 752: 2.970997312514241e-05
Position 6: 2.9373919873100866e-05
Position 16288: 2.782270655456225e-05
Position 14957: 2.3830976173393676e-05
Position 14422: 2.2561534521699614e-05
Position 13958: 2.149122440169786e-05
Position 1224: 1.931531155537607e-05
Position 13324: 1.8860127135092827e-05
Position 986: 1.788988571422639e-05
Position 14352: 1.7367396489660583e-05
Position 13301: 1.55578997801144e-05
Position 158: 1.292533473210608e-05
Position 2272: 1.1593392133501118e-05
Position 243: 1.1535123541791953e-05
Position 14572: 1.121779659383886e-05
Position 181: 1.0892146858874098e-05
Position 981: 1.0768918323052864e-05
Position 779: 9.54921280962314e-06
Position 385: 7.469089323953903e-06
Position 872: 6.731174471202931e-06
Position 735: 5.225990999316879e-06
Position 803: 5.093131477517377e-06
Position 356: 4.350646728512875e-06
Position 714: 3.7681012888379625e-06
Position 794: 2.7676747656926777e-06
Position 866: 2.6138927991181652e-06
Position 897: 2.3161715799727067e-06
Position 785: 1.8932817318879756e-06
