Gene = Sbspon
index = 947
Annotated 5SS: [  284  9077 32462 33834]
Annotated 3SS: [ 8881 32370 33656 36859]
SMsplice 5SS: [  284  4418 25831 33834]
SMsplice 3SS: [ 4316 25729 33656 36859]
top_k =  1000
Partition function (log Z): -22.365129706094812

Sorted 5' Splice Sites (High to Low Probability):
Position 284: 0.9864782467914713
Position 4418: 0.6701699422353103
Position 7863: 0.6233775222583761
Position 8930: 0.5690598131755149
Position 1707: 0.29684704562588704
Position 8199: 0.28406033095420274
Position 11826: 0.2789977291368556
Position 5911: 0.24084504623668174
Position 1185: 0.13766167527288645
Position 9077: 0.12100143844836043
Position 7587: 0.10511834058608018
Position 5251: 0.09733640226039282
Position 5277: 0.08226616202908774
Position 1764: 0.07459630478981712
Position 5239: 0.0677184551571358
Position 1345: 0.03982929192844153
Position 16763: 0.031646117091188294
Position 16785: 0.031076271519976804
Position 5434: 0.025398443554117515
Position 12227: 0.022883501380579555
Position 1051: 0.022564859226969682
Position 8833: 0.019374169066661277
Position 6221: 0.01698231274333663
Position 8968: 0.015336701937908925
Position 2884: 0.013134765502386216
Position 4459: 0.011219892187954482
Position 6176: 0.009436320353013573
Position 16779: 0.00919218927817619
Position 4366: 0.007120367621402796
Position 927: 0.006760418188998821
Position 3341: 0.005896822621869651
Position 7058: 0.005474150047762979
Position 559: 0.005124380464072002
Position 1685: 0.004044849250884639
Position 5983: 0.002678517563231531
Position 2627: 0.002454077775929781
Position 4855: 0.002316165130799455
Position 3739: 0.0022244214633797186
Position 3550: 0.0022050703209446046
Position 2691: 0.0015912283452405827
Position 3914: 0.001517957961700732
Position 38: 0.0015059350173139518
Position 3925: 0.0014455212437535765
Position 88: 0.0013205318443437724
Position 3828: 0.0012821521692880364
Position 979: 0.001270081295295563
Position 6181: 0.0012567325875353348
Position 8313: 0.0011968164032595194
Position 2445: 0.0011863465131004708
Position 4242: 0.001132512989602603
Position 703: 0.0010774632780856381
Position 540: 0.0010285684130146527
Position 93: 0.0010080540531696167
Position 4593: 0.0009152092869044962
Position 1034: 0.0007346827463873023
Position 3434: 0.0006244678565988664
Position 4567: 0.0005631077958153842
Position 2698: 0.00048397099098017353
Position 5298: 0.00046586280293512924
Position 752: 0.00037305973001572974
Position 1582: 0.0003578258012779398
Position 276: 0.000258740753788114
Position 9217: 0.00021217451840243513
Position 2981: 0.00019971627421750863
Position 375: 0.0001840185538927999
Position 334: 0.00015404902940117178
Position 609: 0.00015070769749071718
Position 205: 0.00011908200717648684
Position 288: 0.00011165744190044245
Position 760: 0.0001101687912756772
Position 710: 9.18029375208849e-05
Position 1026: 8.068423427515149e-05
Position 720: 7.81848493219389e-05
Position 224: 7.789248012801352e-05
Position 155: 7.613491986611768e-05
Position 239: 5.560847069174704e-05
Position 1405: 5.38015756799449e-05
