Gene = Apoc4
index = 132
Annotated 5SS: [ 175 2870]
Annotated 3SS: [2736 3166]
SMsplice 5SS: [175]
SMsplice 3SS: [2736]
top_k =  1000
Partition function (log Z): -9.442350210081035

Sorted 5' Splice Sites (High to Low Probability):
Position 175: 0.9027362757877391
Position 2870: 0.19216930994341325
Position 2799: 0.10515434540857259
Position 621: 0.05049981095105128
Position 113: 0.02722070991614077
Position 1199: 0.01816144369171358
Position 2083: 0.016300548845861785
Position 2625: 0.014150403679562553
Position 255: 0.01129097016061791
Position 200: 0.009157874376055223
Position 162: 0.00913222007745141
Position 171: 0.008094589909582952
Position 2615: 0.007082914797505427
Position 2661: 0.004966391519429003
Position 243: 0.004927440867308609
Position 2649: 0.0024639648859875562
Position 138: 0.0023288936310413757
Position 2835: 0.0021179830531387425
Position 592: 0.0020661271260813616
Position 2644: 0.001682951584310838
Position 2057: 0.0015842560946282506
Position 41: 0.0012013610275616112
Position 669: 0.0010164001596356992
Position 2040: 0.0009586239157561799
Position 2223: 0.0008551034837009706
Position 2127: 0.0007129639896413982
Position 2010: 0.0006604395980674317
Position 2210: 0.0004873221881782667
Position 239: 0.00043301707300072656
Position 3136: 0.0004077822513407981
Position 3099: 0.0003864271151415359
Position 2135: 0.0003581446871668197
Position 1670: 0.00023974892893293228
Position 1429: 0.00021866695194050316
Position 1162: 0.00021480004311338872
Position 582: 0.00014183395262467888
Position 485: 0.00013490614306581602
Position 1273: 0.00010766712737539591
Position 1460: 9.868221478236098e-05
Position 896: 8.348821959787858e-05
Position 448: 8.039698879296548e-05
Position 150: 6.104806487636577e-05
Position 247: 5.0685766753078415e-05
Position 2460: 4.745965791972196e-05
Position 1238: 3.682612588016803e-05
Position 2517: 3.651024052301334e-05
Position 2500: 3.508106209727267e-05
Position 89: 3.353753248010147e-05
Position 1550: 2.686443047844147e-05
Position 1635: 1.9506914896603497e-05
Position 366: 1.9131817459228154e-05
Position 1982: 1.606865656200654e-05
Position 2106: 1.4182660410339334e-05
Position 550: 6.194843171124638e-06
Position 266: 2.498041023227982e-06
Position 463: 2.2701624961555066e-06
Position 54: 2.2313365532320265e-06
Position 445: 2.171663856847827e-06
Position 384: 1.6053458942997558e-06
Position 281: 1.531919418772321e-06
Position 392: 1.4735219818702725e-06
Position 884: 1.3830164916433022e-06
Position 343: 1.232837218421317e-06
Position 205: 1.1992745880545252e-06
Position 399: 1.1712190313869513e-06
Position 326: 1.0769087820080344e-06
Position 101: 9.82381085177284e-07
Position 460: 9.46961755666807e-07
Position 942: 9.325080819830464e-07
Position 763: 6.439881094171655e-07
Position 155: 6.196810582115218e-07
Position 640: 5.225346137766375e-07
Position 1604: 4.6815528654500263e-07
Position 900: 4.467077761035531e-07
Position 370: 4.392894575010396e-07
Position 1539: 3.640313551609333e-07
Position 846: 3.538740470207061e-07
Position 1122: 3.4060939258249307e-07
Position 182: 3.0494781894240834e-07
Position 922: 2.7229907720559126e-07
Position 302: 2.395805952729469e-07
Position 832: 2.3089898264248102e-07
Position 809: 1.9292340036130247e-07
Position 49: 1.7856569902942402e-07
Position 214: 1.3103259277160573e-07
Position 625: 1.2678393533572795e-07
Position 881: 6.536240068424765e-08
Position 586: 6.226119386760475e-08
Position 382: 5.804930318620678e-08
Position 20: 5.34111648309207e-08
Position 1071: 4.838413938351089e-08
Position 227: 4.775300681585742e-08
Position 29: 4.032030714628651e-08
Position 871: 3.900846244267541e-08
Position 364: 3.565187492244636e-08
Position 1218: 3.254138368682619e-08
Position 813: 3.0310626616166996e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 2736: 0.5237229967516979
Position 3166: 0.16757277878520213
Position 1014: 0.11200645381937589
Position 2590: 0.10059238586383187
Position 3242: 0.0805533061187515
Position 1892: 0.07112538122238528
Position 1925: 0.0450166721431514
Position 3197: 0.042293407531030544
Position 1813: 0.02728650458056091
Position 540: 0.026617235089017678
Position 689: 0.019428352782407326
Position 2751: 0.018814517125791054
Position 3059: 0.016845156622137508
Position 3149: 0.01389102520138393
Position 3023: 0.012851249269278947
Position 3210: 0.012526054911015896
Position 522: 0.010465074505108175
Position 3129: 0.008701951636789235
Position 2689: 0.0077402746711320155
Position 1141: 0.00571224624987799
Position 836: 0.004737409057441509
Position 1575: 0.004348187428578636
Position 2007: 0.0039144525484380065
Position 1449: 0.00381263452151237
Position 1284: 0.0034542826064610115
Position 1596: 0.003311379439190417
Position 1358: 0.0031370677391865435
