Gene = C530008M17Rik
index = 197
Annotated 5SS: [   76   325  8383 10806 14519 18547 25592 26736]
Annotated 3SS: [  189  8217 10736 14335 15731 25400 26572 29917]
SMsplice 5SS: [  325  8383  9512  9797 10806 14519 25592 26736]
SMsplice 3SS: [ 8217  9242  9612 10736 14335 25400 26572 29917]
top_k =  1000
Partition function (log Z): 5.289930253461031

Sorted 5' Splice Sites (High to Low Probability):
Position 10806: 0.9985211538986176
Position 325: 0.9879279618895447
Position 26736: 0.9858561789120623
Position 25592: 0.7798520217479435
Position 8383: 0.7404066727474561
Position 2600: 0.64605914966856
Position 9512: 0.6293325875349731
Position 9797: 0.5961550599626875
Position 14519: 0.558408853031983
Position 14540: 0.4158235874953258
Position 28766: 0.3958009940207649
Position 25896: 0.3767102416355448
Position 5466: 0.37280233028194315
Position 7703: 0.34653057041602786
Position 9770: 0.2771668225908648
Position 20345: 0.25699170348467365
Position 5640: 0.25188437525791
Position 8432: 0.2478743352704373
Position 26947: 0.20905796673404894
Position 2476: 0.1813617528976269
Position 31062: 0.16637334352247257
Position 20947: 0.15891171428744552
Position 18234: 0.15712419846665107
Position 22277: 0.13250994879965897
Position 20809: 0.11867876907872255
Position 12484: 0.11113886464811865
Position 10346: 0.09006246159723799
Position 24494: 0.08889476714495351
Position 1901: 0.0856238191167101
Position 20144: 0.08433730047488631
Position 7631: 0.08374272072483638
Position 17712: 0.08328737717823421
Position 21005: 0.07788525810379501
Position 5134: 0.07778314427656392
Position 25445: 0.07268032711934239
Position 85: 0.06932307372234818
Position 22319: 0.06836565924396751
Position 10339: 0.06634790409853895
Position 27529: 0.06130989535556012
Position 9565: 0.0609903007870056
Position 17284: 0.05461645298515722
Position 17513: 0.049592601252235344
Position 10171: 0.0445133594521254
Position 4218: 0.04307634627140201
Position 2996: 0.039499871376249454
Position 6854: 0.036670570014138086
Position 2745: 0.03658870096472125
Position 13468: 0.033386282447181545
Position 30075: 0.02695715740667307
Position 2676: 0.025496894060825604
Position 18012: 0.02491882158633509
Position 18016: 0.024430548461887983
Position 14506: 0.023957464036106962
Position 3655: 0.01815641914612895
Position 28373: 0.016877828410300704
Position 28750: 0.015961364260047704
Position 3637: 0.01529362632159554
Position 2496: 0.013753840405162929
Position 10206: 0.01354580775353181
Position 3216: 0.01147732169501533
Position 8558: 0.01122025455314704
Position 9020: 0.011165086846980955
Position 5720: 0.01108525891844683
Position 30108: 0.010319462296865768
Position 9195: 0.01007028160185345
Position 2665: 0.009599971157787004
Position 10501: 0.008261356750975477
Position 10384: 0.00805730837094119
Position 8924: 0.007575639367231778
Position 5733: 0.007400727162108416
Position 14019: 0.007027225039486658
Position 9412: 0.006983827935161315
Position 104: 0.006857143011322558
Position 3475: 0.006667245397751576
Position 3706: 0.0064248712707769065
Position 694: 0.0057739941272603665
Position 947: 0.005424344779125712
Position 8476: 0.0053988869177183955
Position 31066: 0.004822743698058522
Position 2589: 0.004808748521762753
Position 7693: 0.004752779256285708
Position 19839: 0.004657824747340432
Position 13754: 0.00444970163731249
Position 263: 0.004329211443558702
Position 2774: 0.004205454722206328
Position 12467: 0.0035437936027885512
Position 1793: 0.0035418589028703225
Position 4476: 0.0033548047880327895
Position 2334: 0.003265489112932438
Position 189: 0.0031089122799605367
Position 2724: 0.003104185333455142
Position 13464: 0.003040845319625316
Position 14256: 0.0030086018187801037
Position 5573: 0.0028713666365945832
Position 5698: 0.002863650689982727
Position 16038: 0.0027226665360390546
Position 5364: 0.0026912913481436157
Position 865: 0.0024581305398455756
Position 5494: 0.0024187884568871716
Position 4095: 0.0023262965061660403
Position 12243: 0.002045247171116995
Position 3326: 0.0020306042273084217
Position 13131: 0.001904076549112225
Position 5692: 0.0018937096074666576
Position 712: 0.0017162629156906102
Position 5369: 0.0016312187926109682
Position 15181: 0.0016305823132362744
Position 1852: 0.0015017678544196153
Position 3424: 0.0014959787293723184
Position 15193: 0.0014926031999038733
Position 1721: 0.0014102219412253736
Position 2862: 0.0013839402791600952
Position 12895: 0.0013694540656905782
Position 17854: 0.0013297773946202476
Position 7754: 0.0011818352989423097
Position 10424: 0.0011371287486642608
Position 13864: 0.001014767536385313
