Gene = Sh3bp2
index = 974
Annotated 5SS: [   56 25855 26994 29729 30167 31134 31518 33804 34607 34899 35262 35817]
Annotated 3SS: [25714 26890 29610 30095 31044 31448 33154 34497 34842 35179 35756 36512]
SMsplice 5SS: [   56  4690 13697 23951 25855 26994 29740 30167 31134 31518 33351 33804
 34607 34965 35262]
SMsplice 3SS: [ 4598 13625 23894 25714 26890 29610 30095 31044 31401 33154 33713 34497
 34842 35057 36512]
top_k =  1000
Partition function (log Z): -22.17047373544884

Sorted 5' Splice Sites (High to Low Probability):
Position 4690: 0.9087641947976111
Position 56: 0.8611612313967559
Position 13697: 0.5162242805861603
Position 6853: 0.46416956636187806
Position 11119: 0.4411626832535912
Position 3850: 0.40527155705581813
Position 2841: 0.2659133533050884
Position 10551: 0.22591550006715883
Position 4952: 0.19835790107054402
Position 157: 0.1131739956260214
Position 10449: 0.10802139521371912
Position 6244: 0.09613206823007626
Position 910: 0.07435300344726045
Position 4920: 0.04957398772724726
Position 1079: 0.044776136429274804
Position 6916: 0.04098001845007111
Position 5154: 0.037085629941003194
Position 3915: 0.03594695242477843
Position 1047: 0.034623935498950716
Position 1480: 0.03312420296628506
Position 5352: 0.027193550484960218
Position 4964: 0.017335215882508664
Position 2858: 0.01639211164874588
Position 892: 0.01569222307644889
Position 16146: 0.014581308256767043
Position 7127: 0.013718779822325463
Position 3154: 0.012376214965701264
Position 483: 0.012230880024372039
Position 4715: 0.011407047046124491
Position 4073: 0.010296132276682546
Position 2702: 0.009805761201511061
Position 7048: 0.008531426426454226
Position 152: 0.007177885270341656
Position 10234: 0.007145002651911087
Position 5836: 0.007004120889132876
Position 831: 0.0055535926917168
Position 1674: 0.0051928558666357
Position 2942: 0.004483695324958148
Position 6235: 0.004144541083347619
Position 7138: 0.003901276985297255
Position 11358: 0.003630188108728495
Position 965: 0.003097736812339027
Position 7019: 0.0027373755630640297
Position 7134: 0.0025647265480263142
Position 3938: 0.0013147463905450773
Position 1921: 0.0010896512720076498
Position 414: 0.0010745061657507528
Position 7783: 0.0008820017589345507
Position 3510: 0.0006780567231050682
Position 698: 0.000586483232317802
Position 1567: 0.00039819232633021693
Position 676: 0.00035454067961681235
Position 2401: 0.00033126270367068414
Position 2442: 0.00029145341930131595
Position 5897: 0.00028505205469003516
Position 450: 0.00022603398201502425
Position 2380: 0.00022290697561661588
Position 129: 0.00019227791792495808
Position 5362: 0.0001809812898049884
Position 2372: 0.00016257786690904145
Position 438: 0.00013721904012539647
Position 369: 0.0001164841980124126
Position 142: 0.00011283659485790617
Position 2141: 8.035730505907084e-05
Position 2204: 7.994203207092772e-05
Position 2209: 7.784735207086172e-05
Position 1713: 7.328467081954629e-05
