Gene = Ubfd1
index = 1159
Annotated 5SS: [ 310  819 1815 4593 4841 9016]
Annotated 3SS: [  488  1605  4526  4734  8932 11274]
SMsplice 5SS: [ 310 1815 4593 4841 9016]
SMsplice 3SS: [ 1605  4526  4734  8932 11274]
top_k =  1000
Partition function (log Z): -0.5074439249818261

Sorted 5' Splice Sites (High to Low Probability):
Position 9016: 0.9570526478609314
Position 1815: 0.9505317853897017
Position 310: 0.880005539428336
Position 4593: 0.8261006750312073
Position 4841: 0.8053257936305446
Position 11445: 0.5817030066087021
Position 13224: 0.5093592499665924
Position 819: 0.37391845865842854
Position 8251: 0.24756089516194787
Position 13961: 0.2217809022802674
Position 11970: 0.17323671382775058
Position 8442: 0.17101870327328736
Position 14196: 0.15616188156885635
Position 11517: 0.1312538470304654
Position 674: 0.11507944598820637
Position 1982: 0.11371608505176135
Position 3677: 0.11136596784407002
Position 6706: 0.09306680196916055
Position 11541: 0.0857347266211781
Position 11016: 0.06812288358158974
Position 13504: 0.06357656708234241
Position 1986: 0.06202622501503363
Position 6312: 0.05996147956357572
Position 11908: 0.058774747629501495
Position 3776: 0.05325768253758058
Position 8094: 0.04287488043189332
Position 8856: 0.03988502204296991
Position 8680: 0.037505124322902976
Position 12675: 0.03569111793274892
Position 702: 0.03271648161419154
Position 7507: 0.03149601347885178
Position 5107: 0.026509740875525264
Position 2196: 0.023280807427878216
Position 3370: 0.019153512090114802
Position 764: 0.018911605854345908
Position 10995: 0.017656769719583274
Position 208: 0.016453047521214403
Position 9877: 0.015956228260121455
Position 9156: 0.015793989567434708
Position 263: 0.01565315183767244
Position 1707: 0.015377748029184223
Position 12902: 0.015185098590863194
Position 7491: 0.01474013202600314
Position 1314: 0.01430649480447426
Position 5608: 0.014281730249288567
Position 11125: 0.012607504058127196
Position 12797: 0.011041037485245393
Position 5468: 0.01033269653434273
Position 12802: 0.009990525655454548
Position 3121: 0.00978052227201945
Position 10568: 0.009266932262228897
Position 10769: 0.007871120261603196
Position 331: 0.007612681287154555
Position 11423: 0.007327106219274417
Position 421: 0.006882736236228679
Position 4333: 0.00600113406501562
Position 581: 0.005421464947710087
Position 9718: 0.0054066733833321575
Position 3739: 0.004452448007096405
Position 14232: 0.004001078066473765
Position 961: 0.0039041238494232485
Position 3781: 0.003757936539754794
Position 4789: 0.0036985832856051932
Position 9746: 0.003668077408970718
Position 10745: 0.0036305175743664973
Position 2066: 0.0032989486833068134
Position 14460: 0.003170486453900765
Position 3233: 0.003092470191434419
Position 14315: 0.002962007888981417
Position 10719: 0.0029189404655147306
Position 8894: 0.0027362701287350338
Position 9730: 0.002697714887386313
Position 8069: 0.0026956323166886804
Position 11974: 0.0025665524605620643
Position 11747: 0.0025085099203589825
Position 12792: 0.0023685963764634842
Position 1104: 0.0023579404937627713
Position 784: 0.002308347919061842
Position 1629: 0.0021355209248596443
Position 897: 0.0019843629069583586
Position 14105: 0.0016877147405599876
Position 5342: 0.001646698076940291
Position 5756: 0.0013634084757670089
Position 14820: 0.00133629608497261
Position 10713: 0.0013137545390292677
Position 9791: 0.0012716317940362006
Position 758: 0.0010592464169956763
Position 7948: 0.0009966184877662038
Position 153: 0.0009135234551592745
Position 10734: 0.0008950256598747112
Position 9843: 0.0008305496157849592
Position 10402: 0.00078446766701432
Position 11525: 0.0007591660815486577
Position 11750: 0.0007325695008108488
Position 11624: 0.0007000328824213592
Position 1029: 0.0006682278646583296
Position 3566: 0.0006451954668018291
Position 3090: 0.0005895921629003597
Position 10773: 0.0005477313931673502
Position 1137: 0.0004924002189058641
Position 719: 0.0004496663456477313
Position 11376: 0.000424217522396196
Position 2663: 0.0004036786259871579
Position 5535: 0.00038962658171535775
Position 175: 0.0003814537056932129
Position 2770: 0.00033563257976101154
Position 1307: 0.0003261044207099069
Position 10100: 0.0003220683967543522
Position 335: 0.0003183846646450228
Position 1053: 0.00031398169928790364
Position 1268: 0.0002931077068730344
Position 1680: 0.0002897377559423196
Position 1011: 0.0002727932823482336
Position 6392: 0.0002701629785208314
Position 11006: 0.0002678118713891502
Position 3002: 0.0002536551895588489
Position 1606: 0.0002507137131432299
Position 1529: 0.000247585049468817
Position 6296: 0.00023262157509103078
Position 9061: 0.0002148755778956124
Position 2477: 0.000196486615855601
Position 4955: 0.00018912224224679035
Position 6292: 0.00018499407550477437
Position 1634: 0.00016526280013703527
Position 4022: 0.00016194841912586428
Position 955: 0.00015575297695538068
Position 704: 0.00013811359628967802
Position 11316: 0.00011648306395143653
Position 439: 0.00010881571772168599
Position 5665: 0.0001056618150508825
Position 12575: 7.919728638144762e-05
Position 6422: 7.836298431304313e-05
Position 6955: 7.660539477993359e-05
Position 1179: 7.009024169759e-05
Position 1704: 6.436804323202437e-05
Position 11370: 5.1076205685950114e-05
Position 8974: 4.860047471436244e-05
Position 190: 4.234672127188911e-05
Position 3412: 3.906253391857764e-05
Position 1217: 3.882275071203801e-05
Position 118: 3.8019835938395405e-05
