Gene = Ddias
index = 327
Annotated 5SS: [  107  1486  7677 11923 12848]
Annotated 3SS: [ 1402  7547 11760 12729 13934]
SMsplice 5SS: [  107  1486  6136  7677 11923 12848]
SMsplice 3SS: [ 1402  6048  7547 11760 12729 13934]
top_k =  1000
Partition function (log Z): 0.7660559101622857

Sorted 5' Splice Sites (High to Low Probability):
Position 11923: 0.9949562790912881
Position 107: 0.9872697946131412
Position 12848: 0.8678420305023462
Position 6136: 0.7744621555778874
Position 7677: 0.7727785266816186
Position 1486: 0.6818604839344025
Position 5974: 0.3240453019674847
Position 6802: 0.23030604639813754
Position 2098: 0.1792119325555369
Position 7644: 0.17238761020337312
Position 9570: 0.14872173386987403
Position 12422: 0.12881629957849794
Position 6570: 0.098353847642861
Position 8860: 0.09385967246704562
Position 3784: 0.09110060473437269
Position 13993: 0.07826083459067126
Position 15010: 0.06896586157616703
Position 8927: 0.06144881331396427
Position 9985: 0.05870060681957176
Position 365: 0.05349406359054358
Position 12584: 0.047269542752047096
Position 7426: 0.041699274795596375
Position 8120: 0.03625325742148188
Position 7430: 0.0354700071775336
Position 10248: 0.03465612747239302
Position 9586: 0.03222914828237438
Position 7779: 0.028070048303218298
Position 8872: 0.025141017330727735
Position 8125: 0.02357608474585547
Position 1325: 0.021914002658823654
Position 12154: 0.019979161590477083
Position 11491: 0.019595718209560676
Position 2677: 0.01876750361833824
Position 8188: 0.01815119781489717
Position 1222: 0.017997479016570766
Position 4448: 0.017851377963523398
Position 378: 0.015526641920466594
Position 12691: 0.015446786325071491
Position 12730: 0.014612409121490871
Position 9016: 0.014137768621514939
Position 14851: 0.012207014680021342
Position 393: 0.012121815749562415
Position 9839: 0.011092708118982634
Position 11315: 0.009946769689936233
Position 3344: 0.009456148284904316
Position 9434: 0.009107930151936986
Position 8163: 0.008866329378286355
Position 15085: 0.008040323354832613
Position 6087: 0.006492563930280782
Position 7162: 0.006442817698648425
Position 3210: 0.006089814867936886
Position 12643: 0.005799677819885153
Position 14806: 0.005736230027333358
Position 6123: 0.005329490765780856
Position 231: 0.005241545005921439
Position 453: 0.004930305593474582
Position 8580: 0.004803311461392918
Position 15740: 0.004359023874527969
Position 273: 0.00432664687619739
Position 8779: 0.004059710803136757
Position 12842: 0.003859364760794278
Position 8610: 0.003591396665232074
Position 9615: 0.0034981141526104816
Position 476: 0.0031917376164509073
Position 5562: 0.0026210237572406934
Position 13190: 0.002460881871096998
Position 6175: 0.002187769532570471
Position 10500: 0.0021117563319886855
Position 5035: 0.002043843555590808
Position 3771: 0.0019574436512812847
Position 10834: 0.001667078411064519
Position 3775: 0.0015982060773892621
Position 613: 0.0015892734831019816
Position 3227: 0.001584228569971158
Position 8882: 0.0015548330376303407
Position 3847: 0.001549355508326061
Position 13743: 0.0014979847844314184
Position 15550: 0.0014674288746376188
Position 12372: 0.0013568510553464185
Position 2987: 0.0008882398737983496
Position 960: 0.0007148477325416478
Position 1732: 0.0006968569773386158
Position 12392: 0.0006501604931091824
Position 10022: 0.0006266697800381014
Position 10507: 0.0006079895871778544
Position 12631: 0.0005881931272686534
Position 585: 0.0004980228217539
Position 6142: 0.00047526234846420926
Position 993: 0.00041529265952600715
Position 244: 0.0003990748743267636
Position 3232: 0.00039557967920965273
Position 436: 0.00038341328216571986
Position 14811: 0.0003773541084381502
Position 588: 0.00037222683489186834
Position 7683: 0.0003648339782698199
Position 1020: 0.0003322098923844658
Position 91: 0.0002920390169036339
Position 8970: 0.00028360157571888204
Position 448: 0.00027319368529715016
Position 8901: 0.00022244997651589345
Position 14010: 0.0002098782701331324
Position 1703: 0.00020516797033531546
Position 170: 0.0001909795904308097
Position 357: 0.00018752871199157733
Position 3475: 0.0001796618990707568
Position 12400: 0.00017782299897905294
Position 8233: 0.00016373247174461468
Position 185: 0.00015730037485925405
Position 14022: 0.0001415702393051583
Position 1710: 0.00014106280547648796
Position 74: 0.0001268763698401002
Position 4721: 0.00012315028001097744
Position 964: 0.00011382666564063188
Position 213: 0.00011023291693630946
