Gene = Thumpd1
index = 1078
Annotated 5SS: [ 288 1672 2777]
Annotated 3SS: [1496 2527 3728]
SMsplice 5SS: [ 288 2777]
SMsplice 3SS: [2527 3728]
top_k =  1000
Partition function (log Z): -2.203979507336742

Sorted 5' Splice Sites (High to Low Probability):
Position 288: 0.9612762613246703
Position 2777: 0.9486971667922713
Position 3020: 0.5057466627691785
Position 1672: 0.2931901384895095
Position 3348: 0.2510588917046504
Position 933: 0.07162883840686009
Position 1619: 0.06798762841574207
Position 3311: 0.05697700293558528
Position 3008: 0.05414674252340021
Position 1763: 0.023087420121328653
Position 561: 0.02168297840685728
Position 3263: 0.02130283885583087
Position 272: 0.018443008046988982
Position 1953: 0.01467380590169524
Position 2417: 0.013742990672929077
Position 1942: 0.011854417337868439
Position 3952: 0.011625817101229313
Position 224: 0.009424508551317176
Position 1009: 0.008248610726816465
Position 3539: 0.007864860769934432
Position 3656: 0.006991783898563989
Position 952: 0.006264439690383457
Position 2056: 0.0054303443731229814
Position 837: 0.004834512329563719
Position 257: 0.0048103953380850455
Position 565: 0.0047817042728779844
Position 1839: 0.004597902998244178
Position 332: 0.004504551552255685
Position 1828: 0.0037349049267582117
Position 4266: 0.003628468211221051
Position 2365: 0.003566885372358759
Position 1168: 0.0029558758194938354
Position 3986: 0.0028682332109279817
Position 2627: 0.002517212853227261
Position 3875: 0.002343520663700899
Position 1572: 0.0023294099864479925
Position 4127: 0.0021148943673556337
Position 572: 0.002053137995629257
Position 4143: 0.0016359060776390977
Position 621: 0.001493740827290056
Position 1576: 0.0013413013657358021
Position 4094: 0.0013108812862061545
Position 3812: 0.0010693091769401902
Position 1959: 0.001013994460473734
Position 3791: 0.0010039367090817041
Position 1644: 0.0009692352167332918
Position 3999: 0.0009641155779676489
Position 432: 0.000637396378146118
Position 48: 0.0005445977531227497
Position 1290: 0.0005317279007808712
Position 2370: 0.0005225068062823792
Position 3622: 0.0005065329455232302
Position 148: 0.00047006504898631916
Position 4421: 0.00040123725959797656
Position 660: 0.0003704482083821656
Position 734: 0.00036001595401950054
Position 1342: 0.00035470756137240424
Position 4839: 0.00033043750812388476
Position 1900: 0.00032642921510922973
Position 1818: 0.00029446617768291955
Position 717: 0.0002854841193899489
Position 2260: 0.0002838078336686114
Position 317: 0.00027571257167923423
Position 3435: 0.00026985144554098837
Position 4948: 0.00026298299967905144
Position 4258: 0.0002527855963362902
Position 3788: 0.0002483886167384452
Position 3872: 0.00023682174505412277
Position 2971: 0.0002275645010609561
Position 548: 0.00020333120063671051
Position 550: 0.00020271323863288402
Position 41: 0.00019149385354373988
Position 954: 0.00018393624352313625
Position 598: 0.00013672052193306977
Position 780: 0.00011373071792256529
Position 1647: 0.00010859520790694807
Position 2214: 0.00010385533223143744
Position 540: 0.00010372336288111015
Position 1810: 0.00010096828568435597
Position 3253: 9.669526813502423e-05
Position 3049: 8.298800838796433e-05
Position 1630: 7.466540240925242e-05
Position 3605: 7.371682163386272e-05
Position 1623: 7.110893311245179e-05
Position 1911: 6.869573878276815e-05
Position 1528: 6.596893847095229e-05
Position 3586: 6.578146360604282e-05
Position 986: 6.374905315193237e-05
Position 1711: 6.326400945283199e-05
Position 1092: 6.188466931051403e-05
Position 984: 5.968004893124391e-05
Position 77: 5.68278176455288e-05
Position 797: 5.041116065933831e-05
Position 5029: 4.833054301436438e-05
Position 2324: 4.542122769989274e-05
Position 4085: 4.539188999956443e-05
Position 862: 4.350962214470122e-05
Position 3842: 4.334610069910398e-05
Position 363: 4.1343548295573095e-05
Position 2894: 3.647099403033639e-05
Position 719: 2.684760126533196e-05
Position 1355: 2.5281379169792478e-05
Position 526: 2.1950230554231554e-05
Position 13: 2.0758473416292422e-05
Position 1233: 2.0434319747641075e-05
Position 1003: 1.3533167840925188e-05
Position 487: 1.2434134075830431e-05
Position 90: 1.2257353587214903e-05
