Gene = E130309D02Rik
index = 353
Annotated 5SS: [ 458 1183 3650 7745 8595]
Annotated 3SS: [  960  3483  7219  8554 13356]
SMsplice 5SS: [ 458 1183 3650 7745 9279]
SMsplice 3SS: [ 1067  3609  7665  9204 13356]
top_k =  1000
Partition function (log Z): -1.0071053702121917

Sorted 5' Splice Sites (High to Low Probability):
Position 7745: 0.9737259911249616
Position 1183: 0.9507034582019387
Position 3650: 0.94892837825462
Position 9279: 0.8754049028726408
Position 458: 0.6312921807697894
Position 9586: 0.294071011917586
Position 7377: 0.25642814040833184
Position 4097: 0.25264574678383295
Position 4103: 0.21242124619344468
Position 8499: 0.19884225632345726
Position 11502: 0.19423838449735525
Position 8595: 0.17000871827996963
Position 323: 0.15320621679977722
Position 145: 0.11633588830116552
Position 6155: 0.10986412764178013
Position 5424: 0.0948054714105805
Position 12380: 0.06149498660091149
Position 5536: 0.05389076615156284
Position 12665: 0.039014879188904526
Position 7566: 0.03823097363254785
Position 1265: 0.028232492491673297
Position 13197: 0.0252049908960816
Position 13527: 0.023510721133991015
Position 8518: 0.023417532286075977
Position 1885: 0.022950814142004318
Position 7447: 0.021376236949964423
Position 7525: 0.020071115822727737
Position 2430: 0.018982888863461743
Position 12027: 0.01898053279941426
Position 155: 0.01732852294307555
Position 8138: 0.015462230257950025
Position 4182: 0.01448798701192392
Position 5084: 0.014235848596878523
Position 1163: 0.013077418862122983
Position 12240: 0.012863781836966282
Position 7988: 0.012494011080449462
Position 9768: 0.0123311736311724
Position 415: 0.011968323276112839
Position 3967: 0.01187019876706472
Position 428: 0.011124985473729067
Position 486: 0.011026435026568793
Position 10507: 0.010373574534060606
Position 12327: 0.010040652639604249
Position 9097: 0.008613111174405726
Position 507: 0.008251060353623163
Position 3401: 0.007690825762325671
Position 32: 0.00723793527535119
Position 3505: 0.0069625087044569
Position 5335: 0.006102228683363971
Position 854: 0.006091620921361432
Position 1635: 0.005979836518392195
Position 1602: 0.005291625099841459
Position 614: 0.005231876137905947
Position 8232: 0.004754821491461713
Position 10778: 0.0038762963012152086
Position 4485: 0.0037307039378899625
Position 7999: 0.003565544104463529
Position 947: 0.0034724814718642386
Position 656: 0.00345456568559051
Position 914: 0.0033622459214463023
Position 8297: 0.0032922022197145735
Position 896: 0.0031831618556740463
Position 625: 0.0031510290333423997
Position 3903: 0.0030737843936509903
Position 8983: 0.0030451081459503563
Position 8262: 0.0029450563369175695
