Gene = Ppp1r13l
index = 845
Annotated 5SS: [  101  7407  7644  9089  9272  9442 10431 12169 14166 14403 14676 16472]
Annotated 3SS: [ 7325  7500  8577  9172  9349  9988 11707 14033 14268 14508 16271 16750]
SMsplice 5SS: [  101  7407  7644  8875  9272  9442 10431 14166 14403 14676]
SMsplice 3SS: [ 7325  7500  8763  9172  9349 10360 14033 14268 14508 16271]
top_k =  1000
Partition function (log Z): 23.291102405936424

Sorted 5' Splice Sites (High to Low Probability):
Position 14403: 0.997483407774144
Position 101: 0.9920490888470005
Position 14166: 0.9537530306007449
Position 7644: 0.9534784284565552
Position 8875: 0.9284743281320375
Position 9442: 0.881072109687785
Position 9272: 0.8667768410163957
Position 14676: 0.8291373760589902
Position 7407: 0.7985588461281518
Position 10431: 0.7759241090024142
Position 9089: 0.7350624928373207
Position 1074: 0.4154428077586198
Position 12169: 0.27459487768682544
Position 16472: 0.15644320139440643
Position 3530: 0.15119738532381444
Position 9286: 0.12891807161870167
Position 16073: 0.09486796492029038
Position 14695: 0.09279574950867935
Position 5835: 0.08574600865813031
Position 6339: 0.06367571250972405
Position 4369: 0.05688621003258739
Position 1114: 0.05389475314956108
Position 14726: 0.03966631779027592
Position 7441: 0.03599315826230212
Position 16372: 0.03199444858093262
Position 10028: 0.029695142296699437
Position 14195: 0.028892063440463963
Position 814: 0.02887607676383594
Position 10203: 0.028528697476185083
Position 9453: 0.02208051188071776
Position 8586: 0.021694029792918363
Position 15949: 0.02028165493536149
Position 4618: 0.01664083414374782
Position 14626: 0.014341111413909773
Position 6627: 0.013752901180529005
Position 2334: 0.01227522176652805
Position 14157: 0.012258154597623517
Position 6193: 0.012030868244255708
Position 14702: 0.011053970057001785
Position 7423: 0.010409488831189882
Position 8840: 0.009240928448482786
Position 7765: 0.008880165423214301
Position 11881: 0.008621681974161468
Position 1384: 0.00846789266715979
Position 13826: 0.007836936623382728
Position 13596: 0.007670255163998654
Position 15131: 0.007301422722931723
Position 11420: 0.007124288864485742
Position 15642: 0.006688754071346289
Position 11803: 0.006642905632761003
Position 6216: 0.006544668123149612
Position 10464: 0.005392206208910415
