Gene = Pth
index = 873
Annotated 5SS: [ 120 2376]
Annotated 3SS: [2284 2491]
SMsplice 5SS: [ 120 2376]
SMsplice 3SS: [2284 2491]
top_k =  1000
Partition function (log Z): -1.1683037120213493

Sorted 5' Splice Sites (High to Low Probability):
Position 2376: 0.9816045478870584
Position 120: 0.8556893080185488
Position 2701: 0.39995100893948166
Position 1326: 0.19947088386668665
Position 1801: 0.14021419369458918
Position 277: 0.12325102412399185
Position 1128: 0.03487153678678268
Position 910: 0.02018212937978552
Position 713: 0.010429229362659262
Position 247: 0.009058956332512913
Position 915: 0.007343564244679174
Position 293: 0.0055996566095526485
Position 2371: 0.00473815038663769
Position 768: 0.003949938206540992
Position 1913: 0.0032969605374491527
Position 1511: 0.0025800728216801316
Position 154: 0.002381347971395907
Position 115: 0.0018230114452462795
Position 1564: 0.0016809375353790546
Position 2695: 0.0014849093432346729
Position 2601: 0.0014150404852007626
Position 901: 0.001383578911845278
Position 1398: 0.0013659802189043843
Position 2844: 0.0011892933398612064
Position 2891: 0.0009888402888117603
Position 1383: 0.0009716604206188953
Position 159: 0.0007873900158114945
Position 1135: 0.0006634577351368738
Position 524: 0.00042113640343983884
Position 2727: 0.0003798622276199619
Position 1408: 0.0003397790325270786
Position 2676: 0.00032196640485865927
Position 2670: 0.00022598164574779924
Position 1998: 0.00021773178544208958
Position 2193: 0.00019105298478860604
Position 2827: 0.0001780086225984659
Position 2605: 0.00017756991301064943
Position 2721: 0.0001741405941076169
Position 2380: 0.0001615377671204221
Position 2221: 0.00016023304432819261
Position 1394: 0.00011173948018858907
Position 470: 0.00010982320166068867
Position 2428: 9.96471213924633e-05
Position 1114: 8.168981091194444e-05
Position 1119: 7.686157511930283e-05
Position 2750: 6.764105093350069e-05
Position 271: 6.511908361866082e-05
Position 327: 6.498070019290086e-05
Position 1095: 5.4903109935026e-05
Position 2407: 5.469492318999887e-05
Position 807: 3.9560449693283e-05
Position 2638: 3.676693885194244e-05
Position 370: 3.384723199280251e-05
Position 519: 3.061738862024089e-05
Position 2733: 2.7757347851136186e-05
Position 501: 2.14448754525207e-05
Position 77: 2.0103709218142212e-05
Position 858: 1.973453093301831e-05
Position 2613: 1.7460097312316536e-05
Position 109: 1.7246687723158197e-05
Position 2395: 1.6929587718781126e-05
Position 2268: 1.6119967274359014e-05
Position 496: 1.5466702009851763e-05
Position 2425: 1.3053343794043464e-05
Position 1157: 1.1785715864609812e-05
Position 2502: 9.07348163639001e-06
Position 477: 7.926939757667494e-06
Position 304: 6.638842885671837e-06
Position 51: 6.253668628154001e-06
Position 2248: 5.975484888833806e-06
Position 81: 5.195136618467248e-06
Position 538: 4.287570591713807e-06
Position 2317: 4.193166350589906e-06
Position 821: 3.211208450336642e-06
Position 827: 2.8233794804420314e-06
Position 35: 2.2869821822909163e-06
Position 2089: 1.7148244969633911e-06
Position 2409: 1.709513167307966e-06
Position 641: 1.4035001406288725e-06
Position 1425: 1.1789640921560582e-06
Position 1310: 1.153989773815601e-06
Position 1328: 9.308928160242756e-07
Position 881: 4.867625704118919e-07
Position 1402: 3.012932241250246e-07
Position 1781: 2.1552135766912054e-07
Position 1767: 2.0168456733893313e-07
Position 1641: 1.5528453498823512e-07
Position 402: 1.339582820839373e-07
Position 236: 1.323415794477923e-07
Position 30: 8.437613630379824e-08
Position 1296: 8.314050695848533e-08
Position 605: 1.987824466031961e-08
Position 46: 1.5590412856003918e-08
Position 177: 1.0521247196416437e-08
Position 760: 6.1461467013991525e-09
Position 720: 3.7431044914799506e-09
Position 2468: 1.6306437372283748e-09
Position 565: 1.0349113299031022e-09
Position 2506: 6.658956887088921e-10
Position 603: 2.1173173515733896e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 2491: 0.9943104753805179
Position 2284: 0.6315311246536027
Position 2770: 0.24091290822756034
Position 1231: 0.18236138691004108
Position 2289: 0.1560386533907166
Position 2267: 0.1444553746534404
Position 1687: 0.104854548679211
Position 2809: 0.07819744075410402
Position 2934: 0.040322405529461314
Position 2237: 0.02932175167322902
Position 2774: 0.02881267583849234
Position 984: 0.0241799912808521
Position 2101: 0.01674973866617988
Position 2890: 0.015560879668400836
Position 1246: 0.012371126662087003
Position 603: 0.012075872081956795
Position 1640: 0.011297395366092413
Position 697: 0.010042939744069529
Position 1039: 0.006917593692235161
Position 562: 0.005696258382125011
Position 2974: 0.005207403507985325
Position 1266: 0.005002325935899057
Position 1540: 0.004959746836935651
Position 2125: 0.004728711989634884
Position 873: 0.004041752911611778
Position 1655: 0.003980759481328666
Position 1227: 0.0034314486018887313
Position 1727: 0.003407359976517035
Position 954: 0.002525151292115758
Position 1660: 0.002424523151998119
Position 1610: 0.002332409552548845
Position 677: 0.0022948424954369272
Position 1637: 0.0022570825590846203
Position 1502: 0.001779870563015875
Position 2495: 0.001764708189396343
Position 737: 0.0016127771122389104
Position 713: 0.0015166278992519782
Position 1310: 0.0015097194574671892
Position 1579: 0.00146025740002398
Position 522: 0.001425029335340096
Position 242: 0.001400604926643455
Position 1691: 0.0013735361818359069
Position 2317: 0.001124510225406444
Position 767: 0.0009084441418279008
Position 1510: 0.0008498262926357467
Position 1994: 0.0008238726555071951
Position 2338: 0.0008081798634137597
Position 720: 0.0007233566607817864
Position 1800: 0.000711185649030999
Position 1026: 0.0006294674927603121
Position 264: 0.0005749240835736229
Position 2082: 0.0005435348857972866
Position 423: 0.0005245581342083716
Position 2779: 0.0004510309222518253
Position 1287: 0.000445325088560878
Position 717: 0.0004369692645001712
Position 991: 0.0004171313639678438
Position 839: 0.0004007482574097739
Position 739: 0.00038616064336700044
Position 2248: 0.00038222338184163855
Position 2516: 0.0003268420366487631
Position 1417: 0.0003155872647613671
Position 811: 0.0002866371970792138
Position 988: 0.00027680255956206014
Position 1155: 0.00025555191089835427
Position 246: 0.00023486353904300555
Position 1735: 0.00022068396152107267
Position 1776: 0.00021146463161008858
Position 2149: 0.0002095308847787515
Position 1910: 0.0001876973375624371
Position 639: 0.00018572990919169083
Position 821: 0.00016911465627807208
Position 2134: 0.00016106887373041595
Position 786: 0.00014692529847089094
Position 2605: 0.00013992525868085354
Position 743: 0.0001374989064493672
Position 2010: 0.00012897793591477763
Position 537: 0.00012019704193862708
Position 1739: 0.00010861914888671798
Position 2818: 8.059717978800884e-05
Position 815: 7.741485084977173e-05
Position 370: 6.695676212922022e-05
Position 1998: 6.559869193044848e-05
Position 2145: 6.234825538676654e-05
Position 2034: 5.309115525451987e-05
Position 375: 5.170780116160085e-05
Position 881: 4.64115742868636e-05
Position 1665: 4.200634122323425e-05
Position 2497: 3.650120362944266e-05
Position 1616: 3.5992984114051606e-05
Position 931: 3.508069396657956e-05
Position 1086: 3.374689222411807e-05
Position 1841: 3.193426113718518e-05
Position 2827: 3.087414537149547e-05
Position 751: 2.570754340234907e-05
Position 757: 2.450195070013268e-05
Position 1583: 2.2618025844606053e-05
Position 1563: 1.9538378646406247e-05
Position 995: 1.889737202315231e-05
Position 777: 1.861380893903938e-05
Position 1041: 1.8245390285501253e-05
Position 1757: 1.82188964740714e-05
Position 274: 1.579455115387736e-05
Position 1912: 1.541278529165413e-05
Position 1742: 1.4800758510560634e-05
Position 2629: 1.2181926404063346e-05
Position 1549: 1.1800921155965564e-05
Position 1125: 1.1345029955374978e-05
Position 1083: 1.1293518673205968e-05
Position 2499: 9.637113428445611e-06
Position 2579: 9.30064386605741e-06
Position 2613: 6.382872674976264e-06
Position 782: 5.937544472047343e-06
Position 2555: 5.531952434072469e-06
Position 1053: 5.1059466426143455e-06
Position 847: 4.949505683103637e-06
Position 2043: 4.339670767980108e-06
Position 565: 3.89983507192587e-06
Position 2750: 3.005089783203774e-06
Position 2575: 2.5981323193091287e-06
Position 2557: 2.5697091061832517e-06
Position 583: 2.5513080410285313e-06
Position 1119: 2.2935147454255622e-06
Position 1079: 2.169024814806934e-06
Position 304: 2.015118892065639e-06
Position 570: 1.9541576517123467e-06
Position 443: 1.8892331150882805e-06
Position 2631: 1.7596095590978102e-06
Position 2733: 1.3771314253661405e-06
Position 2402: 9.836367401553662e-07
Position 906: 9.187641898057989e-07
Position 1183: 7.376660632829747e-07
Position 796: 6.381220216671636e-07
Position 2638: 5.925065441419188e-07
Position 2586: 5.875026873243308e-07
Position 2506: 5.58603407845301e-07
Position 755: 4.4380498167804745e-07
Position 2663: 4.395500334075744e-07
Position 2660: 3.742804206859623e-07
Position 1762: 2.68623916845224e-07
Position 312: 2.0881192874798598e-07
Position 158: 1.9986452728189685e-07
Position 792: 1.9284941347295416e-07
Position 2648: 1.5033273270864228e-07
Position 2695: 1.1096569168549963e-07
Position 2645: 6.323361836572593e-08
Position 1163: 2.3592666789338427e-08
Position 2428: 2.054139010191728e-08
Position 893: 1.9863449435880152e-08
Position 164: 1.4965988298426138e-08
Position 276: 7.001059793338296e-09
Position 177: 1.0317901172704214e-09
Position 477: 3.0201152987095855e-10
Position 94: 1.0034545987312249e-10
Position 501: 3.815793441315969e-11
Position 124: 1.9259682375247542e-11
Position 173: 5.434536515678908e-12
Position 107: 5.45315827125739e-13
Position 109: 3.3121246487999286e-13
