Gene = Ppp1r35
index = 846
Annotated 5SS: [318 642 859]
Annotated 3SS: [397 721 949]
SMsplice 5SS: [318 642 859]
SMsplice 3SS: [397 721 949]
top_k =  1000
Partition function (log Z): -6.430653804138644

Sorted 5' Splice Sites (High to Low Probability):
Position 859: 0.7576731562632633
Position 318: 0.720494872082016
Position 642: 0.4924195161745578
Position 790: 0.10286308457022646
Position 274: 0.056053588226516314
Position 398: 0.04495753477056048
Position 578: 0.033605184179109335
Position 763: 0.03284759434442066
Position 428: 0.020875838007967516
Position 298: 0.0041175823312823755
Position 147: 0.0037034451357500645
Position 18: 0.0022915461243782414
Position 598: 0.001782288444059051
Position 775: 0.0017476423613632
Position 456: 0.0016291086239796557
Position 433: 0.0012534535278515343
Position 545: 0.0006095497807534235
Position 1120: 0.0006045078015303586
Position 953: 0.0003707347392466997
Position 247: 0.00035255821560649386
Position 632: 0.0003485308247927408
Position 37: 0.00027209502452607613
Position 378: 0.00023938641601566006
Position 24: 0.0002222680520482385
Position 516: 0.00021608102121970722
Position 615: 0.0001898427330547912
Position 559: 0.00012839354166012114
Position 601: 0.00010467015445244785
Position 449: 8.81868409140386e-05
Position 681: 5.588321608297554e-05
Position 11: 5.5521716103571975e-05
Position 119: 5.2455074676605006e-05
Position 61: 4.796949874244053e-05
Position 113: 1.7603887031102278e-05
Position 327: 1.7192103117938905e-05
Position 672: 1.6627380841306023e-05
Position 1006: 1.5794919764177515e-05
Position 1028: 1.0765053153412415e-05
Position 926: 1.0615592229514052e-05
Position 402: 9.93383661736081e-06
Position 675: 7.629403320635811e-06
Position 107: 7.535077916308633e-06
Position 767: 2.2086846552959542e-06
Position 698: 1.63568906054712e-06
Position 1003: 1.0427719833787886e-06
Position 730: 7.032800111254423e-07
Position 21: 4.911275142656223e-07
Position 723: 4.906429426110881e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 949: 0.9367131982265336
Position 721: 0.850756284068941
Position 397: 0.40049630399151714
Position 552: 0.02196956611674163
Position 774: 0.012281379174413602
Position 559: 0.00874768218147707
Position 499: 0.008648054350256368
Position 995: 0.00792234568449876
Position 1028: 0.0063054352036389745
Position 744: 0.004995596503300013
Position 1183: 0.00442854231614034
Position 837: 0.0017983981214620482
Position 952: 0.0016605676965462765
Position 686: 0.0016511464532314186
Position 529: 0.0016456855154502602
Position 789: 0.0013785611588072821
Position 439: 0.0012073214791889202
Position 371: 0.000886537529971905
Position 858: 0.0008778165060465206
Position 786: 0.0008011599668190417
Position 574: 0.0007695222999983761
Position 924: 0.000728500664759055
Position 971: 0.0006811851245656016
Position 1050: 0.0006304646561570382
Position 504: 0.0006023319106929394
Position 1076: 0.00040622483820658054
Position 816: 0.0003839057617431703
Position 757: 0.00032284177547430183
Position 523: 0.00031130545179286625
Position 354: 0.0002686860130850749
Position 484: 0.0002422768274433144
Position 698: 0.00022099483448979445
Position 117: 0.00019673453579196145
Position 174: 0.0001872670230648846
Position 516: 0.00016061621990213685
Position 809: 0.00011439213847795013
Position 864: 9.580928043510667e-05
Position 478: 9.551925218981449e-05
Position 625: 8.709063253223658e-05
Position 1079: 8.410498642171469e-05
Position 501: 8.124011632747376e-05
Position 783: 7.351016026903416e-05
Position 844: 6.787673780403937e-05
Position 167: 4.803319061225272e-05
Position 628: 3.763329627828724e-05
Position 247: 3.297350707481318e-05
Position 581: 3.239992084862642e-05
Position 195: 2.8587010127380453e-05
Position 83: 2.4938350652236703e-05
Position 813: 2.43802064922929e-05
Position 646: 2.2638781329759846e-05
Position 767: 2.2027824909314546e-05
Position 589: 2.123584266998483e-05
Position 586: 1.885410163770826e-05
Position 654: 1.4790983340778278e-05
Position 119: 1.3918075901336636e-05
Position 583: 1.1236408728504666e-05
Position 226: 1.1007917592608438e-05
Position 1162: 8.446670797557707e-06
Position 220: 6.790129619109083e-06
Position 254: 6.568458714026367e-06
Position 135: 3.9846267566771605e-06
Position 189: 3.0700267194742612e-06
Position 89: 2.818976879633316e-06
Position 317: 2.7161216640895246e-06
Position 203: 2.600096886754348e-06
Position 129: 2.14686077097521e-06
Position 1058: 2.1393467671376568e-06
Position 1146: 1.180409956498351e-06
Position 598: 7.108683167341449e-07
Position 197: 4.2987097496181444e-07
Position 301: 3.283049264745525e-07
Position 232: 2.8758005542762916e-07
Position 76: 1.9681672918737462e-07
Position 146: 1.818956483672402e-07
Position 640: 1.478597985541795e-07
Position 137: 9.777895599715851e-08
Position 594: 9.348738722446127e-08
Position 268: 8.239936016494354e-08
Position 322: 5.120172168144931e-08
Position 263: 5.073020335981518e-08
Position 284: 4.027283618107417e-08
Position 307: 2.563916281566485e-08
Position 332: 1.2406256939104816e-08
Position 278: 6.4442376551878445e-09
Position 265: 4.4881040343039024e-09
