Gene = Ints7
index = 586
Annotated 5SS: [  316  6893  7690 11026 18838 20737 21374 26727 29306 30583 32424 34866
 36429 37574 38107 39012 40198 42275 44146]
Annotated 3SS: [ 6762  7542 10887 18790 20536 21250 26608 29170 30484 32183 34727 36221
 37378 38002 38942 40064 42175 43959 45528]
SMsplice 5SS: [  316  4557  6893  7690 11026 20737 21374 26727 29306 30583 32237 32424
 34866 36429 37552 38107 40198 42275 44146 45655]
SMsplice 3SS: [ 4453  6762  7542 10887 20536 21250 26608 29170 30484 32104 32316 34727
 36221 37378 38002 40064 42175 43959 45528 46722]
top_k =  1000
Partition function (log Z): 30.001115165832662

Sorted 5' Splice Sites (High to Low Probability):
Position 11026: 0.9995933787198997
Position 26727: 0.9931208165607068
Position 316: 0.9850619287493516
Position 32424: 0.9759110028129289
Position 6893: 0.9662808432239796
Position 42275: 0.960693197084816
Position 36429: 0.9590878656780455
Position 34866: 0.9580071974954186
Position 20737: 0.9087781708329481
Position 38107: 0.8983090451136033
Position 29306: 0.8653632728036286
Position 21374: 0.8034745037553039
Position 4557: 0.699043180922113
Position 32237: 0.690875786960273
Position 45655: 0.6898743844063079
Position 44146: 0.6806110995974172
Position 7690: 0.6763615877340777
Position 30583: 0.6486524127870241
Position 37552: 0.6367185411804499
Position 10408: 0.6239205203572491
Position 32033: 0.5258916995479774
Position 792: 0.5108154130230289
Position 39012: 0.5040759281864976
Position 34470: 0.40291538837755836
Position 40176: 0.38923911434653685
Position 30997: 0.3270501056176135
Position 34021: 0.3176313809552556
Position 33350: 0.2750331492672302
Position 40106: 0.2654473541479855
Position 10655: 0.23497037550456362
Position 29043: 0.1760470177558901
Position 7783: 0.1624545149258191
Position 17103: 0.1581502425202344
Position 1258: 0.14956524386513928
Position 43580: 0.1393219365493253
Position 21336: 0.12047540702743084
Position 11702: 0.12018807832343356
Position 30563: 0.11287238705765429
Position 36973: 0.11152975380097427
Position 44601: 0.10660629936623929
Position 33835: 0.10542470961721227
Position 41074: 0.10485056355581886
Position 23293: 0.10085077402141847
Position 6218: 0.09920181904637448
Position 28743: 0.09668513102065082
Position 44035: 0.09531529164934036
Position 43060: 0.09442870264176087
Position 37416: 0.08005569393422812
Position 47430: 0.07855475461922803
Position 9139: 0.07701591456396291
Position 2232: 0.07647981992996578
Position 773: 0.07426308652810161
Position 40156: 0.07344511960491538
Position 18838: 0.07337825799178507
Position 27002: 0.07040171986115074
Position 39476: 0.0678047989817239
Position 44911: 0.0634831137841357
Position 1486: 0.04911580296269571
Position 14801: 0.04646645839674829
Position 21357: 0.04645606024056981
Position 9438: 0.04484318358436984
Position 37016: 0.04384145306373801
Position 37007: 0.04144457103324135
Position 42280: 0.03861159295512225
Position 7656: 0.03731742954096252
Position 37162: 0.03707866701011516
Position 33684: 0.03605159956013528
Position 29621: 0.03591473324350893
Position 27111: 0.03573620819027558
Position 39771: 0.03573245550525429
Position 12107: 0.03537774824797022
Position 29639: 0.03424706351042523
Position 3690: 0.034126397804198474
Position 34576: 0.03241927935838578
Position 14354: 0.029460940306197475
Position 38044: 0.029243076594716613
Position 25138: 0.028899427032981963
Position 2658: 0.02886983548456928
Position 43250: 0.027009898903317456
Position 4823: 0.026101304140206276
Position 2334: 0.025942593936335395
Position 24894: 0.02493670209495827
Position 35967: 0.024698367921259384
Position 37660: 0.023119718809853883
Position 21381: 0.021444938816995725
Position 43411: 0.021224792687543095
Position 35071: 0.020796556978840464
Position 35026: 0.02031137543928509
Position 17507: 0.01949029531261276
Position 38163: 0.01901505802044616
