Gene = Rita1
index = 903
Annotated 5SS: [ 316  610 1212]
Annotated 3SS: [ 514  859 2626]
SMsplice 5SS: [ 316 1212]
SMsplice 3SS: [ 859 2445]
top_k =  1000
Partition function (log Z): -4.673798938524856

Sorted 5' Splice Sites (High to Low Probability):
Position 1212: 0.7204353194443134
Position 316: 0.6449673462762758
Position 201: 0.3094985936292208
Position 610: 0.171151942999943
Position 3237: 0.15857273363964838
Position 1148: 0.11792330759319597
Position 643: 0.08814153192084175
Position 189: 0.03793805912295803
Position 1467: 0.030275513400373797
Position 2524: 0.02340631436377277
Position 1217: 0.017171798357461358
Position 988: 0.009505025537038646
Position 2563: 0.00892901074874811
Position 2520: 0.006229283463496197
Position 47: 0.0056453216506573076
Position 715: 0.004093695741979586
Position 1369: 0.0037831237796551315
Position 1841: 0.0031119947664172963
Position 3116: 0.002999078540302678
Position 1088: 0.00273330028834129
Position 1616: 0.002218861341629881
Position 1503: 0.0019698370783651203
Position 2507: 0.0013522776697285214
Position 1009: 0.0013280515081874713
Position 971: 0.001020512659812383
Position 382: 0.0008114182110733126
Position 909: 0.0006417059907123813
Position 3168: 0.00046928946258361563
Position 1421: 0.0003786147764565365
Position 1078: 0.0003725172651681196
Position 293: 0.0003000938349266082
Position 582: 0.0002642524903863721
Position 2835: 0.00021970048355701035
Position 1499: 0.00021530133768356697
Position 732: 0.0002031044237195771
Position 633: 0.00018461953479677505
Position 268: 0.00016610434352235545
Position 603: 0.00016096850003016777
Position 102: 0.00015620030287574464
Position 10: 0.00013049209784444696
Position 921: 0.0001300860154810023
Position 3049: 0.00012845553369728022
Position 2568: 0.0001279770381504444
Position 2495: 9.627859429990397e-05
Position 1611: 8.418190318544459e-05
Position 335: 7.890459743563056e-05
Position 699: 7.836799022217635e-05
Position 257: 7.138570832275194e-05
Position 877: 6.008474864096816e-05
Position 438: 5.72149203584281e-05
Position 647: 5.6370306860672686e-05
Position 753: 4.071628304542563e-05
Position 575: 3.767672985959546e-05
Position 17: 2.8394417122143676e-05
Position 57: 2.7231585414696283e-05
Position 563: 2.4164061856289724e-05
Position 445: 1.9636091617195607e-05
Position 83: 1.9211482208320877e-05
Position 735: 1.6265847238936103e-05
Position 717: 1.3788102270709978e-05
Position 26: 1.231560681049754e-05
Position 424: 1.0267967348730881e-05
Position 166: 9.289571939889014e-06
Position 205: 7.411332247697261e-06
Position 881: 5.0955694414417865e-06
Position 413: 3.9211867120541e-06
Position 678: 3.7600652121118835e-06
Position 55: 3.4357518269598676e-06
Position 1896: 2.77763046310883e-06
Position 1966: 2.711560956641277e-06
Position 1911: 2.5522839275030147e-06
Position 1492: 2.401003417677256e-06
Position 2196: 2.3919120830002556e-06
Position 2114: 2.3414994102943458e-06
Position 1605: 2.2687706395433624e-06
Position 1865: 2.251202034256428e-06
Position 1633: 2.211505312301683e-06
Position 63: 2.203054037299027e-06
Position 1904: 1.8494400724966278e-06
Position 1579: 1.784076662321403e-06
Position 373: 1.7608721228970488e-06
Position 1644: 1.5924587837316079e-06
Position 386: 1.5100931256001213e-06
Position 1671: 1.487310897130045e-06
Position 568: 1.4486525390882266e-06
