Gene = Rab3gap2
index = 881
Annotated 5SS: [  237 17793 28968 30086 31235 31390 31945 34762 36644 42668 43807 43986
 45903 47033 47691 47997 48264 51719 54509 55411 56382 57319 58723 59743
 62958 63163 67384 68526 71831 73105 74250 77624 78394 79424]
Annotated 3SS: [17727 28843 30003 31186 31313 31842 34661 36544 42518 43726 43895 45762
 46815 47546 47913 48198 51627 54380 55196 56283 57212 58561 59513 62783
 63055 67316 68454 71794 73029 74030 77533 78180 79264 79729]
SMsplice 5SS: [  237 17793 30069 31390 31945 34762 36644 42668 43807 43986 45903 47997
 48264 51719 54509 54834 56382 57319 58723 62958 63163 68526 73105 74250
 77624 78394 79424]
SMsplice 3SS: [17727 30003 31313 31842 34661 36544 42518 43726 43895 45762 47913 48198
 51627 54380 54754 56283 57212 58561 62783 63055 68454 73029 74030 77533
 78180 79264 81785]
top_k =  1000
Partition function (log Z): -43.57199154366535

Sorted 5' Splice Sites (High to Low Probability):
Position 17793: 0.9796347779945824
Position 237: 0.9515011987318219
Position 3638: 0.4184291169138114
Position 3922: 0.3905081943947654
Position 21733: 0.32356476671903023
Position 3808: 0.3017749453039741
Position 4514: 0.22797412576460996
Position 3103: 0.2131146058201418
Position 735: 0.20693170898890328
Position 623: 0.1984939197039469
Position 21575: 0.12303570138758133
Position 639: 0.09898082953686471
Position 4541: 0.07473102706127512
Position 5386: 0.07409153212592236
Position 3014: 0.06674541059613578
Position 5931: 0.06358143522079841
Position 18697: 0.06127834035192521
Position 9502: 0.049058061259839726
Position 9553: 0.04642450994873108
Position 8580: 0.04277469270458293
Position 7507: 0.034903461358604476
Position 21953: 0.02774078521666303
Position 20171: 0.027563119932644885
Position 4042: 0.02668825219471154
Position 500: 0.02150647019190745
Position 3091: 0.021440367767975643
Position 20919: 0.017321881255880668
Position 1162: 0.014305245791895186
Position 1284: 0.014148370798766312
Position 18030: 0.014142791194836503
Position 679: 0.011743571920523591
Position 18718: 0.01077156780388355
Position 7244: 0.010143824149557772
Position 4892: 0.009406301507965049
Position 1264: 0.009027140411656594
Position 8808: 0.008431260098340701
Position 1731: 0.008079153867268542
Position 1150: 0.007901539650082858
Position 9570: 0.007139523166726159
Position 7582: 0.006888411671057689
Position 4301: 0.005565104787295987
Position 4222: 0.005461471760570969
Position 620: 0.005229878907699587
Position 3635: 0.004912143738473729
Position 663: 0.00364090383955736
Position 3856: 0.0035885990181741202
Position 9772: 0.0032482441460531387
Position 770: 0.001602205873147384
Position 1478: 0.001431274410641471
Position 531: 0.0011352756705665388
Position 17855: 0.001129762966502163
Position 2544: 0.001066992685196598
Position 2189: 0.0009094689160299351
Position 648: 0.0008672904878298031
Position 1869: 0.0007481307593156361
Position 2287: 0.0007020694038866764
Position 2529: 0.000701845120788525
Position 4871: 0.0006534524888029699
Position 3534: 0.0006411247309131589
Position 3536: 0.0005623631919504653
Position 287: 0.0005545663660671734
Position 444: 0.0004802627198753766
Position 25: 0.00038077786272214633
Position 1515: 0.00031373431031227753
Position 317: 0.000249952463980021
Position 3107: 0.00023631455157121768
Position 65: 0.0002260537428883898
Position 1434: 0.00021494131619885702
Position 1117: 0.0002141034807373418
Position 1662: 0.0002004961269952476
Position 878: 0.00019736344093109097
Position 241: 0.00014093865031684463
Position 1032: 0.00013865760771129864
Position 1396: 0.00013367372475663698
Position 604: 0.0001304933646718823
Position 1301: 0.00012964379084915575
Position 2301: 0.00012960750171104826
Position 504: 0.00012700013424985496
Position 1019: 0.0001206570272161384
Position 113: 9.536424267588025e-05
Position 715: 9.52154321747905e-05
Position 425: 9.125708963493107e-05
Position 8: 7.399403619783727e-05
Position 825: 6.487944725446564e-05
Position 627: 6.38931074669553e-05
Position 329: 6.177261044074693e-05
Position 169: 5.972106114928674e-05
Position 292: 5.5508554554935526e-05
Position 324: 4.938456132037288e-05
Position 53: 4.391226114916404e-05
Position 140: 4.283272768036325e-05
Position 2995: 3.8455899872797815e-05
Position 48: 3.3993942559859594e-05
Position 243: 3.18719714402728e-05
Position 4481: 2.8939199584696882e-05
Position 336: 2.7165198495362886e-05
Position 460: 1.9758272108486313e-05
Position 431: 1.6267704656730043e-05
Position 70: 1.5749657949373367e-05
Position 81: 1.3363105073932503e-05
Position 145: 1.3091213210774604e-05
Position 381: 1.0512129855060599e-05
Position 3980: 9.051315269188152e-06
Position 368: 4.049202202307991e-06
Position 705: 3.272684168122331e-06
Position 466: 2.915204235061847e-06
Position 340: 2.878061359394012e-06
Position 611: 1.3469995012489309e-06
Position 751: 9.076109553083207e-07
Position 6263: 8.647436781616232e-07
Position 7261: 7.209445210670547e-07
Position 567: 3.154262834356024e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 17727: 0.9996389944781361
Position 27400: 0.7204419540489949
Position 3727: 0.6974952562599581
Position 21547: 0.4991660877319353
