Gene = Tipin
index = 1083
Annotated 5SS: [   50  6641  8180  8847 12530 12784 19646]
Annotated 3SS: [ 6510  8106  8770 12406 12719 19438 22703]
SMsplice 5SS: [  384  8847 12530 19646]
SMsplice 3SS: [ 8770 12406 19438 22703]
top_k =  1000
Partition function (log Z): -10.586525226017363

Sorted 5' Splice Sites (High to Low Probability):
Position 8847: 0.9040421708414693
Position 12530: 0.7684420707199072
Position 19646: 0.6146873227064895
Position 8180: 0.47376636995085697
Position 1122: 0.4699711090550279
Position 384: 0.4433544213428933
Position 16901: 0.36149757318763637
Position 50: 0.3534387868387776
Position 9615: 0.3086044417278144
Position 12784: 0.2418911392976248
Position 6641: 0.17432744721617965
Position 45: 0.1346799578826222
Position 22241: 0.11301952583961515
Position 16527: 0.08397067932148397
Position 19133: 0.0719021790543896
Position 14879: 0.06436682395432618
Position 285: 0.041407892479624425
Position 12931: 0.04061382520745163
Position 16463: 0.040336352245332475
Position 19622: 0.035377991919320374
Position 6791: 0.03298628319264858
Position 4051: 0.029731076643778442
Position 15388: 0.02886519613800221
Position 6665: 0.02261916046425248
Position 2912: 0.0195196506792723
Position 2886: 0.01661390601771292
Position 8250: 0.015565588767455958
Position 780: 0.008759187603688337
Position 312: 0.007765492190074107
Position 399: 0.006570678140181385
Position 15256: 0.006311766416733008
Position 21129: 0.006256073074621863
Position 21362: 0.005147649535369676
Position 2055: 0.004574369766035907
Position 1668: 0.003787691351971545
Position 181: 0.0037326276890221276
Position 65: 0.0036084566623000615
Position 490: 0.0034855614430047955
Position 2632: 0.0032877744676128294
Position 4367: 0.002781675544107132
Position 323: 0.0019374957059826391
Position 15285: 0.0018429582513999048
Position 742: 0.0010332002873303988
Position 388: 0.0009483068664806215
Position 5014: 0.0009271871475856185
Position 332: 0.0006894549531897515
Position 11774: 0.00047389597660219007
Position 2644: 0.000270688762417586
Position 10423: 0.0002643436226281508
Position 609: 0.00023783615427901345
Position 9285: 0.00020361092826484903
Position 128: 0.00015869264761747068
Position 620: 8.395214160007368e-05
Position 329: 7.184824240765284e-05
Position 84: 6.268273343755575e-05
Position 1396: 5.88533314953293e-05
Position 868: 4.340589207980542e-05
Position 59: 4.198603413858882e-05
Position 540: 3.4450728362980616e-05
Position 507: 3.406414644753294e-05
Position 425: 2.310432634136449e-05
Position 578: 2.169761554867705e-05
Position 598: 2.1505274377197942e-05
Position 9099: 1.9963838998002073e-05
Position 732: 1.8259367129951537e-05
Position 792: 1.7709840109087e-05
Position 840: 1.5354427154936946e-05
Position 798: 1.4838171196806525e-05
Position 496: 8.976504033537286e-06
Position 908: 6.247125887633073e-06
Position 816: 5.656296099372757e-06
Position 12: 5.389184403327504e-06
Position 515: 5.346304728358093e-06
Position 636: 5.178622275320952e-06
Position 455: 4.8400515102460115e-06
Position 626: 4.293723636682492e-06
Position 701: 4.2490448370782915e-06
Position 362: 3.5856642160470442e-06
Position 39: 3.577362367648e-06
Position 919: 3.2472181675537393e-06
Position 414: 2.5532959880217273e-06
Position 1333: 2.1886356512870573e-06
Position 434: 2.185257421163987e-06
Position 494: 2.1569215919786383e-06
Position 1847: 1.9616793953128784e-06
Position 1774: 1.551662213416894e-06
Position 963: 1.5287040987910224e-06
Position 1242: 1.4671830455669898e-06
Position 1620: 1.2927127019425172e-06
Position 1297: 7.884895248453441e-07
Position 1221: 6.996181433481391e-07
Position 1511: 5.030315665998325e-07
Position 1392: 4.345337546078045e-07
Position 509: 4.0944744317620704e-07
Position 747: 3.852090892307065e-07
Position 1110: 2.022442781846249e-07
Position 1096: 1.6709244914062056e-07
Position 95: 6.57600032447869e-08
Position 14: 1.2807020083872871e-08
Position 673: 1.6880436284854615e-13
Position 978: 6.412921331613056e-14

Sorted 3' Splice Sites (High to Low Probability):
Position 19438: 0.8290381601740319
Position 8770: 0.823301186455491
Position 12406: 0.7685181396445341
Position 22703: 0.5780931351889673
Position 8106: 0.38617296429846587
Position 16803: 0.36310709011411
Position 1023: 0.34496095207516947
Position 12719: 0.24952311967437776
Position 9482: 0.22989691824399985
Position 22122: 0.17328185339664204
Position 16392: 0.11763064203170923
Position 1081: 0.09661025633407383
Position 6550: 0.09541778777242314
Position 6504: 0.09130843630371505
Position 18916: 0.08728228972073175
Position 8701: 0.07899290129075033
Position 22443: 0.06832994948639336
