Gene = Selplg
index = 963
Annotated 5SS: [153]
Annotated 3SS: [10252]
SMsplice 5SS: [153]
SMsplice 3SS: [10252]
top_k =  1000
Partition function (log Z): -7.4689515104334046

Sorted 5' Splice Sites (High to Low Probability):
Position 153: 0.9302157156273532
Position 10586: 0.4851911019082754
Position 10384: 0.42307074186823257
Position 4246: 0.4054307907483621
Position 11747: 0.1682384725635927
Position 7685: 0.12867768374515828
Position 7871: 0.08545695768864141
Position 11318: 0.0747896038167254
Position 6245: 0.07410441350453091
Position 4782: 0.06595441618016455
Position 3425: 0.04500734852861171
Position 236: 0.04351905391056796
Position 5704: 0.04135094219202767
Position 472: 0.03956160374501301
Position 4662: 0.03455468557493868
Position 5100: 0.028756606313529057
Position 7543: 0.02862919471816809
Position 11305: 0.026123889104148274
Position 222: 0.02368930781615774
Position 2715: 0.019332532723411976
Position 6312: 0.014457949815501806
Position 11437: 0.01248162783420181
Position 3274: 0.01188035394949383
Position 7560: 0.010555635656975138
Position 5607: 0.01025882542062029
Position 6820: 0.00878383698742172
Position 5742: 0.0069152083911233975
Position 10355: 0.006207203513415456
Position 7279: 0.005845038064830549
Position 11739: 0.005758741936508444
Position 9898: 0.004869845236123602
Position 5676: 0.004427747363272071
Position 6192: 0.004389186988097203
Position 4270: 0.004209920322432858
Position 5844: 0.004195956004594925
Position 5657: 0.00399394957892267
Position 10387: 0.003847116591451108
Position 2516: 0.00307520702423916
Position 11227: 0.0029864874713665906
Position 1847: 0.0028297828494207467
Position 5757: 0.0024905181938864526
Position 3750: 0.0022178627574048976
Position 4205: 0.0019659947854592063
Position 2883: 0.0019302450384624165
Position 11804: 0.0017809968207841015
Position 1643: 0.0017760633375571554
Position 3345: 0.0017358433925420437
Position 7067: 0.001652879998259775
Position 3984: 0.0015738268121566128
Position 4432: 0.001440238366590713
Position 1527: 0.0014097226501267625
Position 4363: 0.0013146682626735246
Position 4653: 0.0012183433224857848
Position 6118: 0.0012027247884656032
