Gene = Thyn1
index = 1080
Annotated 5SS: [ 337 4059 5495 5930 6728 7232]
Annotated 3SS: [3876 5425 5836 6631 7080 7437]
SMsplice 5SS: [  46  369 4059 5495 5930 6728 7232]
SMsplice 3SS: [ 230 3876 5425 5836 6631 7080 7437]
top_k =  1000
Partition function (log Z): 4.911950198097439

Sorted 5' Splice Sites (High to Low Probability):
Position 6728: 0.948617042292092
Position 5495: 0.931083379841691
Position 5930: 0.8952905483147233
Position 369: 0.662397378478274
Position 7232: 0.5723109481711746
Position 4059: 0.478270579668475
Position 4045: 0.4530543207868314
Position 46: 0.4187732672207231
Position 337: 0.3341853687859157
Position 108: 0.21078608943373442
Position 69: 0.144305111209219
Position 5088: 0.10254331784753101
Position 65: 0.08667183550218006
Position 4326: 0.048437669328676936
Position 6515: 0.03734601777740724
Position 4089: 0.022278070707667866
Position 617: 0.018901768208935934
Position 4793: 0.018187005513066765
Position 5537: 0.015687910759925795
Position 1457: 0.015175896662565993
Position 3075: 0.015123118724763268
Position 2309: 0.013853937097593331
Position 1753: 0.011153198257100438
Position 3782: 0.009750556941913948
Position 1709: 0.00905208050657157
Position 4579: 0.007920972876963603
Position 3118: 0.00786393149975176
Position 1784: 0.0076253147768422696
Position 2357: 0.0070412514520624666
Position 4098: 0.007035665915580593
Position 3077: 0.006561838940814389
Position 6028: 0.005174312803774536
Position 3167: 0.0048548223467125865
Position 6786: 0.004534966300723274
Position 1740: 0.0043680366197708445
Position 2231: 0.004332622094546521
Position 4102: 0.003998965440418799
Position 1788: 0.003867773946019139
Position 658: 0.003741953691059101
Position 6032: 0.003433153534113764
Position 3249: 0.002860604345205672
Position 570: 0.002837446253651289
Position 6400: 0.002587589337025706
Position 6947: 0.0025638828416679267
Position 847: 0.002513593600158762
Position 1706: 0.0022032440284188493
Position 1897: 0.002050226876486759
Position 5018: 0.0017921945978864227
Position 3721: 0.0017509446103079018
Position 628: 0.00154929490324028
Position 3283: 0.0014386291335409989
Position 62: 0.001171313807899671
Position 3258: 0.0009560509376020569
Position 1373: 0.0009539797925352849
Position 2435: 0.0009459593362062868
Position 6126: 0.0009338177870082499
Position 6314: 0.0008928944355029512
Position 6796: 0.0008892248441787911
Position 6721: 0.0008597667449849317
Position 1546: 0.0008575163652726591
Position 1452: 0.0008502838790637898
Position 3309: 0.0008168333295804871
Position 1189: 0.0008112773330960042
Position 2218: 0.0007778935221797774
Position 2570: 0.0007287553429430041
Position 100: 0.0006254033038823767
