Gene = Mfsd13b
index = 676
Annotated 5SS: [  222  3885  6627  9402 13026 16476 17709]
Annotated 3SS: [ 3752  6450  8678 12870 16391 17585 32010]
SMsplice 5SS: [  185  9402 16476 17709]
SMsplice 3SS: [ 9278 16391 17585 31825]
top_k =  1000
Partition function (log Z): -17.45134431169654

Sorted 5' Splice Sites (High to Low Probability):
Position 9402: 0.8809122328933746
Position 16476: 0.8633355124377434
Position 6627: 0.7622327099402835
Position 17709: 0.7517251721112329
Position 12807: 0.604699694342479
Position 4037: 0.33988155341176224
Position 13026: 0.2865608166227282
Position 185: 0.27753327947471096
Position 2657: 0.2663416799273189
Position 161: 0.25648995737724684
Position 1316: 0.23767279160201546
Position 15771: 0.2079216445545155
Position 5854: 0.17979818469284242
Position 1120: 0.15963739864183973
Position 222: 0.127549145704576
Position 21204: 0.07234064094244333
Position 940: 0.07174360882056703
Position 3885: 0.06435487621837122
Position 12655: 0.06418211637968554
Position 4010: 0.06227633455531765
Position 4020: 0.0536338702686216
Position 4659: 0.045980201380504064
Position 71: 0.04540331158800801
Position 51: 0.03889280099458766
Position 711: 0.03727666260608271
Position 6683: 0.037062706004885204
Position 11687: 0.03705620590744185
Position 8538: 0.03125106698282558
Position 18265: 0.0309273673228299
Position 17382: 0.02883944286101151
Position 10756: 0.025207005390772263
Position 21233: 0.02201077713828244
Position 549: 0.01896447044518304
Position 16864: 0.01788377659797344
Position 6164: 0.017700023425547076
Position 100: 0.014283393331108611
Position 6124: 0.011039097485812974
Position 122: 0.010194658770314228
Position 390: 0.009892559246259947
Position 20976: 0.009186366417199004
Position 9360: 0.008757848844686758
Position 473: 0.008665337649263569
Position 2274: 0.008334563053560983
Position 2995: 0.007914180304388143
Position 10573: 0.006623673772305833
Position 10002: 0.006332626062055609
Position 2302: 0.005197616003139995
Position 197: 0.004715574487191194
Position 2985: 0.004457003475125048
Position 6065: 0.004318468511533416
Position 2919: 0.004225539689674559
Position 21951: 0.003818151951169061
Position 1124: 0.0035102399280720026
Position 12284: 0.0034986791642591182
Position 3470: 0.00345721397561444
Position 4985: 0.003254277216992567
Position 3536: 0.0031780479142927533
Position 11573: 0.0029594756788097185
Position 1115: 0.0028520335345066125
Position 11186: 0.0026666565869815626
Position 20: 0.002466636352474956
Position 1095: 0.0023534400351497057
Position 513: 0.0022658051281187353
Position 358: 0.0018327843739406294
Position 3221: 0.0016576745132235024
Position 1765: 0.00160265780395709
Position 12114: 0.0015516397029108884
Position 1332: 0.0010633974368446481
Position 3577: 0.0010616253859412565
Position 2176: 0.0009880852235377693
Position 19784: 0.0008657924212603752
Position 189: 0.0008407557036367176
