Gene = Pgam5
index = 812
Annotated 5SS: [ 236 2801 3977 4148 4376]
Annotated 3SS: [2621 3850 4058 4244 9449]
SMsplice 5SS: [ 236 3977 4148 4376]
SMsplice 3SS: [3850 4058 4241 9449]
top_k =  1000
Partition function (log Z): -1.7191807485949484

Sorted 5' Splice Sites (High to Low Probability):
Position 4376: 0.9614348742051895
Position 3977: 0.9365244990532688
Position 236: 0.9235661769700659
Position 4148: 0.7774677849592883
Position 2801: 0.6472816681447794
Position 2974: 0.3768391806651536
Position 2962: 0.12750323430763144
Position 8854: 0.07367457578578628
Position 7946: 0.06798748636585929
Position 6593: 0.06593981671100609
Position 3801: 0.05496475438447654
Position 698: 0.04677716196959898
Position 251: 0.04115623527394258
Position 7749: 0.036424041792345804
Position 1330: 0.03569782121510273
Position 6947: 0.035022172782188984
Position 2814: 0.03413939189708418
Position 1113: 0.03410627972333279
Position 654: 0.029110190288993587
Position 4095: 0.024420381531684805
Position 9517: 0.02383551419361962
Position 5629: 0.01738509574654885
Position 9594: 0.012379253808228297
Position 129: 0.01165035366471717
Position 4849: 0.010767872784093196
Position 9145: 0.009464313118625842
Position 3182: 0.008520532504246194
Position 6317: 0.008458065196160066
Position 3851: 0.008214132227770895
Position 2966: 0.007934661113161023
Position 3742: 0.007702010573262077
Position 4372: 0.0066993548907963605
Position 8708: 0.006478202755550482
Position 9567: 0.005341587577799895
Position 8764: 0.005259520761693782
Position 4521: 0.005170954059529888
Position 572: 0.004839837377679586
Position 483: 0.004545085354061654
Position 9473: 0.004114548252369284
Position 2826: 0.0039977698269584635
Position 2516: 0.003960688342762917
Position 9533: 0.0039019164617918474
Position 9953: 0.0035943868404703415
Position 1818: 0.0031060286461973155
Position 3835: 0.002692683795363611
Position 334: 0.0026314704615036815
Position 3151: 0.002625621978207874
Position 8639: 0.002476184943319659
Position 999: 0.0022623286988784617
Position 302: 0.001873716258640977
Position 8459: 0.0016408187464174218
Position 9811: 0.001637032442663543
Position 3158: 0.0016039061131144638
Position 5117: 0.0015307135856453585
Position 3747: 0.0015122888268812814
Position 31: 0.001503852647483063
Position 4771: 0.0013099963724327328
Position 1087: 0.0012684009164628818
Position 3172: 0.0012186301138989368
Position 145: 0.0012178293503706664
Position 663: 0.0012008470639342688
Position 8933: 0.001028691241903266
Position 4404: 0.001015026340778125
Position 4434: 0.0009429433943742042
Position 2751: 0.0009410238592448051
Position 2397: 0.0009009638996725244
Position 10174: 0.0007060955829350156
