Gene = Snorc
index = 997
Annotated 5SS: [ 141 4935]
Annotated 3SS: [4751 5057]
SMsplice 5SS: [ 141 4935]
SMsplice 3SS: [4751 5057]
top_k =  1000
Partition function (log Z): -3.185154793782912

Sorted 5' Splice Sites (High to Low Probability):
Position 141: 0.9511375616357074
Position 4935: 0.53168544862423
Position 3680: 0.34476048785841756
Position 2512: 0.3195904772367252
Position 4981: 0.3040849401225255
Position 1819: 0.25644548719662524
Position 1235: 0.08864824092360096
Position 3689: 0.08126877587533043
Position 1689: 0.07855769577416888
Position 310: 0.03321120408600407
Position 4364: 0.03248413594788832
Position 4220: 0.023543263833120658
Position 1396: 0.022961658118855595
Position 249: 0.021929988453862428
Position 1442: 0.01807672930871649
Position 1700: 0.01768511494337258
Position 2503: 0.01135868523905418
Position 2751: 0.010267935510768303
Position 2532: 0.009545517417736033
Position 320: 0.008266904105712333
Position 4037: 0.007719403933158848
Position 4572: 0.007462227047096613
Position 3306: 0.0064268067690426665
Position 2112: 0.005229336057285103
Position 4080: 0.004944252279399969
Position 1140: 0.004123376617049701
Position 1836: 0.003522987245952689
Position 4631: 0.0035102051100192122
Position 4818: 0.003307522213083838
Position 4458: 0.002881327956159217
Position 4812: 0.002458704106933357
Position 3937: 0.002202013798560743
Position 403: 0.0009895675873923715
Position 1407: 0.0006781284187825345
Position 375: 0.0005584892818995257
Position 571: 0.0005532285855479002
Position 1029: 0.0005321965561210564
Position 1651: 0.0005168466847651032
Position 229: 0.0004953194818860012
Position 913: 0.00046719836437263997
Position 1471: 0.00041781416037164963
Position 922: 0.0003715453329848386
Position 1467: 0.0003642584282460482
Position 267: 0.00026694880397487407
Position 362: 0.0002408717310469747
Position 1402: 0.00023527043981696073
Position 299: 0.00018302504684942944
Position 1337: 0.0001786282466115284
Position 1390: 0.0001364830294119236
Position 2491: 0.00011442035221929889
Position 2383: 0.0001074824702709763
Position 1240: 9.489385787515236e-05
Position 1693: 7.274965493536736e-05
Position 131: 6.887426817121106e-05
Position 4137: 6.786287770347408e-05
Position 1767: 6.419706118305269e-05
Position 1679: 5.334221963314157e-05
Position 919: 5.125754089108224e-05
Position 1756: 4.510332008622934e-05
Position 2844: 4.163793313355401e-05
Position 1381: 3.764426926444387e-05
Position 370: 3.720283672095527e-05
Position 2399: 3.7037794952216194e-05
Position 1618: 3.3139032836438655e-05
Position 1250: 2.9002512454798635e-05
Position 3763: 2.5866058994974988e-05
Position 218: 2.5781781276210992e-05
Position 1610: 2.1498987871817053e-05
Position 116: 1.9333294310274247e-05
Position 619: 1.7760225115872977e-05
Position 1932: 1.6769023465320607e-05
Position 644: 1.5781416399029166e-05
Position 1858: 1.496332098245162e-05
Position 324: 1.146449346546108e-05
Position 1149: 1.14016412583936e-05
Position 2011: 1.0282516357251184e-05
Position 926: 7.904777878250692e-06
Position 1900: 5.541070703459524e-06
Position 1113: 5.449413451997139e-06
Position 1987: 3.115578017136457e-06
Position 1131: 2.195542509313787e-06
Position 1138: 1.8647117725082611e-06
Position 36: 9.841618543380245e-07
Position 933: 7.246650781495397e-07
Position 1195: 5.582449637596464e-07
Position 1219: 5.403297380279702e-07
Position 694: 5.273900478824e-07
Position 340: 4.234146168496654e-07
Position 29: 3.51184527361092e-07
Position 576: 3.432512458952676e-07
Position 1058: 3.3988551990736314e-07
Position 38: 1.545748089543413e-07
Position 871: 1.2341909921167008e-07
Position 92: 8.346538651061682e-08
Position 78: 1.5107950752445714e-08
Position 767: 1.8576383681116457e-09
Position 658: 1.5504537866111511e-09
Position 264: 1.2283527985758037e-09
Position 1228: 1.2148029134976535e-09
Position 798: 7.052300061666612e-10
Position 838: 2.2389787415031083e-11
Position 394: 6.286325650486925e-12
Position 387: 3.7140286326381536e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 5057: 0.9703674973231837
Position 4751: 0.5395457703950316
