Gene = Slc8b1
index = 985
Annotated 5SS: [  116  2165  8615  8751  9493  9719  9968 10694 12891 13167 14633 16695
 18496 19229 19981]
Annotated 3SS: [ 1951  8461  8697  9434  9612  9799 10585 12830 13035 14490 16572 18341
 19147 19912 21691]
SMsplice 5SS: [  116  2165  9968 10694 12891 13167 14633 16695 18496]
SMsplice 3SS: [ 1951  9799 10585 12830 13035 14521 16572 18341 21691]
top_k =  1000
Partition function (log Z): 7.118263557290087

Sorted 5' Splice Sites (High to Low Probability):
Position 16695: 0.987341831242637
Position 10694: 0.9804114810121272
Position 9968: 0.9321873151440311
Position 116: 0.9096106535770494
Position 2165: 0.8879634712968193
Position 14633: 0.8517866622211566
Position 12891: 0.8449958129860052
Position 13167: 0.7191453186889469
Position 8615: 0.597049450410784
Position 18496: 0.5641789644331116
Position 561: 0.3654026837792524
Position 19229: 0.2866306229700531
Position 3384: 0.21294553089693583
Position 11906: 0.20236131447793188
Position 14380: 0.18850812065578357
Position 15037: 0.18576020543008226
Position 8854: 0.17105081278343648
Position 13158: 0.1588460599054229
Position 19404: 0.14537604833238693
Position 8866: 0.1421092023339966
Position 340: 0.13717804853270987
Position 12090: 0.10703404275949492
Position 9719: 0.07516212728211752
Position 5016: 0.06117720987331431
Position 6609: 0.06072593328411009
Position 3241: 0.060372495800268836
Position 14629: 0.045083928360590886
Position 14999: 0.04493803627337753
Position 13453: 0.03714271318423889
Position 19505: 0.03454434940124356
Position 8358: 0.02769781416124718
Position 8751: 0.026570564844467157
Position 10956: 0.025289573452231755
Position 11619: 0.024011351841886887
Position 272: 0.021258852661539727
Position 18030: 0.019647976445932885
Position 17400: 0.019306880632148696
Position 8638: 0.017675860566907422
Position 10296: 0.015513231988788977
Position 21393: 0.015415717688358671
Position 9551: 0.015229172921109868
Position 12944: 0.015126933400625459
Position 19981: 0.014328382448691376
Position 12977: 0.012549893213705709
Position 15390: 0.012526247962134345
Position 4763: 0.012255710572099851
Position 14602: 0.011817976080140806
Position 15198: 0.011551972741318509
Position 14432: 0.011313154748658308
Position 18402: 0.011152491704091163
Position 15475: 0.010999668077703794
Position 3162: 0.010013204756058765
Position 15572: 0.009738815078506283
Position 3861: 0.009445983087468164
Position 12968: 0.009132038511363705
Position 17215: 0.0090407641000221
Position 18764: 0.008681086726714882
Position 20096: 0.008497048411914997
Position 7866: 0.008324518673874473
Position 11864: 0.008131906316308356
Position 21911: 0.007203726814575235
Position 14608: 0.006709157434904246
Position 17205: 0.006696756999691696
Position 375: 0.0065397394467682
Position 5152: 0.005735275454413711
Position 926: 0.005719078975165354
Position 819: 0.005707846693422361
Position 12117: 0.005377537549727019
Position 1743: 0.005271936194697457
Position 1226: 0.00522882386710918
Position 10300: 0.005202539194425314
Position 2618: 0.004991280192558246
Position 13600: 0.0048112589618001435
Position 11821: 0.004518081553570656
Position 6182: 0.004433136725267903
Position 14587: 0.004330988391930395
Position 17232: 0.004329580013164872
Position 3103: 0.004172350960596311
Position 18419: 0.003972900809023547
