Gene = Supt7l
index = 1045
Annotated 5SS: [ 159 4120 6691 8507]
Annotated 3SS: [ 3511  6365  8268 10846]
SMsplice 5SS: [ 159 6691 8507]
SMsplice 3SS: [ 6642  8268 10846]
top_k =  1000
Partition function (log Z): -4.504822466120041

Sorted 5' Splice Sites (High to Low Probability):
Position 159: 0.9861554032740143
Position 6691: 0.8810275908348218
Position 4120: 0.699820503638125
Position 3715: 0.3980232374108327
Position 8507: 0.3637948666186413
Position 2195: 0.36184009648700255
Position 8362: 0.3281961036074883
Position 6106: 0.12872213673662733
Position 326: 0.10455681184136743
Position 9956: 0.0989851556826674
Position 1862: 0.0841339230172313
Position 8387: 0.08366161908547143
Position 9275: 0.07496401748741827
Position 8383: 0.06474724216880226
Position 6070: 0.051073460373926786
Position 7983: 0.048427546650279985
Position 9711: 0.038525584680620825
Position 1607: 0.0317054848172985
Position 5122: 0.02867916237917351
Position 8456: 0.014576612883100916
Position 4905: 0.013129117252709691
Position 2462: 0.013113625090192593
Position 10982: 0.011979873299522041
Position 8066: 0.011380609511062106
Position 9817: 0.010703623221625347
Position 7946: 0.006984773045730987
Position 653: 0.00618775431131682
Position 4976: 0.005513756242854768
Position 2397: 0.005095722434560367
Position 8642: 0.004983883095972624
Position 6102: 0.004976956510298478
Position 10939: 0.004417332686788504
Position 6601: 0.00416966040471408
Position 8482: 0.004116810722302946
Position 1589: 0.004060624030338639
Position 6476: 0.003846531793869259
Position 330: 0.0034504743842850025
Position 6462: 0.0034185786540494303
Position 10322: 0.002953182929331564
Position 2884: 0.00284439890688553
Position 2955: 0.002630661745838322
Position 3978: 0.002483755763595409
Position 7964: 0.0024136878696930154
Position 6759: 0.00229714569502397
Position 3209: 0.0021474698185541003
Position 10689: 0.002082967876428505
Position 647: 0.0019104474706414494
Position 10374: 0.0018959951170180367
Position 2054: 0.0018643206779928709
Position 6811: 0.0016561086710752094
Position 6589: 0.0015087311645669258
Position 8757: 0.0013854923725761111
Position 6856: 0.0013525158090856454
Position 9532: 0.001287696009748456
Position 2467: 0.0010624043359087829
Position 2677: 0.0010198048540561073
Position 10762: 0.000993365346950214
Position 1575: 0.0009906983146463003
Position 9734: 0.0009500410219738611
Position 8974: 0.0009172737397877429
Position 6872: 0.000895071954993652
Position 9599: 0.0008069641900153557
Position 4682: 0.000776216335641398
Position 6086: 0.0007503586434070507
Position 9948: 0.0007289026206624791
Position 2560: 0.0007229245256843874
Position 6284: 0.0006913929688540675
Position 715: 0.000651716929211003
Position 677: 0.000640958934547573
Position 2362: 0.0006292393745776443
Position 8205: 0.0006279832160058191
Position 4595: 0.0005357291717348076
Position 1532: 0.00048392319335111337
Position 3024: 0.000437410828720016
Position 2419: 0.00042021312502320653
Position 10005: 0.00038807723909013226
Position 1693: 0.0003789214065904245
Position 7440: 0.0003571370663987006
Position 5200: 0.0003517899123305309
Position 2992: 0.0003163256617498837
Position 10971: 0.00022349843348576728
Position 1895: 0.00019545740530639252
Position 1942: 0.00019102332416231558
Position 1185: 0.0001872250970399892
Position 6786: 0.0001741813861953166
Position 8857: 0.00016934065829537186
Position 2589: 0.00015082078996900815
Position 2531: 0.00011496326859830643
Position 1877: 9.34074311728615e-05
Position 3347: 8.863251693512142e-05
Position 6136: 8.856667332177241e-05
Position 2295: 8.24773417707495e-05
Position 2699: 8.035736727064085e-05
Position 2809: 7.464178647013437e-05
Position 1971: 6.796247045516622e-05
Position 2269: 6.550086862332117e-05
Position 2183: 5.343726101646388e-05
Position 6613: 5.201736021330819e-05
Position 6815: 5.1280955312674314e-05
Position 507: 4.834943848511335e-05
Position 615: 4.3552154256692745e-05
Position 2798: 4.105324050105706e-05
Position 2201: 3.861045666009617e-05
Position 287: 3.68054990894826e-05
Position 135: 3.530154494996456e-05
Position 1545: 3.323030786935509e-05
Position 780: 3.149260535762855e-05
Position 163: 2.9740918860376428e-05
Position 1810: 2.9118391767163156e-05
Position 247: 2.478987107906061e-05
Position 1243: 2.2590774107777793e-05
Position 116: 2.2485134839959035e-05
Position 122: 2.210807545872082e-05
Position 351: 1.7966283971967757e-05
Position 190: 1.5501107557266044e-05
Position 760: 1.4693363009279554e-05
Position 895: 1.3075972131503805e-05
Position 6: 1.286785897811196e-05
Position 747: 1.1846453244568333e-05
Position 1808: 1.1664847290851242e-05
Position 1685: 9.345824864656835e-06
Position 512: 8.847530354315928e-06
Position 1710: 8.112718082199611e-06
Position 1270: 7.74684773519131e-06
Position 795: 7.347384335108999e-06
Position 9244: 7.284253866749325e-06
Position 1181: 7.182002652712101e-06
Position 1889: 7.012642991713916e-06
Position 1790: 5.692505628162651e-06
Position 8656: 3.7047299136606784e-06
Position 60: 3.006959685857946e-06
Position 1041: 2.489455666801322e-06
Position 99: 2.394560775569213e-06
Position 1074: 2.047831005460743e-06
Position 43: 1.8383607647721559e-06
Position 220: 1.4663018405442923e-06
Position 1310: 1.2966344135275478e-06
Position 184: 9.403505537797462e-07
Position 767: 7.83821720812163e-07
Position 51: 7.609294698811511e-07
Position 555: 7.177592310674153e-07
Position 637: 7.045243235203928e-07
Position 447: 6.815044048559217e-07
Position 873: 6.093669420631408e-07
Position 1109: 5.918255798476116e-07
Position 1278: 4.718184923641967e-07
Position 393: 4.5453413671982745e-07
Position 398: 4.3802633045981045e-07
Position 1037: 4.0528488037716477e-07
Position 1061: 2.800360607749679e-07
Position 1168: 1.446123131642752e-07
Position 853: 8.25052098388108e-08
Position 458: 5.673913635622395e-08
Position 244: 7.86176590887544e-09
