Gene = Nosip
index = 760
Annotated 5SS: [   76 11109 11632 12232 13773 13973 14284 14474]
Annotated 3SS: [11033 11525 12149 13612 13853 14095 14364 14855]
SMsplice 5SS: [   76 11109 11632 12232 13773 13973 14284 14474]
SMsplice 3SS: [11033 11525 12149 13612 13853 14095 14364 14855]
top_k =  1000
Partition function (log Z): 16.35045626804382

Sorted 5' Splice Sites (High to Low Probability):
Position 14474: 0.9931275034273872
Position 11632: 0.9896971990619262
Position 14284: 0.9437743926422402
Position 11109: 0.9319990979225943
Position 13973: 0.879364671619064
Position 76: 0.8387550001365851
Position 13773: 0.8221945752677139
Position 12232: 0.5176105301813538
Position 12226: 0.45785666840769945
Position 12015: 0.372115711081509
Position 90: 0.15435268803329028
Position 13718: 0.12245518907737447
Position 3606: 0.1192660031236714
Position 314: 0.10749285712094216
Position 375: 0.09941799192185753
Position 4673: 0.09696873662920573
Position 13386: 0.09030126217314592
Position 3077: 0.07684315786453784
Position 3086: 0.0677957038419631
Position 11158: 0.048351707396217004
Position 9442: 0.04375669523898829
Position 14211: 0.03275030505840025
Position 6777: 0.02924144190145399
Position 9679: 0.027305720251640988
Position 7457: 0.021723058616685997
Position 13685: 0.01718703415195583
Position 3065: 0.014820395648950574
Position 15012: 0.014785675543566924
Position 6729: 0.01452231857433209
Position 2588: 0.012051894664469338
Position 3392: 0.011000389760920009
Position 793: 0.010401171562146138
Position 12656: 0.009940963417004131
Position 13354: 0.00949396256550507
Position 11795: 0.007432656218389462
Position 14980: 0.00590700946594795
Position 12025: 0.004469415395570189
Position 149: 0.004276346381422934
Position 2058: 0.0034207515270014517
Position 2066: 0.0030956455603863508
Position 356: 0.0028596525018109577
Position 11153: 0.002788123615453065
Position 14008: 0.0027538411899982553
Position 12346: 0.0027504610845727503
Position 14263: 0.0026895008711772233
Position 14152: 0.0022531183728858022
Position 11662: 0.0021841074611022235
Position 11850: 0.0020290409189026404
Position 14222: 0.0017406635310526703
Position 3423: 0.0017266465827789272
Position 14945: 0.0015424171281363287
Position 3406: 0.00125030995120525
Position 14231: 0.0011302045531613183
Position 1664: 0.0010989771954694621
Position 12669: 0.0010928630591530066
Position 12909: 0.0010737808964365425
Position 14951: 0.0010693932243133002
Position 11736: 0.0010667064574429962
Position 13796: 0.0010453846486154128
Position 13202: 0.0009191258507554625
Position 12931: 0.0009088624851255306
Position 12712: 0.0009064684885332457
Position 12544: 0.0008752070679245386
Position 14288: 0.0008632143098841683
Position 11790: 0.0008547258964969467
Position 14295: 0.0008411686992252194
Position 3947: 0.0008111488792344269
Position 12566: 0.0006780867168650387
Position 13044: 0.0006299891199288944
Position 12309: 0.0005874748228218211
Position 3460: 0.0005674515511610453
Position 12291: 0.0005552697188593738
Position 12725: 0.0005526497544706065
Position 12505: 0.0005307660283474461
Position 110: 0.000469971709622347
Position 13550: 0.00044543067737609713
Position 13032: 0.000427718821155524
Position 15001: 0.00038941283293672844
Position 14192: 0.00038571792822656597
Position 14156: 0.0003440986216611329
Position 416: 0.0003421714789406179
Position 12552: 0.00030972029826825247
Position 11931: 0.0002980408234946255
Position 11141: 0.00029252070877798384
Position 11627: 0.00027587535890308875
Position 14012: 0.00027459865345571665
Position 15079: 0.0002679916346520833
Position 12306: 0.0002639544492696649
Position 13801: 0.0002491580085080881
Position 11957: 0.00023309014003129435
Position 12165: 0.00022170223710744286
Position 465: 0.00022082264044243728
Position 13142: 0.00021697181335615515
Position 13986: 0.00017473468823598788
Position 13276: 0.00015735645311911828
Position 13825: 0.00014604851831833578
Position 10995: 0.00014323968065653765
Position 14105: 0.00013901551517826329
Position 12738: 0.0001376438629648073
Position 3470: 0.00012133463853842102
Position 9585: 0.00010836105931517694
Position 6669: 9.877477426403883e-05
Position 3360: 9.868447850769292e-05
Position 102: 9.349724420772844e-05
Position 12075: 9.266617817792455e-05
Position 11823: 8.733480102563023e-05
