Gene = Amtn
index = 114
Annotated 5SS: [  76  250 2012 2813 4256 5529 6919 9051]
Annotated 3SS: [ 180 1924 2746 4168 5492 6891 8776 9508]
SMsplice 5SS: [  76  250 2012 4256]
SMsplice 3SS: [ 180 1924 4168 5976]
top_k =  1000
Partition function (log Z): 1.424668249199771

Sorted 5' Splice Sites (High to Low Probability):
Position 76: 0.9820449850051722
Position 4256: 0.9787748891566407
Position 2012: 0.9383924116951707
Position 250: 0.9072278015936097
Position 5529: 0.27190514443987
Position 2944: 0.1536058498117639
Position 2813: 0.13013130616851087
Position 5696: 0.08629053791750317
Position 3970: 0.08269899001720825
Position 9051: 0.06673225100991831
Position 393: 0.05937999315725842
Position 1421: 0.03882329797845229
Position 3428: 0.03239442106881638
Position 548: 0.02903458756359501
Position 919: 0.02534559321821371
Position 3482: 0.02446168504222446
Position 6085: 0.02153624397681313
Position 5710: 0.017945568526109828
Position 3789: 0.013573326726367792
Position 7054: 0.009899111121900964
Position 1979: 0.00958948310070095
Position 6670: 0.007830908504072488
Position 8733: 0.006336200039898855
Position 1974: 0.006328155536120896
Position 1266: 0.005635162799304342
Position 65: 0.0055434887030094875
Position 7091: 0.005075817283674936
Position 9630: 0.004868798908503208
Position 8578: 0.003999669897907471
Position 2472: 0.0039451329269126634
Position 6377: 0.003650875049951207
Position 3246: 0.003222215010820046
Position 4839: 0.002812135583711802
Position 101: 0.00264776927014208
Position 3806: 0.002581520267780054
Position 974: 0.0024921049787815564
Position 4980: 0.002384623461338429
Position 3299: 0.0022987860658155953
Position 5778: 0.002193677051753559
Position 2971: 0.0021097277453163412
Position 5636: 0.0020965902150445635
Position 92: 0.0020771424845809814
Position 6060: 0.001963457684946681
Position 3796: 0.0019541373435890937
Position 6127: 0.0019494902903426493
Position 6292: 0.0019059624579688625
Position 1048: 0.0018108624632574095
Position 4024: 0.00162583850681578
Position 5108: 0.0015753077956375558
Position 4494: 0.0015215437042203216
Position 592: 0.0015004408313293086
Position 5026: 0.0014954130009834916
Position 3268: 0.0013522798047116296
Position 7343: 0.0013486557699701612
Position 274: 0.0011067203731595118
Position 907: 0.001092792158270833
Position 5569: 0.0010725214324505312
Position 5423: 0.0009960662771394506
Position 5012: 0.0009867931950646267
Position 5017: 0.0009746985984523479
Position 2600: 0.0009511397894157215
Position 3925: 0.0009376922571937828
Position 1335: 0.0009183114200272131
Position 3414: 0.000836075196082574
Position 1240: 0.0006532288084215057
Position 6109: 0.0006428012514364084
Position 3215: 0.0006315873819723344
Position 6804: 0.0006143764105086437
Position 3146: 0.0006094140338075284
Position 7034: 0.0006031342352409631
Position 2979: 0.0005654685291472691
Position 6919: 0.0005288370014380334
Position 1020: 0.0005103347891950348
Position 5893: 0.00048658363012407516
Position 9620: 0.0003822720983268599
Position 4703: 0.00037157085462281544
Position 3934: 0.0003491922718547808
Position 362: 0.0003483771593678441
Position 3270: 0.00034654909189140603
Position 1447: 0.000304002794782064
Position 6251: 0.0002731015057869906
Position 21: 0.0002713192058324957
Position 295: 0.00024757771306302824
Position 4100: 0.0002435684637095406
Position 254: 0.00023364619637619558
Position 2747: 0.0002226065096265056
Position 876: 0.00021198330888411355
Position 2331: 0.00021027414530189027
Position 256: 0.000209762103012278
Position 1762: 0.00020315855388008166
Position 1063: 0.0001970793160200276
Position 1873: 0.0001966448955626726
Position 1205: 0.00019386617041738648
Position 2797: 0.00019047075042364855
Position 1409: 0.00018891844611472258
Position 3917: 0.0001837030622181941
Position 4991: 0.0001642569721041549
Position 408: 0.00015269173568670965
Position 344: 0.00014256504527522475
Position 1043: 0.00013875228264417276
Position 2465: 0.00013204014060830448
Position 1522: 0.00012216646059833865
Position 2817: 9.764159842396591e-05
Position 5617: 9.58531275303e-05
Position 5788: 9.375391888680071e-05
Position 4020: 8.974861168646837e-05
Position 5371: 8.681334768110356e-05
Position 5223: 8.093574900306212e-05
Position 2188: 6.688220440794607e-05
Position 4809: 5.603967054687031e-05
Position 4953: 5.371657485979016e-05
Position 6275: 5.3123391259257285e-05
Position 521: 4.88104438183128e-05
Position 2355: 4.2294846578572495e-05
Position 139: 3.826317282933542e-05
Position 1863: 3.382355290440235e-05
Position 34: 3.371394951713219e-05
Position 3008: 3.155459073740239e-05
Position 3190: 3.083837916997811e-05
