Gene = Cox5a
index = 292
Annotated 5SS: [  137  7794  9084 10514]
Annotated 3SS: [ 7676  8961 10389 11002]
SMsplice 5SS: [  137  7794  9084 10514]
SMsplice 3SS: [ 7676  8961 10389 11002]
top_k =  1000
Partition function (log Z): 0.5964105559714536

Sorted 5' Splice Sites (High to Low Probability):
Position 7794: 0.9959222977921052
Position 137: 0.9377446575287003
Position 9084: 0.8735847772529631
Position 10514: 0.8322374440256581
Position 8879: 0.5976294551270042
Position 3301: 0.3640747028842169
Position 497: 0.21804917571579596
Position 8696: 0.21047164986529912
Position 8221: 0.20271463055204728
Position 10923: 0.1232177219011183
Position 8499: 0.10379462543938334
Position 4531: 0.07347142141611565
Position 360: 0.06805174331308025
Position 5517: 0.05022298470475742
Position 8273: 0.02374188373445236
Position 142: 0.02323117723795872
Position 8278: 0.02273986110146525
Position 635: 0.022225185163052556
Position 2888: 0.014883199926714968
Position 9038: 0.014859113797311049
Position 10314: 0.014249348696275867
Position 5697: 0.013995788288644196
Position 4570: 0.013412031896071252
Position 6829: 0.011078128399293638
Position 9075: 0.00913180915437162
Position 8929: 0.008994808387307702
Position 10898: 0.0086515154077103
Position 2664: 0.008388045551203318
Position 1038: 0.007469462665943072
Position 10666: 0.007366761287937093
Position 1074: 0.006840981553769641
Position 534: 0.005068175831431149
Position 4959: 0.00443540446685185
Position 6415: 0.004262488334753072
Position 10889: 0.0038594993026632167
Position 9698: 0.003338789998008317
Position 9122: 0.003233104540489436
Position 4307: 0.00322294674380426
Position 5378: 0.0032121598283111463
Position 10879: 0.0025464391864453238
Position 9947: 0.0025238379030201627
Position 8080: 0.002254359795086416
Position 8764: 0.00222423054576957
Position 9320: 0.002141416344894308
Position 7350: 0.0018598332791636583
Position 1749: 0.0018464591166368533
Position 9107: 0.0017849598342120447
Position 6610: 0.001759997599489874
Position 8423: 0.0017467126705048152
Position 8687: 0.0017325723709576547
Position 6659: 0.0017113595928242497
Position 1585: 0.001694691360896414
Position 1405: 0.0016025224422662034
Position 719: 0.0015892936400580663
Position 6843: 0.0013821293944585096
Position 3061: 0.0013415253446358642
Position 9953: 0.0012125345162592065
Position 2635: 0.001188024308405558
Position 8849: 0.0009998796656038621
Position 10536: 0.0009976101253366613
Position 2713: 0.000933102299507618
Position 1651: 0.0009180962523564023
Position 8269: 0.0008998207673002809
Position 10334: 0.0008324435645750705
Position 10911: 0.0008175602488378443
Position 10105: 0.0007626272530898989
Position 10864: 0.0006233096096932546
Position 8523: 0.000606038804954746
Position 10560: 0.0005953719687862436
Position 7788: 0.0005371593130853467
Position 10847: 0.0005343022039712913
Position 297: 0.000530589004611398
Position 7811: 0.00046915035746592914
Position 271: 0.00043346263067828696
Position 8742: 0.000416139040106012
Position 10500: 0.00032937740977281475
Position 7951: 0.0002975699119416776
Position 9887: 0.00025868348909718317
Position 8512: 0.0002563547593469041
Position 262: 0.00022007274901682957
Position 1007: 0.00020424181999542822
Position 10129: 0.0001700054763594939
Position 10836: 0.00016630431081946585
Position 1846: 0.00013094580161340932
Position 4137: 0.00012582852065886599
Position 8475: 0.00012152174078286972
Position 2704: 0.00011303931568698727
Position 10623: 0.00010091214641282164
Position 8292: 9.948296232952013e-05
Position 780: 9.22642055027622e-05
Position 4064: 8.160720590161395e-05
Position 2165: 7.678765954211941e-05
Position 562: 7.416605353852265e-05
Position 9088: 6.509040194122085e-05
Position 9769: 5.808828585327847e-05
Position 7883: 4.485692190057427e-05
Position 355: 3.212657920340434e-05
Position 3145: 3.1328786879722496e-05
Position 10594: 2.622411408952828e-05
Position 8485: 2.5719300160104307e-05
Position 10642: 2.335250281507109e-05
Position 2710: 1.616127310484735e-05
Position 7974: 1.4914184838495733e-05
Position 74: 1.2060833359261283e-05
Position 170: 1.0755160241305255e-05
Position 3105: 1.0302408015770581e-05
Position 275: 8.76178492887608e-06
Position 292: 6.701238119782294e-06
Position 3719: 6.5867483589528785e-06
Position 656: 3.883553251525102e-06
Position 181: 2.8081013625245484e-06
Position 30: 2.6584606590991915e-06
Position 378: 1.9681639020520677e-06
Position 1619: 1.6791367160386702e-06
Position 880: 1.3904347167099657e-06
Position 1641: 1.0363705120671995e-06
Position 172: 9.107367139493691e-07
Position 362: 8.239103006446084e-07
Position 700: 7.726064945918223e-07
Position 364: 7.696681529914936e-07
Position 68: 7.523329017967601e-07
Position 806: 6.361418484959219e-07
Position 804: 5.030699977235887e-07
Position 645: 4.4723873473792376e-07
Position 421: 2.896043816664237e-07
Position 766: 2.806794362409539e-07
Position 46: 2.450348850956093e-07
Position 40: 2.399803750876916e-07
Position 285: 2.303762807832483e-07
Position 16: 1.8012961166646768e-07
Position 679: 1.5368366160229742e-07
Position 705: 1.4104729424849934e-07
Position 410: 1.0154352191545232e-07
Position 1208: 5.6375808504838174e-08
Position 7745: 5.212481957558407e-08
Position 1376: 4.859680275732371e-08
Position 827: 4.652834085201235e-08
Position 463: 3.650703986118942e-08
Position 37: 1.9603856005492216e-08
Position 295: 4.444704646206519e-09
Position 427: 2.5684697097072063e-09
Position 616: 4.2996845438068934e-11
Position 618: 1.9504580025064766e-11
Position 2012: 7.301396599181219e-12
Position 1954: 4.086456271836551e-12
Position 1526: 3.9039997908454e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 7676: 0.9968667985068925
Position 8961: 0.8895630830591476
Position 11002: 0.8168966291014351
Position 10389: 0.5090611690646462
Position 8805: 0.3754485819662841
Position 3043: 0.22838156479873456
Position 10787: 0.21897462751417685
Position 8607: 0.1948851082134453
Position 448: 0.17806381728707343
Position 10369: 0.16475763489353065
Position 10256: 0.12850010242060791
Position 8041: 0.11257252744443859
Position 8778: 0.1090580432544492
Position 8156: 0.08162569900887248
Position 8629: 0.07323275595962413
Position 10434: 0.061973563915330036
Position 8382: 0.06102951932816064
Position 4226: 0.055973160058102905
Position 8021: 0.041487404806115104
Position 8356: 0.039214721191066976
Position 410: 0.03775882374323442
Position 8687: 0.031751558853711476
Position 5430: 0.02778940414760618
Position 10588: 0.027732898433608447
Position 4377: 0.027218246585945627
Position 8732: 0.022703173579963803
Position 5267: 0.01994200064483297
Position 213: 0.019267791339465393
Position 6562: 0.01593161498606627
Position 3236: 0.015398150650658183
Position 10757: 0.015192789485557686
Position 3266: 0.014769261775377034
Position 8129: 0.0142146561295457
Position 920: 0.013728132658943073
Position 3087: 0.013639074620052217
Position 2795: 0.0135781767051406
Position 3212: 0.012716724322148498
Position 3128: 0.011976019684847313
Position 271: 0.01172398553880365
Position 2553: 0.011655610611284268
Position 3185: 0.011249976716844004
Position 10646: 0.010297052722400685
