Gene = Lce1m
index = 628
Annotated 5SS: [44]
Annotated 3SS: [420]
SMsplice 5SS: [184]
SMsplice 3SS: [420]
top_k =  1000
Partition function (log Z): -10.08785451779443

Sorted 5' Splice Sites (High to Low Probability):
Position 184: 0.7308616184889172
Position 44: 0.21591488045956134
Position 119: 0.036226456285693
Position 151: 0.010125159562277703
Position 106: 0.0024745372488554555
Position 339: 0.0011275340139660598
Position 491: 0.0008388711349881707
Position 514: 0.0008061083605120001
Position 203: 0.0007546724775902769
Position 970: 0.0004892744951950684
Position 177: 0.00046508270684927694
Position 222: 0.0004582600974841569
Position 245: 0.00037568283001338226
Position 850: 0.00026891583809573083
Position 266: 0.00019670607571336705
Position 886: 0.00013253704480281883
Position 862: 0.0001287517714846577
Position 523: 0.0001134457532676572
Position 18: 0.00010924964420723195
Position 302: 0.00010740916394737524
Position 165: 9.44236404900303e-05
Position 197: 8.956087837038573e-05
Position 619: 8.865495882470458e-05
Position 823: 8.633473318066369e-05
Position 793: 8.254204382804042e-05
Position 754: 7.734558282663798e-05
Position 1128: 6.511576105416716e-05
Position 439: 4.8734875850215255e-05
Position 784: 4.6688823306840676e-05
Position 691: 4.130686429281678e-05
Position 814: 3.989985713643724e-05
Position 664: 3.278624848313696e-05
Position 772: 3.245079797176457e-05
Position 745: 3.194534186213385e-05
Position 646: 2.8490459743758383e-05
Position 350: 2.506179986688205e-05
Position 682: 2.4607945113838177e-05
Position 733: 2.4333358421104186e-05
Position 574: 2.3211140575083067e-05
Position 1080: 2.081447274002959e-05
Position 31: 2.012721839287463e-05
Position 655: 1.6448915618986757e-05
Position 1120: 1.4944794058316187e-05
Position 721: 1.481511757128239e-05
Position 856: 1.400723544957424e-05
Position 628: 1.2390514076908614e-05
Position 841: 1.1034056572459235e-05
Position 434: 1.0914723239616739e-05
Position 868: 1.0808146166272662e-05
Position 81: 9.211478222840822e-06
Position 709: 8.287408598676216e-06
Position 541: 7.05504605801158e-06
Position 577: 6.923457215629464e-06
Position 844: 5.671975461264296e-06
Position 1035: 5.300429479705957e-06
Position 538: 5.1283517862544e-06
Position 458: 4.061580007681595e-06
Position 355: 3.2524155888312563e-06
Position 892: 2.3324283323890644e-06
Position 397: 2.306050249656643e-06
Position 378: 1.5431543111651436e-09
Position 420: 3.0088661289202104e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 420: 0.404504331426414
Position 1061: 0.21173592244426867
Position 517: 0.1266174731779271
Position 634: 0.05589696552032611
Position 222: 0.04984337791281872
Position 547: 0.03800998197806066
Position 565: 0.027364610885575995
Position 1104: 0.022608097572707455
Position 649: 0.008082844917649186
Position 326: 0.008078136694045447
Position 1064: 0.005525365360757895
Position 446: 0.005309949222367345
Position 482: 0.005263117649129613
Position 443: 0.0032872905370899814
Position 652: 0.0031510929374451773
Position 955: 0.0027335693046950495
Position 706: 0.002189716451823625
Position 350: 0.0021247453810791426
Position 294: 0.0017700616136336034
Position 679: 0.001578997278871451
Position 969: 0.001390827855986032
Position 769: 0.0013072169658376184
Position 602: 0.0012907416646929278
Position 431: 0.000978829181226056
Position 1127: 0.0008603050891815245
Position 1237: 0.0008588810299388059
Position 892: 0.0006338029671609492
Position 355: 0.0005875476689707936
Position 688: 0.00045532276468918397
Position 715: 0.0004338285680553413
Position 238: 0.000421746765529725
Position 1204: 0.0004168708579718943
Position 703: 0.0003792827446355881
Position 328: 0.0003640529187581739
Position 364: 0.00034028240008428674
Position 811: 0.00029395162154432754
Position 727: 0.0002931841854421434
Position 676: 0.00028601668088310954
Position 375: 0.0002849649588802192
Position 808: 0.00026126458062361487
Position 778: 0.0002527984502024466
Position 661: 0.00025264961767336143
Position 183: 0.0002511342556798737
Position 766: 0.0002475486479331641
Position 739: 0.00024366751319255796
Position 1119: 0.00023715197290238813
Position 993: 0.00023393389868853147
Position 730: 0.00022486619315604072
Position 838: 0.00021262122185611347
Position 919: 0.0002015644330146273
Position 751: 0.00018853636158827966
Position 592: 0.00018286229720369202
Position 742: 0.00015521895077146217
Position 841: 0.00015446896155583902
Position 718: 0.00014183857499530601
Position 130: 0.0001258409848205963
Position 931: 0.0001228606574902232
Position 805: 0.000103587835102027
Position 491: 0.00010349432680008232
Position 941: 0.00010346472403995036
Position 913: 9.95228229712576e-05
Position 925: 9.616627153955808e-05
Position 664: 9.216930600906695e-05
Position 452: 8.553087582983642e-05
Position 916: 8.144426700006953e-05
Position 296: 6.865103166069298e-05
Position 242: 6.742380137833459e-05
Position 889: 6.504563301374895e-05
Position 790: 6.39079451977043e-05
Position 117: 6.361821559863969e-05
Position 781: 6.277789583851216e-05
Position 938: 6.054788131253744e-05
Position 177: 6.0176869258347277e-05
Position 448: 6.003794022338801e-05
Position 754: 5.7163912913466544e-05
Position 691: 5.708973795983521e-05
Position 835: 5.082979187681135e-05
Position 245: 4.84441489639618e-05
Position 256: 3.07656898666534e-05
Position 1007: 3.02333372965988e-05
Position 458: 2.2610730953387575e-05
Position 1071: 2.2419124625414887e-05
Position 1189: 2.1744736646656814e-05
Position 1134: 2.082307674017262e-05
Position 874: 1.9018726828945683e-05
Position 793: 1.8991346161349265e-05
Position 901: 1.8851944654673752e-05
Position 823: 1.697116664826194e-05
Position 1033: 1.6128863657662706e-05
Position 904: 1.581504881151843e-05
Position 862: 1.537575617299916e-05
Position 464: 1.4075001630558947e-05
Position 203: 1.2211727849251124e-05
Position 1028: 9.97401203694952e-06
Position 139: 9.008339854253764e-06
Position 820: 8.22392054638975e-06
Position 853: 7.87211605695759e-06
Position 877: 6.143600328747269e-06
Position 163: 6.015154681666978e-06
Position 155: 5.984375984184969e-06
Position 333: 5.7177504138880795e-06
Position 850: 4.1039183261300284e-06
Position 1019: 3.0261576971178474e-06
Position 865: 3.002674254976384e-06
Position 193: 2.1341678312193266e-06
Position 1141: 1.7064994754828672e-06
Position 147: 1.4568927908345134e-07
Position 93: 8.930362296385378e-08
Position 149: 4.0999245106910484e-08
Position 81: 1.613998550125748e-08
Position 97: 9.029750971169131e-09
Position 158: 8.131640744984424e-09
