Gene = Mto1
index = 723
Annotated 5SS: [  303  1411  1628  4846  9115  9399  9840 12830 13484 16795 22584]
Annotated 3SS: [ 1210  1509  4555  9001  9207  9708 12624 13311 16675 22422 25581]
SMsplice 5SS: [  303  1411  9115  9399  9840 13484 16795 18671 22584]
SMsplice 3SS: [ 1210  9001  9207  9708 13343 16675 18457 22422 25581]
top_k =  1000
Partition function (log Z): 2.9527342101463536

Sorted 5' Splice Sites (High to Low Probability):
Position 9115: 0.9978362505889802
Position 16795: 0.9776244893235937
Position 9399: 0.9402929255583238
Position 22584: 0.9230368194185131
Position 9840: 0.8676891841216439
Position 303: 0.7773240907038478
Position 1411: 0.6990474217777978
Position 12830: 0.6539091084172569
Position 18671: 0.6536063954361304
Position 13484: 0.6021366984533216
Position 997: 0.4864233464940192
Position 25342: 0.3242946889623095
Position 13001: 0.26589814456641936
Position 13387: 0.2612186063532729
Position 5141: 0.19332525806413248
Position 3892: 0.17553993173711654
Position 4846: 0.17365130991585132
Position 3921: 0.16447715716596392
Position 22906: 0.1339164757778304
Position 5466: 0.11094300690757138
Position 1446: 0.10859681433198302
Position 11818: 0.10743295603699451
Position 1628: 0.0887664234765412
Position 19445: 0.07510486421405041
Position 1343: 0.07121739951909277
Position 14644: 0.06829865444323513
Position 51: 0.06462546316665863
Position 433: 0.06204124076869996
Position 15676: 0.05476172828059511
Position 520: 0.050420258761043994
Position 6162: 0.04122996840183823
Position 12229: 0.040874039169134055
Position 1316: 0.036484411348375066
Position 4714: 0.033112259311365515
Position 25456: 0.030841737978841106
Position 5200: 0.02460013434424763
Position 5977: 0.024004555371053667
Position 22889: 0.022048860910771653
Position 15336: 0.019558206260200356
Position 1433: 0.019300871193567035
Position 10661: 0.01854192812438575
Position 3247: 0.01825719868837219
Position 203: 0.011869316106226262
Position 11491: 0.011446618847971816
Position 2337: 0.010585996339735497
Position 5783: 0.010117808222244206
Position 57: 0.009495831994478602
Position 9533: 0.008933847207985941
Position 9427: 0.008325990921837504
Position 10458: 0.007017602998947278
Position 569: 0.006945896824079267
Position 17012: 0.00693615251514581
Position 24113: 0.006142545757061459
Position 22762: 0.005701032936630711
Position 12743: 0.0056010838493949396
Position 13032: 0.005589139335048308
Position 956: 0.004748991013872814
Position 3680: 0.004611686985510469
Position 559: 0.004103951041911264
Position 959: 0.0037903287821164098
Position 12975: 0.0036696584072680146
Position 3228: 0.0035507028121753038
Position 381: 0.003194434990162264
