Gene = Rpe
index = 915
Annotated 5SS: [  198  5695 13886 14417 15215]
Annotated 3SS: [ 5614 13745 14281 15127 16922]
SMsplice 5SS: [  198  5695 13886 14417]
SMsplice 3SS: [ 5614 13745 14281 16455]
top_k =  1000
Partition function (log Z): -7.377633121044592

Sorted 5' Splice Sites (High to Low Probability):
Position 5695: 0.9916195947332822
Position 13886: 0.8671208515682216
Position 198: 0.8292513228474223
Position 14417: 0.6669021594776096
Position 6056: 0.4037627774814689
Position 15215: 0.3546352928059127
Position 12771: 0.2725787496343404
Position 6781: 0.18189603032740015
Position 14441: 0.13826612955187031
Position 806: 0.12728461788078035
Position 3883: 0.08945332511102716
Position 3935: 0.08714284161212815
Position 2909: 0.08210289083337545
Position 3219: 0.0754016831688951
Position 4926: 0.057564559145722845
Position 18248: 0.04646922242981914
Position 818: 0.04421687556087341
Position 16130: 0.04272634999768929
Position 17181: 0.03876550300178179
Position 187: 0.03676745235821774
Position 13935: 0.026657724195464305
Position 2375: 0.02655809280513867
Position 1926: 0.017423646059584463
Position 4706: 0.014292927003082458
Position 1964: 0.01404915583379085
Position 2737: 0.012714832070043357
Position 3749: 0.010433018668422424
Position 2927: 0.00925688701319335
Position 1427: 0.009109900627511908
Position 2518: 0.007832798224174552
Position 14357: 0.006368958435415729
Position 6421: 0.00626172749953129
Position 5034: 0.006121480049962898
Position 4854: 0.0060557215523897295
Position 15361: 0.006013012227485191
Position 5978: 0.0057558279641564975
Position 1457: 0.004865936902078937
Position 235: 0.004546685630548357
Position 3501: 0.004057185161531907
Position 735: 0.004042289869120488
Position 377: 0.003257154866227992
Position 2953: 0.0029603004013533684
Position 4657: 0.0026660440124725527
Position 9701: 0.0025874778436992918
Position 6191: 0.0025492850453427327
Position 5751: 0.0024459202472340894
Position 358: 0.0023356158099432905
Position 5699: 0.0022189443479672423
Position 1959: 0.0021109762303245343
Position 625: 0.002108072926331783
Position 141: 0.002014907810537287
Position 3725: 0.0019883922026926043
Position 8894: 0.0019103741846890141
Position 3171: 0.001781021965314187
Position 728: 0.0016627093307806167
Position 2488: 0.0014724386783654551
Position 6206: 0.001379969113456317
Position 3868: 0.0010114060377798596
Position 1174: 0.0009740122518298889
Position 5755: 0.0009532770083672109
Position 15182: 0.0008985831407305894
Position 4992: 0.0008464295630465199
Position 387: 0.00065436054241391
Position 4808: 0.0006461903243892328
Position 708: 0.0006289313542572067
Position 4787: 0.0005982256974269394
Position 1433: 0.0005543352153149436
Position 285: 0.0005444896528166513
Position 3770: 0.0005246007818202867
Position 4673: 0.0005136844149640782
Position 433: 0.00047812145195351706
Position 692: 0.000372808016525594
Position 1459: 0.0003124466842309759
Position 4792: 0.00025360847732686044
Position 618: 0.00025003115604236783
Position 3919: 0.0002397433193729858
Position 822: 0.00021843417802171552
Position 2339: 0.00020365333984505025
Position 1938: 0.00018320632601342786
Position 270: 0.00018320196666788384
Position 732: 0.00013959228896338538
Position 16711: 0.00013952337626958332
Position 2293: 0.00010616165192780989
Position 1037: 8.843796551608652e-05
Position 11059: 5.4226693344198704e-05
Position 5703: 4.2540731920128085e-05
Position 5590: 3.1783646971483315e-05
Position 5956: 2.3040026900637177e-05
Position 2145: 1.5724811884706875e-05
Position 6210: 1.4850904491270966e-05
Position 6230: 1.3671925641914182e-05
Position 5759: 1.2967902881876661e-05
Position 7122: 7.993561606451003e-06
Position 81: 4.25343805371263e-06
Position 241: 4.101760628620129e-06
Position 1997: 4.051264314381134e-06
Position 6258: 3.973424359415117e-06
Position 102: 3.7865029209962785e-06
Position 45: 3.7695028694536092e-06
Position 2149: 3.0396636459310845e-06
Position 7673: 2.897986395658149e-06
Position 5886: 2.677615257481853e-06
Position 1401: 2.1561507025109475e-06
Position 697: 2.0351856846186514e-06
Position 6008: 1.8888622948979945e-06
Position 623: 1.8802607208678298e-06
Position 384: 1.8290864761111238e-06
Position 441: 1.6977028151579765e-06
Position 415: 1.6328710868923058e-06
Position 1897: 1.3553408573983044e-06
Position 5973: 1.2781923001356586e-06
Position 6133: 1.2669967660501325e-06
Position 6003: 1.1038858205849037e-06
