Gene = Polr3gl
index = 835
Annotated 5SS: [   98 12094 12538 13347 13732 14166 14384]
Annotated 3SS: [11925 12407 13277 13674 14091 14269 15592]
SMsplice 5SS: [   98  5390 13347 13732 14166 14384 15509]
SMsplice 3SS: [ 5259 13277 13674 14091 14269 15311 15592]
top_k =  1000
Partition function (log Z): 1.5647581993492907

Sorted 5' Splice Sites (High to Low Probability):
Position 13347: 0.9647983389695638
Position 98: 0.961458720780312
Position 14384: 0.9074675353804063
Position 5390: 0.8955116698042015
Position 13732: 0.8824587352958894
Position 14166: 0.6243826482180851
Position 12094: 0.460048725435807
Position 12538: 0.44994664011597113
Position 13177: 0.4105789581726807
Position 15509: 0.38845505899225197
Position 11695: 0.24179543906407508
Position 15484: 0.22960697109783285
Position 11474: 0.14932819083899956
Position 14717: 0.12408311100384678
Position 7347: 0.08678113846492044
Position 1463: 0.07636500635610964
Position 9292: 0.07431567964400852
Position 6479: 0.056656425832776997
Position 3321: 0.051837513097474634
Position 1360: 0.04608860559673152
Position 3326: 0.03994035033018514
Position 13397: 0.03103742873449231
Position 4070: 0.022169378066238404
Position 9744: 0.021447235309346904
Position 6682: 0.021012549534831285
Position 138: 0.019103234393160307
Position 9781: 0.016957945111845483
Position 572: 0.014083367962358059
Position 10627: 0.01137659954559936
Position 6856: 0.011191979979059146
Position 4526: 0.010864586198484662
Position 12047: 0.008947150272780162
Position 14719: 0.007575751857917388
Position 6702: 0.007448197894288026
Position 2109: 0.007365307552860921
Position 824: 0.007328388071364521
Position 15490: 0.007179221158416868
Position 13693: 0.007068776745594334
Position 13770: 0.0062591675285916725
Position 865: 0.005584923627412772
Position 15359: 0.00505699628340437
Position 2743: 0.004715008845399857
Position 14233: 0.00440173571225953
Position 15423: 0.004043847729839702
Position 5803: 0.0037282525754516794
Position 351: 0.0034486688736051507
Position 15069: 0.0032029938463485697
Position 15515: 0.002829135592423806
Position 4203: 0.002755100106568947
Position 3121: 0.0027435380876004926
Position 14237: 0.0024903980944821673
Position 262: 0.0022211753269525923
Position 321: 0.0021796783621588715
Position 15406: 0.002000715834709981
Position 175: 0.0018995967929056714
Position 128: 0.0018004336247763088
Position 14632: 0.0017185291850171658
Position 13719: 0.0016782473668904626
Position 1898: 0.0011635108376566857
Position 844: 0.0011288903287648463
Position 602: 0.0011029635565397912
Position 9659: 0.001087847706370809
Position 4187: 0.0010658326716076005
Position 13868: 0.00103747253497693
Position 14177: 0.0010202503590214253
Position 8405: 0.0008989175369421039
Position 5728: 0.0008773300270652296
Position 2121: 0.0007824194532029435
Position 1652: 0.0006903402733429226
Position 13710: 0.0006610652794572206
Position 15474: 0.0006429807882465316
Position 13974: 0.0005406538795827206
Position 14659: 0.0005051761487977894
Position 13351: 0.00046229775986100964
Position 13976: 0.0004315639399213815
Position 14906: 0.00040763895850585925
Position 14590: 0.0003955377036775398
Position 14840: 0.00037826987228998214
Position 15511: 0.0003777699742699947
Position 13762: 0.0002584432747732575
Position 13863: 0.00025684217252273163
Position 14803: 0.0002394133791907813
Position 14732: 0.0002038084509585947
Position 505: 0.0002023856756898228
Position 13993: 0.00018865590540722188
Position 14805: 0.0001658760146959694
Position 13848: 0.00015443240503769777
Position 14793: 0.00015226807951560596
Position 133: 0.00014488517000148983
Position 15342: 0.00014415182128859957
Position 16049: 0.00011856808941994887
Position 473: 8.64066228591662e-05
Position 656: 6.120884062650737e-05
Position 14601: 5.464858994613576e-05
Position 378: 4.771606236383566e-05
Position 57: 4.4145522041892406e-05
Position 1209: 4.051919061922978e-05
Position 191: 4.0180460043420945e-05
Position 15776: 3.894859537342563e-05
Position 69: 3.749834605204484e-05
Position 6424: 3.127790557866381e-05
Position 331: 2.1759959829009997e-05
