Gene = G0s2
index = 419
Annotated 5SS: [229]
Annotated 3SS: [414]
SMsplice 5SS: [229]
SMsplice 3SS: [414]
top_k =  1000
Partition function (log Z): -7.880349429837002

Sorted 5' Splice Sites (High to Low Probability):
Position 229: 0.9809259399537748
Position 256: 0.009972701336826576
Position 200: 0.00577026360765288
Position 798: 0.004167705684534385
Position 552: 0.0020983143958021055
Position 49: 0.002032966598342839
Position 578: 0.0018857261580353482
Position 319: 0.0008009575109613246
Position 524: 0.0005099979281950162
Position 828: 0.00036746698122447835
Position 512: 0.00026167854121113894
Position 760: 0.00021418534108810574
Position 310: 0.00019966964772095242
Position 651: 0.00017020899992809752
Position 117: 0.00015300621219315635
Position 569: 0.00012025662851798662
Position 534: 0.0001148868863366691
Position 450: 8.846816895668415e-05
Position 557: 8.102250754495311e-05
Position 342: 4.7452515096270195e-05
Position 166: 4.5914220548641126e-05
Position 33: 2.4856256393192265e-05
Position 119: 1.9576802094242814e-05
Position 536: 1.7863419593088236e-05
Position 349: 1.6103133872246864e-05
Position 340: 1.1130972751434502e-05
Position 649: 7.102384712213697e-06
Position 632: 6.809790467400555e-06
Position 452: 6.400689065478504e-06
Position 92: 5.684546740792175e-06
Position 661: 4.973506423217436e-06
Position 554: 2.764598004778398e-06
Position 629: 2.488898682643635e-06
Position 715: 1.4785831745730973e-06
Position 606: 1.3058317705994843e-06
Position 580: 1.2092035764798633e-06
Position 730: 4.052955108474394e-07
Position 820: 2.3619515607599994e-07
Position 356: 2.509958085298801e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 414: 0.9060083094662613
Position 347: 0.056211394416986665
Position 596: 0.010014461732757473
Position 920: 0.007042012676759194
Position 742: 0.004357446930819588
Position 827: 0.004087670671890301
Position 478: 0.003879578016465688
Position 569: 0.0034033115233411994
Position 430: 0.0028788131149889476
Position 898: 0.002872446376923475
Position 603: 0.0019319303755191634
Position 420: 0.0010735392782753807
Position 676: 0.0007279009362034833
Position 534: 0.0005855778418091937
Position 689: 0.0005836542973218979
Position 435: 0.0005550601691818415
Position 859: 0.0004671237096665631
Position 481: 0.00038215411444878677
Position 131: 0.00034006805335083917
Position 720: 0.0002225353503993456
Position 228: 0.00019518086695036128
Position 620: 0.00018041620545564645
Position 755: 0.00015576412448988722
Position 136: 0.00015452895763628046
Position 585: 0.00014781541948513243
Position 770: 0.00014642333669547992
Position 437: 0.0001450652535957814
Position 843: 0.0001201814426222142
Position 958: 0.00011181283469714352
Position 457: 0.0001095459778872888
Position 574: 0.0001019003015720913
Position 629: 9.911087514126072e-05
Position 310: 8.002596596011049e-05
Position 622: 6.970826764021067e-05
Position 442: 6.799977907795952e-05
Position 808: 6.148196420947985e-05
Position 797: 5.229607451664107e-05
Position 673: 5.2168509693129925e-05
Position 658: 5.012348266465915e-05
Position 139: 4.7257412816784295e-05
Position 697: 4.436898989667629e-05
Position 319: 4.1006971429977786e-05
Position 661: 3.697357615604621e-05
Position 493: 3.095960198959214e-05
Position 196: 2.793252699500122e-05
Position 983: 2.5729896687250805e-05
Position 869: 2.25171592747897e-05
Position 503: 1.9307687594862402e-05
Position 99: 1.6770037200133738e-05
Position 775: 1.6060546214041898e-05
Position 785: 1.193986079173927e-05
Position 692: 9.533456969512574e-06
Position 496: 9.412744077659097e-06
Position 133: 8.90423783194347e-06
Position 703: 7.335415157635469e-06
Position 460: 6.897898481778404e-06
Position 287: 6.440972589831736e-06
Position 960: 5.682650072361442e-06
Position 512: 4.7691929873892736e-06
Position 963: 4.671453771350681e-06
Position 966: 4.38535474497032e-06
Position 326: 4.133572591301412e-06
Position 508: 2.762137235188954e-06
Position 810: 2.581077386027955e-06
Position 938: 2.3164320332871154e-06
Position 200: 2.0031559704035484e-06
Position 450: 1.981281484748707e-06
Position 772: 1.5621565142154075e-06
Position 323: 1.4803853509115498e-06
Position 779: 1.016950154080421e-06
Position 517: 7.15238631068127e-07
Position 647: 7.081887335787707e-07
Position 706: 5.446274407389834e-07
Position 109: 5.046651864395674e-07
Position 637: 4.486648738028711e-07
Position 144: 3.602974275170046e-07
Position 177: 2.6582987774980756e-07
Position 162: 1.2952841229165007e-07
Position 152: 1.1510616086709272e-07
Position 166: 6.465696830644327e-08
Position 101: 3.474878548606398e-08
Position 117: 3.45185277415694e-08
Position 149: 1.5512417052776566e-08
Position 240: 3.3572947504917816e-09
Position 233: 1.3381696767708817e-09
Position 254: 2.395393852599148e-10
Position 266: 6.856654629245812e-11
Position 273: 6.518136782981492e-11
Position 264: 4.546765973968164e-11
