Gene = Rpsa
index = 935
Annotated 5SS: [ 142  934 1588 2675 3208 3477]
Annotated 3SS: [ 767 1468 2428 3078 3310 3710]
SMsplice 5SS: [ 142  934 1588 3208 3477]
SMsplice 3SS: [ 767 1468 3078 3310 3710]
top_k =  1000
Partition function (log Z): 0.6264384959545191

Sorted 5' Splice Sites (High to Low Probability):
Position 3208: 0.9736363297251475
Position 1588: 0.962686278943545
Position 142: 0.8551221976501263
Position 934: 0.8284423451284344
Position 3477: 0.4446581261593453
Position 2675: 0.4075483079170024
Position 3818: 0.21294604962891653
Position 3416: 0.12775019940559737
Position 2840: 0.08746171905463464
Position 3435: 0.06883426474704933
Position 4256: 0.04541513329433773
Position 719: 0.038063304820564144
Position 297: 0.03460924838287656
Position 475: 0.02863641695054268
Position 3645: 0.027684196720685287
Position 995: 0.02663292921773471
Position 2546: 0.02343692756848569
Position 4223: 0.022613332227054174
Position 3443: 0.02172324821189545
Position 2268: 0.0187231246979192
Position 2784: 0.01664314585163631
Position 2788: 0.013486685337159318
Position 3427: 0.011954342192931393
Position 983: 0.010936282788253706
Position 1619: 0.010032422163163019
Position 499: 0.009455051103093852
Position 1006: 0.009374186034492561
Position 3369: 0.007866692477911842
Position 2250: 0.006991580304929915
Position 2205: 0.006178222887681477
Position 2022: 0.006027522620599005
Position 513: 0.005870083766850346
Position 381: 0.005256992310581376
Position 3574: 0.0049466987520229684
Position 954: 0.004729355136208713
Position 1555: 0.004674302878171215
Position 330: 0.004536507856913466
Position 3481: 0.004339059287837882
Position 215: 0.0038986346105207943
Position 3612: 0.003794444781274769
Position 3775: 0.0035357179292551497
Position 1954: 0.0032521533027048207
Position 3140: 0.00321501293483168
Position 167: 0.00304440056351426
Position 1247: 0.002742334415364825
Position 1226: 0.002739466822530333
Position 2356: 0.0024413279294610954
Position 877: 0.002435285825121306
Position 1831: 0.002263777864533645
Position 3152: 0.0019334091303385387
Position 971: 0.0019165563197260339
Position 928: 0.0018028363190166203
Position 1401: 0.0017427178363819884
Position 62: 0.0016581946269418352
Position 2366: 0.0013164947941901356
Position 292: 0.001294206366103057
Position 2812: 0.0009785880328698638
Position 3394: 0.0008676478885230092
Position 4304: 0.0007994685993505029
Position 121: 0.0007344017676788969
Position 3532: 0.00070940265356898
Position 3169: 0.0007055027777129481
Position 1930: 0.0007045836486785722
Position 4197: 0.000619897038832612
Position 3857: 0.0006195748564918432
Position 517: 0.0005870218574411618
Position 2168: 0.0005616893261826595
Position 2543: 0.0005522355134427203
Position 3969: 0.0005306307140043999
