Gene = Dbf4
index = 321
Annotated 5SS: [  250  1496 10596 12707 14223 14483 16915 17846 19105 19637 23029]
Annotated 3SS: [ 1322 10415 12655 14152 14405 16877 17799 18975 19524 22903 24553]
SMsplice 5SS: [  250  1496 10596 12707 14223 14483 15433 19105 23029 23957]
SMsplice 3SS: [ 1322 10415 12655 14152 14355 15352 18975 22903 23854 24046]
top_k =  1000
Partition function (log Z): 5.295146849910148

Sorted 5' Splice Sites (High to Low Probability):
Position 1496: 0.9883334733399972
Position 14483: 0.9819376040695529
Position 19105: 0.944433721583189
Position 23029: 0.943100947520187
Position 10596: 0.8819388024031933
Position 12707: 0.8783568887893829
Position 15433: 0.707491358509857
Position 14223: 0.6852505707687874
Position 17846: 0.5009169166238896
Position 250: 0.4739052072568148
Position 14969: 0.3212807405756987
Position 23957: 0.3187363174179239
Position 169: 0.3164325247283936
Position 17003: 0.31244832297544217
Position 18348: 0.28702972453972375
Position 18630: 0.2731145543905629
Position 15182: 0.2615629535327614
Position 14251: 0.2562636157037693
Position 9995: 0.21972315875636744
Position 10864: 0.15869708684154893
Position 19643: 0.15177883165883366
Position 16915: 0.13466966223546253
Position 19637: 0.13321731435181203
Position 184: 0.10423475724756567
Position 1025: 0.10190725800034935
Position 8390: 0.09657374465348836
Position 2622: 0.08988115785476833
Position 3034: 0.06419093230115887
Position 19867: 0.06254000826258214
Position 17071: 0.057861984461205634
Position 5901: 0.039645818449779574
Position 15194: 0.03926551842346949
Position 22323: 0.038108783278099016
Position 579: 0.03696257303139185
Position 10248: 0.03335708784629589
Position 10942: 0.03157564833063741
Position 15235: 0.029007155293366626
Position 13248: 0.026858205229392713
Position 20096: 0.02280674695481841
Position 8376: 0.020089331729792357
Position 20980: 0.01970549805327539
Position 18225: 0.01924644111814641
Position 577: 0.018751450582699725
Position 15493: 0.018739222946645498
Position 4343: 0.01686063263414986
Position 560: 0.014929217969719752
Position 15772: 0.014123525453975425
Position 7345: 0.013350559027954718
Position 18721: 0.013198585859637037
Position 1172: 0.01268647401334725
Position 188: 0.01180309124695477
Position 8668: 0.011708596180671962
Position 12778: 0.011539062487232729
Position 15417: 0.011395940597392072
Position 18891: 0.010950810480309069
Position 15219: 0.01093745998260532
Position 12711: 0.010704504009711504
Position 23241: 0.008421781336517505
Position 22104: 0.007850039948421095
Position 3168: 0.007360201556083838
