Gene = Utf1
index = 1173
Annotated 5SS: [641]
Annotated 3SS: [737]
SMsplice 5SS: [641 819]
SMsplice 3SS: [737 982]
top_k =  1000
Partition function (log Z): -3.839846788954852

Sorted 5' Splice Sites (High to Low Probability):
Position 641: 0.9727707617332131
Position 819: 0.8093554135665177
Position 40: 0.06796297703901164
Position 1139: 0.04817796566860815
Position 175: 0.02737145220695015
Position 1110: 0.008886131969592034
Position 156: 0.003269196630581227
Position 983: 0.0028357325632388315
Position 811: 0.0011210785064040324
Position 631: 0.0009352436900619423
Position 1127: 0.0007430217829036503
Position 105: 0.0006767003750184117
Position 403: 0.0006119175973740982
Position 655: 0.0005122879486445161
Position 1144: 0.00044317343266872484
Position 609: 0.00041007747071950006
Position 241: 0.00040890334666731075
Position 275: 0.0003722475510501284
Position 547: 0.00032279605160601794
Position 324: 0.0003215181249626086
Position 480: 0.00030519063621216503
Position 243: 0.00027330388953547736
Position 926: 0.00025828497832304867
Position 378: 0.0002389585389314473
Position 126: 0.0002201773907955037
Position 5: 0.00018391699211426035
Position 1094: 0.00015377113946932663
Position 395: 0.00013777306412594183
Position 668: 0.00011913916731289418
Position 169: 0.00010400407485902518
Position 376: 9.835025093375254e-05
Position 183: 9.395969622280616e-05
Position 795: 6.948161285391675e-05
Position 966: 5.757673470086884e-05
Position 712: 3.863916128988013e-05
Position 95: 3.8066909566389374e-05
Position 441: 3.585942790120874e-05
Position 423: 1.5648955338064408e-05
Position 1075: 1.5619574191780623e-05
Position 1158: 1.5199704456555555e-05
Position 7: 9.247799019207096e-06
Position 431: 8.659789778554753e-06
Position 597: 8.30827222282163e-06
Position 575: 7.237938331741272e-06
Position 9: 7.011040375697511e-06
Position 58: 5.868377517788838e-06
Position 1215: 5.2365237070881705e-06
Position 1049: 3.472991638865082e-06
Position 674: 2.5432445697616337e-06
Position 1208: 9.190577244245524e-07
Position 994: 8.854365145701575e-07
Position 1009: 1.3514747424756667e-07
Position 997: 1.2269295805864818e-09
Position 725: 2.4464307910500693e-10
Position 734: 5.4415059732166724e-14

Sorted 3' Splice Sites (High to Low Probability):
Position 737: 0.9749374881832589
Position 982: 0.6989313689285233
Position 1049: 0.06417959299508526
Position 1287: 0.042840344738229265
Position 1018: 0.03598477071732313
Position 501: 0.02146500110388596
Position 1228: 0.019661680493044037
Position 582: 0.013019039091642934
Position 261: 0.010931152154849032
Position 739: 0.010587483121279254
Position 961: 0.010427748940224515
Position 133: 0.010302943056449338
Position 1072: 0.005148043792235384
Position 423: 0.004873366986759861
Position 350: 0.003928208701905307
Position 471: 0.003832032480165667
Position 399: 0.0034448809910845118
Position 994: 0.0030867964212205356
Position 1215: 0.002242037347084835
Position 441: 0.0022220069721863222
Position 613: 0.0014043844679546078
Position 315: 0.0008628939032802751
Position 789: 0.000698423575030949
Position 234: 0.0006421019243055099
Position 1305: 0.0006053410235659422
Position 745: 0.0005626071370256736
Position 1090: 0.0005546334822081376
Position 1203: 0.0003872440940137431
Position 354: 0.00037950719110360615
Position 137: 0.0002576353274147189
Position 1241: 0.0002521195085058221
Position 477: 0.0002163375434468227
Position 450: 0.00020954062586059526
Position 104: 0.00016371328729784384
Position 403: 0.0001368142294881656
Position 818: 0.00010289850016822261
Position 545: 0.00010195375904738608
Position 1158: 8.750156954920394e-05
Position 931: 5.506549851442247e-05
Position 837: 5.2772244942052246e-05
Position 877: 5.157778059146597e-05
Position 285: 3.7734683763796697e-05
Position 811: 3.633827134940139e-05
Position 1163: 2.7690661955009105e-05
Position 150: 2.0203237011338896e-05
Position 855: 1.6489180985309602e-05
Position 795: 1.629364089602112e-05
Position 463: 1.4630897226512744e-05
Position 283: 1.3571025283811338e-05
Position 275: 9.156404763517759e-06
Position 943: 5.620460680201979e-06
Position 1099: 3.1157834374032193e-06
Position 1109: 3.074297654533956e-06
Position 82: 2.7253236836559402e-06
Position 291: 1.5327511763002328e-06
Position 694: 8.567164180202388e-07
Position 636: 5.874776329083833e-07
Position 1171: 1.5200884251332177e-07
Position 686: 1.4920487722508354e-07
Position 701: 3.56928690273219e-08
Position 640: 2.724867656043441e-08
Position 666: 7.3864912307134264e-09
