Gene = Bcl2l10
index = 175
Annotated 5SS: [598]
Annotated 3SS: [3252]
SMsplice 5SS: [75]
SMsplice 3SS: [3252]
top_k =  1000
Partition function (log Z): -9.453483332527565

Sorted 5' Splice Sites (High to Low Probability):
Position 75: 0.8365987257754717
Position 415: 0.07299558276020017
Position 48: 0.06048692676867175
Position 598: 0.03258441299818604
Position 790: 0.025866796760494325
Position 2268: 0.010179284844650412
Position 2776: 0.009827996551051658
Position 2892: 0.008557232798768067
Position 119: 0.007613559822530227
Position 1767: 0.006744279530952098
Position 2001: 0.0066893570513836065
Position 3438: 0.004645225980048032
Position 54: 0.004549618887788317
Position 79: 0.0036369397288695195
Position 617: 0.0033014605895297848
Position 1561: 0.0031089077875246377
Position 355: 0.002916870883862861
Position 249: 0.002269250438292694
Position 1208: 0.001917673744079557
Position 2884: 0.001875540984397605
Position 2714: 0.0018511052052577258
Position 2767: 0.0018099483220131141
Position 253: 0.0013621304979148353
Position 1094: 0.0013517831170488962
Position 2877: 0.0012343971189084405
Position 3202: 0.0012306219692713766
Position 3510: 0.0011853338715973863
Position 2403: 0.0011761559759484288
Position 2426: 0.0011254744963523366
Position 2746: 0.0010946333168378225
Position 2736: 0.0010226076886798775
Position 1462: 0.0010225150859652103
Position 3327: 0.0010047588008102063
Position 129: 0.0009400190429915807
Position 375: 0.0008166336695839494
Position 2398: 0.000792511587308722
Position 1133: 0.0007010515494883029
Position 1321: 0.0006356879745669104
Position 851: 0.0006238310728219863
Position 92: 0.0005432995589405511
Position 2788: 0.0005214302454089305
Position 3100: 0.0003878955818631506
Position 505: 0.00036969322755688424
Position 3368: 0.0003065173668751694
Position 2930: 0.0002666099292453398
Position 2345: 0.0002651073889863101
Position 3185: 0.0002599979346440475
Position 2411: 0.0002530288756546535
Position 69: 0.00024722038626160986
Position 3651: 0.0002435801983434074
Position 2290: 0.00022896271595446675
Position 1350: 0.00021340045076208487
Position 277: 0.00020217609489649985
Position 1669: 0.00018350048008857286
Position 657: 0.00017032787916182262
Position 41: 0.00015768421672623855
Position 1328: 0.0001475508529876644
Position 1967: 0.0001411928546005082
Position 2844: 0.00013132424136221309
Position 1855: 0.00011769752852981974
Position 685: 0.0001111484550283841
