Gene = Ccp110
index = 230
Annotated 5SS: [  197  1697  2963  5544 10487 12034 12908 13591 14065 17173 17523 18190
 19208 19902 20421]
Annotated 3SS: [ 1553  2807  5414  8841 11902 12750 13450 13947 17070 17405 18115 19144
 19841 20334 22715]
SMsplice 5SS: [  197  5544 10487 13591 14065 17173 17523 18190]
SMsplice 3SS: [ 5414 10384 13473 13947 17070 17405 18115 22715]
top_k =  1000
Partition function (log Z): 9.087667763427277

Sorted 5' Splice Sites (High to Low Probability):
Position 17523: 0.9840979309806547
Position 13591: 0.9781264655615944
Position 18190: 0.9780786403297225
Position 5544: 0.949907267118193
Position 10487: 0.9081924642743013
Position 17173: 0.8800908945341225
Position 14065: 0.7159112539052638
Position 197: 0.5468258534602732
Position 1697: 0.502686710570832
Position 12034: 0.4820856232570601
Position 19208: 0.4085615653252353
Position 1227: 0.37028828103877276
Position 1274: 0.3427029665053088
Position 12280: 0.22421235827275846
Position 20188: 0.2211363480984449
Position 12908: 0.21687035161927382
Position 13157: 0.19353464005876592
Position 18563: 0.17565896044267906
Position 244: 0.1542666653084302
Position 20210: 0.1454461341400611
Position 2963: 0.1261408974798802
Position 186: 0.119180088758053
Position 11704: 0.118710488455564
Position 21648: 0.11263916525439081
Position 20821: 0.10253893499934216
Position 10762: 0.099392094442866
Position 1614: 0.09498198731933057
Position 468: 0.08170449633968606
Position 12067: 0.07898899960101487
Position 15519: 0.068286758691172
Position 19673: 0.06703207538730521
Position 11466: 0.06541212566509697
Position 20421: 0.05997507828107591
Position 14070: 0.058236110536984215
Position 5956: 0.048890491197614114
Position 3963: 0.048265468744755395
Position 18418: 0.045119003717801726
Position 4919: 0.04318264030395673
Position 20116: 0.042279909880047685
Position 15374: 0.04189006951438712
Position 5630: 0.040638575123777394
Position 21740: 0.03869846451314342
Position 4118: 0.037779788377936274
Position 15798: 0.03759751894103721
Position 17220: 0.035410206038274016
Position 11750: 0.03155154126350099
Position 17215: 0.031503923144421
Position 16915: 0.029096568529937337
Position 16796: 0.028664502488413852
Position 22912: 0.028239521087726524
Position 20848: 0.02813595874639999
Position 1264: 0.02676275424855219
Position 15618: 0.02666940941037877
Position 19902: 0.02645510450025289
Position 15546: 0.02556733882437348
Position 18020: 0.02487360228308345
Position 1030: 0.024782269539047008
Position 4945: 0.023411042393487555
Position 754: 0.021914073265872143
Position 22949: 0.02158473384908212
Position 297: 0.019715305356928964
Position 2754: 0.019234925917682916
Position 3403: 0.018170803334375665
Position 4899: 0.01705459906653759
Position 18290: 0.016906115564525006
Position 7516: 0.015852026145289265
Position 19684: 0.01519028171384278
Position 8398: 0.014456122270413692
Position 445: 0.014439095706677778
Position 22519: 0.014285380215345896
Position 11813: 0.013924315411696902
Position 2465: 0.013365360335684945
Position 15635: 0.0131842826931184
Position 1096: 0.01302502542678542
Position 2931: 0.011980388710990138
Position 1425: 0.011651491384985672
Position 17240: 0.010910554461746073
Position 2197: 0.010180767116463136
Position 1728: 0.009945409750148805
Position 2916: 0.00974280725356994
Position 216: 0.009407254872192721
Position 3924: 0.009350190233136085
Position 1872: 0.009257443735352188
Position 312: 0.008601300487416008
Position 16512: 0.008424701089107027
Position 1278: 0.008216398961304524
Position 13613: 0.008175554058823607
Position 14385: 0.007252665975080568
Position 1748: 0.007123321135484485
Position 17335: 0.007035815238833604
Position 3022: 0.006941155642372339
Position 431: 0.006554628566583989
Position 14850: 0.006498090939133066
Position 16926: 0.0064978428058556185
Position 15358: 0.006281300932634314
Position 365: 0.006232346965743389
Position 9046: 0.0056196771962181945
Position 4844: 0.005545406655044025
Position 16902: 0.005365194930440277
Position 2918: 0.005146924907863593
Position 17326: 0.004933709959913379
Position 953: 0.004776718185610186
Position 4475: 0.004717596939609582
Position 12502: 0.004254365594029708
Position 1285: 0.004133828261225949
Position 14831: 0.0038731506084894647
