Gene = Dmac2
index = 338
Annotated 5SS: [  47 1679 3011 4525 4776]
Annotated 3SS: [1481 2929 4384 4612 5300]
SMsplice 5SS: [  47 1679 3028 4525 4776]
SMsplice 3SS: [1481 2929 4384 4647 5300]
top_k =  1000
Partition function (log Z): -2.3643793414467833

Sorted 5' Splice Sites (High to Low Probability):
Position 4525: 0.8248132059927143
Position 3028: 0.6310992520944453
Position 4776: 0.5989967469823806
Position 1679: 0.5811141669429312
Position 47: 0.4615611590461832
Position 1404: 0.3315310230664768
Position 2634: 0.22222489787601166
Position 1540: 0.21464520234890735
Position 1051: 0.17612353724772098
Position 317: 0.1683996379027259
Position 3033: 0.15025825161302683
Position 3011: 0.10478122989425935
Position 1095: 0.0879130047996066
Position 2099: 0.07497885698126236
Position 867: 0.06082395258818675
Position 751: 0.06035699801142658
Position 4543: 0.046078712293733115
Position 2974: 0.04529867956734284
Position 3150: 0.04253542637996514
Position 2610: 0.040236799881308474
Position 4873: 0.035550263571737115
Position 930: 0.030281008101338693
Position 5390: 0.026766896399642075
Position 1205: 0.021091940539569115
Position 686: 0.01985712371317351
Position 4516: 0.019803217907407186
Position 2963: 0.018291735851215303
Position 51: 0.01615568203097461
Position 2202: 0.015497466287625107
Position 423: 0.014332331538621325
Position 4102: 0.013066014722673965
Position 218: 0.011550865403920753
Position 5395: 0.011544157921260987
Position 3979: 0.010152466282352102
Position 1634: 0.008454655260392562
Position 4979: 0.007480180018382003
Position 936: 0.007328510941991893
Position 309: 0.006684216673000685
Position 2479: 0.006554300027885138
Position 1548: 0.006412170664056629
Position 211: 0.006334881164972222
Position 1250: 0.005459321383816739
Position 4300: 0.005364465070370205
Position 270: 0.005206927538348238
Position 5139: 0.005133854154737577
Position 3402: 0.004442819081199605
Position 3215: 0.004430217890908219
Position 5351: 0.004383479299179884
Position 1931: 0.0038034729460870026
Position 1291: 0.0034627973904933283
Position 2219: 0.002995386386517583
Position 2282: 0.00290310829459737
Position 3636: 0.0028879714352239723
Position 395: 0.002562332770197145
Position 565: 0.0025489802602412293
Position 4897: 0.0024225557996832756
Position 1416: 0.0021027403774903715
Position 692: 0.002044850295963788
Position 4827: 0.001947124515309583
Position 1116: 0.0018408113419665028
Position 91: 0.0017838087364937109
Position 465: 0.0015847766415779902
Position 4869: 0.0015471344849223062
Position 249: 0.001528464931729884
Position 479: 0.001361365397666954
Position 99: 0.0013221111567275688
Position 82: 0.0008618052420354703
Position 3884: 0.0007919952187494092
