Gene = Cenpc1
index = 244
Annotated 5SS: [  256  3580  7429 13413 18000 19205 20292 28272 30168 31353 32019 33195
 36450 43205 44755 47195 49382 52164]
Annotated 3SS: [ 3535  7336 13341 17899 19002 20081 27669 29993 31072 31871 33111 36392
 43099 44631 47098 49226 52072 53255]
SMsplice 5SS: [  256  3580  7429 13413 18000 19205 20292 27864 30168 32019 33195 43205
 44755 47195 52164]
SMsplice 3SS: [ 3535  7336 13341 17899 19002 20081 27720 29993 31871 33111 43099 44631
 47098 52072 53255]
top_k =  1000
Partition function (log Z): 5.199600637339985

Sorted 5' Splice Sites (High to Low Probability):
Position 20292: 0.9999999999999979
Position 33195: 0.9946988960827609
Position 47195: 0.9816120234166241
Position 43205: 0.9790464309659428
Position 44755: 0.9767356209729521
Position 13413: 0.9749675781312276
Position 32019: 0.8846231224908719
Position 18000: 0.8768083738480938
Position 27864: 0.7794607490678898
Position 30168: 0.7526271158350076
Position 7429: 0.7363142637486539
Position 19205: 0.6885985899909272
Position 3580: 0.6494198353347711
Position 256: 0.5680498572791817
Position 49382: 0.43399639637973897
Position 52164: 0.4250489203887061
Position 345: 0.3178742100503289
Position 36450: 0.303209317391881
Position 28272: 0.2918885540251093
Position 5408: 0.21005947385348167
Position 4799: 0.20148361679892787
Position 5059: 0.19386462596339854
Position 18837: 0.1849648355798403
Position 46916: 0.16799428781737513
Position 16749: 0.1663726545341298
Position 4781: 0.16054800888358647
Position 41720: 0.1285479199082829
Position 7806: 0.11284965391697527
Position 773: 0.08378454742397268
Position 39687: 0.07743128877120799
Position 44411: 0.07737229954402586
Position 37976: 0.07512358159528573
Position 10889: 0.0722362460278733
Position 6519: 0.06550591545677814
Position 31353: 0.0650313267994379
Position 48243: 0.06443188308284739
Position 46672: 0.058092017740207544
Position 4291: 0.052351789196165774
Position 9282: 0.045716662348659745
Position 7408: 0.04505711961064073
Position 45932: 0.04401537993294856
Position 30593: 0.04389656104017899
Position 18004: 0.043867174237931926
Position 45168: 0.04206758320520647
Position 12405: 0.03442474092703824
Position 34674: 0.03147013453417857
Position 49386: 0.031032185955295565
Position 18827: 0.030268938154975503
Position 314: 0.02943763684906248
Position 7443: 0.02943355989574944
Position 18802: 0.029417468043186977
Position 1810: 0.02928394930245896
Position 37629: 0.028572753237423365
Position 20002: 0.027412858420114358
Position 44020: 0.02708350109078275
Position 51192: 0.02334314485761636
Position 45194: 0.022930450380956792
Position 4043: 0.02270379845129379
Position 13429: 0.022475840622655795
Position 30152: 0.02232676091922305
Position 361: 0.01982039156773348
Position 15952: 0.019686331636290643
Position 465: 0.019012038625268117
Position 14693: 0.018553745398183018
Position 18084: 0.018365793853608238
Position 19155: 0.017719031033611013
Position 32367: 0.017168408704662057
Position 44476: 0.016215372113671293
Position 3608: 0.015514346053425415
Position 10800: 0.015023334986155764
Position 2212: 0.013473230550642035
Position 18932: 0.012930545554741699
Position 49155: 0.011556963589417598
Position 1716: 0.010665033609639309
Position 45965: 0.010377014066323138
Position 340: 0.009977890887431402
Position 50758: 0.00915939602420665
Position 335: 0.009144197926737617
Position 2556: 0.009091469625076969
Position 3336: 0.009029654963279942
Position 33351: 0.00870868218772944
Position 6745: 0.008584540093988065
Position 33512: 0.006668646962100942
Position 14752: 0.0066293598650118656
Position 19644: 0.006552531135086423
Position 32306: 0.006549815160321451
Position 529: 0.0063439266733410484
Position 676: 0.00628160491309034
Position 18452: 0.005991613504757213
Position 48146: 0.005834614686271651
Position 44014: 0.0052291838409405655
Position 354: 0.005214748984340378
Position 46542: 0.004893414794298474
Position 19027: 0.004842509137690266
Position 47732: 0.004756058992718784
Position 34060: 0.004683303957339547
Position 35550: 0.004600573828893674
Position 3760: 0.0044067438661274105
Position 1256: 0.0043519732837831605
Position 4037: 0.004314074188657746
Position 380: 0.0042336442046903506
Position 43180: 0.004132965661887372
Position 37581: 0.003725988820045879
Position 11668: 0.0033277850145839406
Position 45188: 0.0031941316070638764
Position 46043: 0.0030987989147609986
Position 660: 0.0030115506781382365
Position 43498: 0.002868072650291884
Position 395: 0.002702100085847123
Position 47460: 0.0025817201356823733
Position 731: 0.002466835214256233
Position 34152: 0.002423027130485953
Position 44537: 0.002329296025979045
Position 3379: 0.002138023833907909
Position 43376: 0.0021377624037155307
Position 477: 0.002000953857038142
Position 1487: 0.0019414109316271211
Position 46895: 0.0019074430423587133
Position 18442: 0.001850328256005016
Position 5030: 0.001778388864878908
Position 19150: 0.0017506821439870763
Position 19576: 0.0017188800549067847
Position 373: 0.0017038130119809648
Position 43196: 0.0016645524351367002
Position 19140: 0.0015965834004896286
Position 702: 0.001582019806691243
Position 46856: 0.0013808176953387411
Position 18043: 0.0013631318337684142
Position 50205: 0.0012920800228333903
Position 1556: 0.0012772125789050522
Position 18855: 0.0010420644007521865
Position 48759: 0.001040940200674224
Position 49572: 0.0009771237518266908
Position 19221: 0.0009603244911664071
Position 3652: 0.0009575313217297149
Position 46218: 0.0009330534358810274
Position 47497: 0.0009181542849272567
Position 50367: 0.00088091768743456
Position 2577: 0.0008763471210033477
Position 48259: 0.0008752795777044673
Position 50711: 0.000832554065165483
Position 44218: 0.0008316355033739632
Position 42: 0.0008057848998197622
Position 45711: 0.0007365719125809034
Position 36491: 0.0006373989910702408
Position 46536: 0.0006360566417694306
