Gene = Cd3eap
index = 238
Annotated 5SS: [ 94 392]
Annotated 3SS: [ 249 1464]
SMsplice 5SS: [  94  392 1601]
SMsplice 3SS: [ 249 1464 1696]
top_k =  1000
Partition function (log Z): -2.0174081292019235

Sorted 5' Splice Sites (High to Low Probability):
Position 392: 0.9883852903008021
Position 94: 0.8436597346789169
Position 1605: 0.3570219745170946
Position 177: 0.10404508788745348
Position 1845: 0.07131816830431585
Position 1544: 0.0613060049471929
Position 79: 0.03224171844958674
Position 1788: 0.029041971520545506
Position 2069: 0.014218981673935262
Position 138: 0.011198191160822983
Position 1928: 0.008677073002391796
Position 1807: 0.007398380206799444
Position 1951: 0.005115398685406557
Position 1833: 0.005018753564381533
Position 144: 0.004421120937719251
Position 764: 0.003253200215250773
Position 1917: 0.003214916963202572
Position 337: 0.002532692901761359
Position 2181: 0.0018578500592112818
Position 2408: 0.0017748424504261335
Position 44: 0.0014333463761436707
Position 776: 0.0013829121836031286
Position 1901: 0.0010162404312185542
Position 155: 0.0008592158699290951
Position 699: 0.000807741054517697
Position 113: 0.0007643726763352869
Position 2412: 0.0006433900548018564
Position 1350: 0.0005862245515021164
Position 2207: 0.0005707129682087071
Position 1166: 0.0005164393170557519
Position 24: 0.0002547742229408797
Position 1000: 0.0002343089445791103
Position 1435: 0.0002148441812890972
Position 1190: 0.0001953576347259874
Position 1320: 0.0001654758367894311
Position 1287: 0.00015992956032869203
Position 896: 0.00015576959996755341
Position 1557: 0.00015465267949656537
Position 1877: 0.0001505844216471833
Position 98: 7.843564620841468e-05
Position 1635: 5.623257097436472e-05
Position 398: 4.774968006122167e-05
Position 1003: 4.188697133736179e-05
Position 471: 3.783107241268339e-05
Position 192: 3.6184341566669945e-05
Position 250: 2.853586208967201e-05
Position 675: 2.1152317809459847e-05
Position 51: 1.9618759060316265e-05
Position 204: 1.3204815489189598e-05
Position 21: 1.3147960450141956e-05
Position 740: 1.2143621964332642e-05
Position 1172: 1.2069738421811764e-05
Position 770: 1.2000004762347125e-05
Position 396: 1.1557994495909603e-05
Position 353: 9.456989477541856e-06
Position 1252: 8.927127136594075e-06
Position 893: 7.877086286522943e-06
Position 1659: 7.790132807169521e-06
Position 977: 7.654581493495428e-06
Position 808: 7.5033505710834535e-06
Position 1685: 7.119592931504746e-06
Position 909: 7.014278104654626e-06
Position 768: 4.939807256225397e-06
Position 1505: 4.32986522562115e-06
Position 1710: 3.968356751459439e-06
Position 749: 3.3701566929729177e-06
Position 290: 2.959449353210813e-06
Position 313: 2.896327972965201e-06
Position 841: 2.8373144379140664e-06
Position 1295: 2.7166243220043257e-06
Position 1094: 2.643189181870499e-06
Position 852: 2.615128625329983e-06
Position 260: 2.446429407058334e-06
Position 886: 1.967821094549151e-06
Position 945: 1.6889013888383125e-06
Position 33: 1.5765039747446094e-06
Position 607: 1.5390557305928476e-06
Position 792: 1.4073256183711601e-06
Position 1222: 1.3836391473875269e-06
Position 1775: 1.2574643815167453e-06
Position 620: 1.246849791026093e-06
Position 526: 1.0135033754794177e-06
Position 784: 1.002064566094901e-06
Position 1481: 7.407008068815271e-07
Position 712: 7.155696699675894e-07
Position 464: 6.971462729954233e-07
Position 238: 4.415505452395621e-07
Position 871: 3.9605414737705715e-07
Position 689: 3.480470319376153e-07
Position 516: 3.351503938721053e-07
Position 1387: 2.963638976986968e-07
Position 819: 2.413312809052627e-07
