Gene = Map11
index = 659
Annotated 5SS: [ 573  928 1148 1337 1581 1825 2193 2442 3160 3481]
Annotated 3SS: [ 831 1017 1249 1459 1676 2109 2277 3004 3286 3599]
SMsplice 5SS: [ 245  928 1148 1337 1581 1825 2193 2442 3160 3481]
SMsplice 3SS: [ 764 1017 1249 1459 1676 2109 2277 3004 3286 3599]
top_k =  1000
Partition function (log Z): 11.148102786333586

Sorted 5' Splice Sites (High to Low Probability):
Position 3481: 0.9803477141155063
Position 2193: 0.9773776341364637
Position 928: 0.9746401943222
Position 1148: 0.9520056680532302
Position 1581: 0.9245250009924861
Position 3160: 0.829022704181564
Position 1337: 0.8061720408664982
Position 245: 0.6494732084069619
Position 2442: 0.5827627121470877
Position 1825: 0.5444917867721318
Position 3716: 0.36215109692374653
Position 573: 0.20006088486923673
Position 1796: 0.18185469525644288
Position 2620: 0.10024987753417303
Position 1389: 0.09739615142066452
Position 440: 0.09440049831253426
Position 2405: 0.05776634817897825
Position 1398: 0.0452688371786488
Position 607: 0.025602445195867088
Position 414: 0.018561149001363967
Position 3176: 0.017638268330204807
Position 2328: 0.015741468050514403
Position 1873: 0.013647765890261657
Position 9: 0.008394121434914907
Position 1586: 0.006958577073486621
Position 1877: 0.006715982290330729
Position 3884: 0.006507165181766659
Position 502: 0.006005423890381475
Position 109: 0.004776414224986217
Position 3967: 0.0046878727393883535
Position 39: 0.0046789266079308505
Position 2197: 0.0043936534103546174
Position 4144: 0.0029070805608885347
Position 1404: 0.0027419233811386014
Position 3209: 0.002118852532885671
Position 1833: 0.002052244640194554
Position 306: 0.0020408459066580723
Position 735: 0.0020379888862992013
Position 3184: 0.0018443179070806697
Position 587: 0.001818868226373712
Position 188: 0.0017473201616993248
Position 661: 0.001615970591262553
Position 133: 0.0016133171931876995
Position 275: 0.0015732089298663855
Position 1978: 0.0013473769802661586
Position 3750: 0.001094004803160193
Position 1847: 0.001054818021960225
Position 291: 0.0009398782350420279
Position 1415: 0.0009026212594839843
Position 2507: 0.0008958658280430687
Position 3722: 0.0007812833332294317
Position 1384: 0.0007406624612528666
Position 3465: 0.0006659133708533207
Position 140: 0.0005449868768890466
Position 1994: 0.0003578881504656408
Position 2548: 0.00032418109053140094
Position 4138: 0.0003203695754179709
Position 514: 0.0003135982145747576
Position 3733: 0.000290136687831932
Position 3940: 0.00028360755242709437
Position 1859: 0.0002784060963332049
Position 3727: 0.00027375791335309646
Position 2414: 0.0002553187299629643
Position 2246: 0.000249376877472311
Position 3811: 0.0002484453324812859
Position 2524: 0.0002448508848858755
Position 79: 0.00024165798113302099
Position 327: 0.00023300893761090327
Position 1184: 0.00022979738195159403
Position 71: 0.00021052499671147748
Position 1576: 0.00020694377579654608
Position 1567: 0.00020687942978414657
Position 2416: 0.00020316368856151468
Position 2446: 0.00020189201503070212
Position 167: 0.00019488124441136538
Position 1617: 0.00018571318532093997
Position 2579: 0.00018457022159397608
Position 3951: 0.00017727898511912192
Position 3171: 0.00016268431311013145
Position 1045: 0.00015428621455804723
Position 3758: 0.0001498766622681781
Position 3404: 0.00013774932194813777
Position 1327: 0.0001266710135115915
Position 2645: 0.00012318407696854363
Position 1558: 0.00012216721042744458
Position 1393: 0.00011957439733148204
Position 506: 0.00011198331684458529
Position 1835: 0.00010581526454148282
Position 3392: 9.915358275575552e-05
Position 148: 9.102381740766465e-05
Position 853: 8.338553946617243e-05
Position 1882: 8.265232152850655e-05
Position 1911: 7.793235356990432e-05
Position 688: 7.708653580538192e-05
Position 1196: 6.711656478342952e-05
Position 1868: 6.189125416420006e-05
Position 769: 6.003649611997669e-05
Position 3017: 5.693796810579174e-05
Position 868: 5.4201657290394386e-05
Position 2821: 5.2218073717375425e-05
Position 114: 5.0373326306345876e-05
Position 3124: 4.752243752638628e-05
Position 201: 4.4408415546567566e-05
Position 855: 4.43266204286806e-05
Position 3122: 4.106930959670622e-05
Position 1060: 3.9618817657016346e-05
Position 1249: 3.85969230037052e-05
Position 41: 3.4397160768375435e-05
Position 2363: 3.3885108383703195e-05
Position 3829: 3.375104570527352e-05
Position 886: 3.2018200654559636e-05
Position 3659: 3.164945735418512e-05
Position 2355: 3.1522785792045135e-05
Position 3688: 2.9668783381195343e-05
Position 683: 2.68307342079347e-05
Position 1118: 2.4928000098717064e-05
Position 756: 2.3228769254372646e-05
Position 13: 2.3167338633040866e-05
Position 2339: 2.2851504852607505e-05
Position 2769: 2.25734072221604e-05
Position 4051: 2.196394658217551e-05
