Gene = Atp5k
index = 151
Annotated 5SS: [123 423 718]
Annotated 3SS: [ 367  618 1110]
SMsplice 5SS: [123 423 718]
SMsplice 3SS: [ 367  618 1110]
top_k =  1000
Partition function (log Z): -2.7831089088416787

Sorted 5' Splice Sites (High to Low Probability):
Position 718: 0.9093557953384788
Position 123: 0.875463413904034
Position 423: 0.7013011033939586
Position 532: 0.15355471063154338
Position 456: 0.12794509297588372
Position 105: 0.04868505622745331
Position 75: 0.011348035567332588
Position 99: 0.010679451571621253
Position 150: 0.009736873300187108
Position 1006: 0.008163164264965318
Position 998: 0.007452921573616436
Position 902: 0.002380139302455771
Position 142: 0.0020681089059678866
Position 90: 0.001758397251061952
Position 277: 0.0012173644315217399
Position 292: 0.0011043686997876698
Position 1012: 0.00098003147933604
Position 139: 0.0007796927368811097
Position 376: 0.0007585845365273866
Position 304: 0.000629273541814515
Position 846: 0.0005788679385468369
Position 956: 0.0005743683724163414
Position 191: 0.0004983601374167178
Position 55: 0.0004902448089596957
Position 489: 0.000385850507647077
Position 874: 0.00027252104327417473
Position 761: 0.0002708209765752046
Position 466: 0.0002601077176474697
Position 992: 0.0002533711049516251
Position 1057: 0.00016680033940049817
Position 468: 0.0001606500600768065
Position 973: 0.00012794552460039112
Position 230: 8.785980799489709e-05
Position 335: 7.928944208708964e-05
Position 427: 5.4405257843720636e-05
Position 1062: 3.7076858434047955e-05
Position 946: 2.52901386601236e-05
Position 750: 1.8999185653321308e-05
Position 935: 1.8139893090521184e-05
Position 619: 1.5636603896438296e-05
Position 812: 1.2392820158070843e-05
Position 42: 1.0015257137955426e-05
Position 227: 6.048228196567554e-06
Position 933: 4.631339514669582e-06
Position 686: 3.3306263585091397e-06
Position 1038: 3.0788610577543323e-06
Position 822: 2.8315417082254658e-06
Position 844: 2.40193150270621e-06
Position 807: 1.6643795523691063e-06
Position 594: 1.525078057297024e-06
Position 1071: 1.4887858449877022e-06
Position 367: 1.108785997746107e-06
Position 817: 1.0529669762425968e-06
Position 829: 9.307600189861605e-07
Position 839: 7.469590183833982e-07
Position 775: 6.577181719583996e-07
Position 560: 4.983365545504454e-07
Position 1092: 4.957421891954544e-07
Position 354: 3.7609457308608125e-07
Position 1051: 2.6969363565259244e-07
Position 1075: 2.3465337361775818e-07
Position 326: 1.2691271334858737e-07
Position 337: 6.773245215020632e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 367: 0.9417909187464613
Position 618: 0.932711255206637
Position 1110: 0.7790735731186436
Position 877: 0.08288529968159976
Position 817: 0.07160964966692052
Position 1163: 0.012818022953372255
Position 580: 0.011911937156380227
Position 292: 0.010874600240067858
Position 639: 0.007501676053819548
Position 956: 0.006231750804464824
Position 1045: 0.003059064445608621
Position 589: 0.003007690788990134
Position 199: 0.002731345471744969
Position 839: 0.0019682542773674333
Position 1027: 0.0019658399400065583
Position 1116: 0.0012999492344488352
Position 644: 0.0010670415759098863
Position 577: 0.0008643298950389485
Position 641: 0.0006850657519003289
Position 1061: 0.000616975225241703
Position 901: 0.0006135110512754225
Position 489: 0.0005018275715063992
Position 916: 0.0004584511357027083
Position 834: 0.0004367746774377473
Position 647: 0.00042187353744353663
Position 531: 0.0003987952285752927
Position 783: 0.00032096983320996857
Position 1071: 0.0002776606299903179
Position 1051: 0.00027733700632333227
Position 899: 0.00024347345740883237
Position 594: 0.00019996343842233096
Position 1137: 0.000160619956942084
Position 960: 0.0001085399963035161
Position 504: 0.00010823923265899072
Position 514: 9.640157014887162e-05
Position 521: 7.330643656470716e-05
Position 237: 6.578801442071634e-05
Position 998: 3.7102015430551807e-05
Position 1123: 2.9248957550280907e-05
Position 560: 2.919604940565082e-05
Position 750: 2.9144504506659547e-05
Position 551: 2.301093640284979e-05
Position 1182: 2.2608013881085572e-05
Position 652: 2.2085743629341203e-05
Position 591: 1.2597303222205636e-05
Position 1010: 1.1669641467771004e-05
Position 1133: 1.1251188432687852e-05
Position 649: 1.1240224218577765e-05
Position 415: 1.0990171164044453e-05
Position 1144: 1.0689754648126506e-05
Position 764: 1.0084425561092386e-05
Position 541: 9.751369226753096e-06
Position 423: 8.93137837477181e-06
Position 674: 8.646100284813727e-06
Position 660: 7.993875248826862e-06
Position 671: 6.909316938033606e-06
Position 730: 5.319202183312676e-06
Position 500: 5.1424724308231784e-06
Position 761: 4.768742836027455e-06
Position 913: 4.673133182036747e-06
Position 657: 4.034725200634539e-06
Position 523: 3.0995855400661706e-06
Position 987: 2.2910950367477867e-06
Position 1171: 1.576316302661744e-06
Position 462: 1.3828632256564652e-06
Position 159: 1.3652612718919141e-06
Position 844: 1.308341609712994e-06
Position 681: 1.1927814359021707e-06
Position 1006: 9.626960606444229e-07
Position 775: 9.068771287907843e-07
Position 850: 8.682032789558267e-07
Position 969: 6.934156542420197e-07
Position 665: 6.087523840641373e-07
Position 705: 5.447228114109568e-07
Position 966: 5.278008075307093e-07
Position 852: 5.056284410036257e-07
Position 701: 4.803020400565185e-07
Position 442: 4.54364007054416e-07
Position 482: 3.3086161235000556e-07
Position 427: 1.2944159234670806e-07
Position 122: 3.788020664789093e-08
Position 676: 1.2517423986014841e-08
Position 104: 8.966234274984564e-09
Position 703: 7.40067855349203e-09
Position 686: 2.0538903022067317e-09
Position 717: 1.7530156678693085e-10
