Gene = Iqcd
index = 587
Annotated 5SS: [   72 11816 13537 16178]
Annotated 3SS: [11004 13302 16105 17611]
SMsplice 5SS: [   72 13438 16178]
SMsplice 3SS: [13302 16105 16813]
top_k =  1000
Partition function (log Z): -10.818956497636236

Sorted 5' Splice Sites (High to Low Probability):
Position 16178: 0.9669477832927562
Position 72: 0.8633613545206064
Position 13438: 0.7380981035389486
Position 11111: 0.37151482948372805
Position 9481: 0.34490678839574423
Position 13537: 0.2536089522046468
Position 9106: 0.23120635302262998
Position 5505: 0.19688292455645437
Position 2206: 0.12400000335384685
Position 9335: 0.12376994131246147
Position 7623: 0.10886476407269739
Position 252: 0.0947972130668883
Position 5761: 0.08105695401401464
Position 7154: 0.061698665416654634
Position 3364: 0.041690185678832835
Position 421: 0.03543818194382044
Position 4965: 0.025932063248322545
Position 17768: 0.02592093109727225
Position 4080: 0.024716530512150198
Position 3939: 0.016436243531230764
Position 3696: 0.01571873472656781
Position 17008: 0.014712845218389049
Position 3643: 0.01364991382532379
Position 3756: 0.010742361166820046
Position 4547: 0.010696009333589575
Position 5033: 0.01062305010391598
Position 5349: 0.01029341385114949
Position 3406: 0.010278328922091276
Position 367: 0.009354997195781917
Position 434: 0.008480613239989838
Position 3710: 0.008464251125008372
Position 4582: 0.00749083031517803
Position 17777: 0.004654913790644319
Position 6223: 0.004644784402460771
Position 911: 0.004499017373574604
Position 7590: 0.004375873024923604
Position 1952: 0.004283685963130951
Position 6903: 0.004088690770254819
Position 189: 0.0037246191554906223
Position 7142: 0.0036306243311464135
Position 16452: 0.003471132519691122
Position 16508: 0.003428227797373085
Position 383: 0.002873026002066673
Position 3963: 0.002828950314056415
Position 7394: 0.0024695673757660847
Position 6576: 0.0023728624989923517
Position 16981: 0.00225517942871332
Position 379: 0.002198510008275713
Position 8363: 0.0020852326961405612
Position 4314: 0.0020065640290427072
Position 759: 0.0018883192702480764
Position 16954: 0.0018785530239190985
Position 118: 0.0015310007542674536
Position 1307: 0.0014345127423739295
Position 1634: 0.0014014432083600532
Position 16563: 0.0013588834329748348
Position 7281: 0.0008853551993935972
Position 4984: 0.0005397532250529354
Position 3731: 0.0005248180765254065
Position 2365: 0.00045034258063498845
Position 13417: 0.0004182316729653986
Position 3623: 0.00039968346160627194
Position 898: 0.0003529376216831278
Position 453: 0.00031401666223494583
Position 787: 0.0002534441194305058
Position 698: 0.00024592533698193723
Position 4100: 0.00023250886367839256
Position 1448: 0.00017103126265937996
Position 769: 0.00015302032612053877
Position 1196: 0.00014797450693034852
Position 625: 0.00011727690738267653
Position 1891: 0.00011114533365308824
Position 2708: 9.2378437113952e-05
Position 2163: 9.158258642174689e-05
Position 134: 8.882519095571077e-05
Position 285: 8.770638577944587e-05
Position 845: 7.678137822380336e-05
Position 500: 7.193136782779849e-05
Position 894: 7.173868650276003e-05
Position 352: 7.063559607042498e-05
Position 154: 6.204412788457693e-05
Position 1885: 5.465159735662718e-05
Position 402: 4.6740602109688845e-05
Position 924: 4.57781940169125e-05
Position 1784: 3.879471707333619e-05
Position 4435: 3.443881053356001e-05
Position 1957: 2.91864944543354e-05
Position 107: 2.6224345336346238e-05
Position 1629: 1.489018318170923e-05
Position 129: 1.4438347060986381e-05
Position 109: 1.4331876321036917e-05
Position 393: 1.345476739689776e-05
Position 3252: 1.1867257109266618e-05
Position 1913: 1.0827425348330735e-05
Position 1480: 8.710843932307971e-06
Position 2797: 8.138529333682344e-06
Position 2276: 6.507627205498996e-06
Position 2002: 6.157839766072511e-06
Position 3212: 5.81415697515383e-06
Position 2783: 5.540011929597612e-06
Position 2167: 4.429102630467752e-06
Position 76: 4.026167048779426e-06
Position 40: 3.8140477080681456e-06
Position 2369: 3.1442088579185638e-06
Position 29: 1.8111184930259401e-06
Position 1591: 1.6278788147593118e-06
Position 2381: 1.0292219245252497e-06
Position 219: 3.0629781427604284e-07
Position 268: 1.4198554670410554e-07
Position 615: 1.3224067132109417e-07
Position 581: 1.1474039477598117e-07
Position 438: 9.150764168078878e-08
Position 177: 8.511299182611204e-08
Position 1133: 1.39715514399285e-08
Position 361: 2.2394092299425162e-09
Position 926: 7.634564759075448e-10
Position 513: 4.804851150982465e-10
Position 304: 3.311279657302376e-10
Position 341: 2.772122056519196e-10
Position 336: 2.5175151474319114e-10
