Gene = Lax1
index = 625
Annotated 5SS: [ 300 1288 6103 6571 7126]
Annotated 3SS: [1103 5998 6465 7054 9472]
SMsplice 5SS: [ 300 6103 6571 7126]
SMsplice 3SS: [5998 6465 7054 9472]
top_k =  1000
Partition function (log Z): -4.4412230463171

Sorted 5' Splice Sites (High to Low Probability):
Position 6103: 0.8605780804228984
Position 6571: 0.8190694743586733
Position 7126: 0.6906337677482712
Position 300: 0.6686602469700027
Position 1288: 0.3591519785648583
Position 294: 0.2789281611550509
Position 3404: 0.24788159715853747
Position 8558: 0.2036903119181213
Position 3021: 0.12408159193331601
Position 7145: 0.11459255032859209
Position 9372: 0.10825369273067004
Position 8311: 0.07817008437119846
Position 6703: 0.07028931710609043
Position 6380: 0.050680301500483825
Position 1475: 0.031033457291175306
Position 9624: 0.02297220851086282
Position 500: 0.022628672799181737
Position 200: 0.021659610385409745
Position 5585: 0.017594895905765833
Position 4254: 0.016214533368960605
Position 3062: 0.014942403102300208
Position 308: 0.014363815704141986
Position 1971: 0.013867681220251869
Position 8231: 0.012694631557715028
Position 3964: 0.011829059083901246
Position 7450: 0.011091593597863637
Position 684: 0.010231115773401842
Position 6953: 0.009699795328013008
Position 8020: 0.008420599851474071
Position 8725: 0.00791940945340968
Position 1305: 0.007859694526939265
Position 6894: 0.007785546957150892
Position 6963: 0.007473765711735421
Position 4127: 0.006239176317086547
Position 6107: 0.005267909608696578
Position 6124: 0.005095599892096708
Position 28: 0.004712042471473225
Position 3051: 0.004524046015074407
Position 8703: 0.004102517564596238
Position 6113: 0.0037721746846251228
Position 6111: 0.0033673888156428113
Position 2050: 0.002990768725427564
Position 6807: 0.002599620586692815
Position 9690: 0.0025262521096462817
Position 8883: 0.0023844382362954654
Position 7761: 0.0023544111266029996
Position 7830: 0.0019250881113526172
Position 619: 0.0019088535186794337
Position 6070: 0.0014482333304422924
Position 8896: 0.0013415380617515038
Position 1229: 0.0012158603343743095
Position 623: 0.0012099254959428104
Position 7284: 0.0010651999298745176
Position 55: 0.0008950943519325023
Position 7847: 0.0008669306660579585
Position 8363: 0.0007882691581629995
Position 7779: 0.0005555457704067719
Position 6749: 0.0005438797888693571
Position 6117: 0.0005429527618797514
Position 6912: 0.0004738342763885137
Position 2646: 0.0004415730872609942
Position 475: 0.00043833518825790247
Position 635: 0.0004303956817984189
Position 666: 0.0003617657486132467
Position 3207: 0.0003472038825395675
Position 1146: 0.0003357403666616601
Position 1194: 0.00029590342545133326
Position 7979: 0.0002958414360382563
Position 813: 0.0002446916468718244
Position 7920: 0.00015389838319958927
Position 819: 0.00013997606189342264
Position 8056: 0.00012832749401297053
Position 1204: 0.00011135238072585422
Position 133: 9.86105824975405e-05
Position 25: 9.554402499544458e-05
Position 786: 9.500476753177693e-05
Position 3533: 8.814281535777363e-05
Position 337: 8.614492690267523e-05
Position 1742: 7.910561585353689e-05
Position 1509: 7.119106738125118e-05
Position 825: 7.100608187102162e-05
Position 35: 6.515115033745397e-05
Position 101: 5.126719931753781e-05
Position 2389: 5.082833695341667e-05
Position 733: 4.471325897602814e-05
Position 356: 3.670161946372937e-05
Position 728: 2.8775316854866544e-05
Position 224: 2.7835092566067516e-05
Position 831: 2.6328054715984547e-05
Position 246: 2.517926871373995e-05
Position 736: 2.2498684149010935e-05
Position 547: 1.7010658497940615e-05
Position 233: 1.5277448410727752e-05
Position 837: 1.4262628418734806e-05
Position 7332: 1.2354142652079372e-05
Position 1050: 1.122450900679532e-05
Position 161: 9.632280815247917e-06
Position 1199: 8.813561175452958e-06
Position 1401: 8.459925989081484e-06
Position 314: 7.089332505908051e-06
Position 701: 7.027369147137221e-06
Position 8958: 6.5421176777041276e-06
Position 843: 6.301440661949236e-06
Position 341: 5.997033193570218e-06
Position 756: 5.6801969777154995e-06
Position 504: 5.3259284268418674e-06
Position 7187: 5.2623072237351425e-06
Position 614: 4.622705183619495e-06
Position 331: 4.387957063759469e-06
Position 7137: 4.1020795124702315e-06
Position 1444: 3.687240915200903e-06
Position 879: 3.331863475999516e-06
Position 849: 3.215675035018138e-06
Position 7464: 3.091905481172617e-06
Position 1592: 2.8741811935723404e-06
Position 855: 1.7437728555673196e-06
Position 1150: 5.654338085837448e-07
Position 1292: 5.621045893525691e-07
Position 1127: 3.1005703671255287e-07
Position 1860: 1.5379382191730271e-07
Position 2234: 1.5232423701411897e-07
Position 328: 1.414415800855255e-07
Position 344: 9.055330907540981e-08
Position 347: 8.882203328611622e-08
Position 436: 7.958651345009646e-08
Position 369: 7.218574926847727e-08
Position 371: 6.146261225252767e-08
Position 373: 6.101029908941093e-08
Position 375: 5.878115539500983e-08
Position 377: 4.863050972464313e-08
Position 379: 3.235584455894808e-08
Position 385: 3.1703912802304064e-08
Position 387: 3.1149363930302437e-08
Position 383: 2.8636458255635284e-08
Position 353: 2.5706139790673135e-08
Position 391: 2.555943629627309e-08
Position 389: 2.5242675531500693e-08
Position 381: 2.5041993141196367e-08
Position 446: 2.457062779162747e-08
Position 393: 2.1415951149549145e-08
Position 395: 2.0058556965238806e-08
Position 397: 1.9232187376828524e-08
Position 399: 1.8410207061673753e-08
Position 401: 1.7365655552832485e-08
Position 364: 1.5105034772973617e-08
Position 403: 1.3013041555492643e-08
Position 405: 1.1357613569027583e-08
Position 407: 1.0556999916358888e-08
Position 485: 8.374593823232638e-09
Position 411: 8.24401400824426e-09
Position 350: 4.823421057106327e-09
Position 551: 1.0997231784540564e-09
Position 409: 1.1348195312374654e-10
Position 1928: 2.241296861865992e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 6465: 0.8533316054037632
Position 5998: 0.8007893095438622
Position 7054: 0.7506959006536601
Position 9472: 0.49086459886809297
Position 8458: 0.2532896013557415
Position 1103: 0.22635392523690864
Position 9235: 0.21423885029886774
Position 3147: 0.18725505098512316
Position 1049: 0.1286318112303063
Position 2896: 0.11511247857113614
Position 8164: 0.11140090704724992
Position 5940: 0.06441332847686625
Position 9322: 0.055548936889617276
Position 6992: 0.04843078148665051
Position 7715: 0.04076573790757929
Position 9824: 0.03816494388838409
Position 9343: 0.03661922178734281
Position 6238: 0.03377229602634076
Position 10093: 0.02884928634666195
Position 9744: 0.02487708793393539
Position 8850: 0.024805249613558254
Position 6777: 0.023265834369149124
Position 6935: 0.02194557580675251
Position 3296: 0.02174469455381604
Position 6643: 0.01830158657503924
Position 7892: 0.017872316474318865
Position 1335: 0.017738298133317825
Position 5473: 0.014798193336386819
Position 2916: 0.014764585996343827
Position 1357: 0.012793280639392115
Position 519: 0.010913136294577215
Position 6667: 0.010783738962382538
Position 6702: 0.010372425013305922
Position 9983: 0.00978799599469854
Position 6063: 0.009692235115141619
Position 8788: 0.009469951345842482
Position 1815: 0.008787107391610658
Position 8213: 0.008412955503971534
Position 3185: 0.00833505169249446
Position 5925: 0.008166948557742701
Position 4036: 0.00814263460142633
Position 1226: 0.008125705109071091
Position 420: 0.0075591322000956186
Position 1809: 0.0070447719466831425
Position 8874: 0.0068871672155315115
Position 3107: 0.006866455298577372
Position 6489: 0.006744037683773875
Position 7310: 0.006500846469591245
Position 9499: 0.006409538206550085
Position 3384: 0.0063790949603906525
Position 9048: 0.006203871733392036
Position 6517: 0.005815432306980269
Position 3018: 0.005794895646943569
Position 6486: 0.005716327029224019
Position 6376: 0.00533950053890071
Position 123: 0.005147914675982855
Position 5774: 0.005140318670596304
Position 3731: 0.004840993340199327
Position 9092: 0.004645817591514822
Position 3320: 0.0037653371451153612
Position 7203: 0.003635255228931343
Position 3674: 0.003358172560360142
Position 8476: 0.003214801897520811
Position 4093: 0.0031337178167080105
Position 4090: 0.0031210583813372304
Position 3217: 0.003059563248477886
Position 3306: 0.0030551093185040472
Position 7279: 0.0029533076070679047
Position 2931: 0.0029329007377952706
Position 5446: 0.0027967025693790065
Position 3098: 0.002781024126578543
Position 3756: 0.0026124374200095983
Position 10301: 0.00257020353320776
Position 4011: 0.002460163617608273
Position 6871: 0.0022148906168521516
Position 6244: 0.0020986435115164783
Position 471: 0.00206640859873801
Position 2554: 0.002024553070579442
Position 1166: 0.0019584130908403526
Position 4115: 0.001860044056328484
Position 9871: 0.0018504273766279389
Position 9677: 0.0017351298260163965
Position 3211: 0.0017155881397918286
Position 7719: 0.0016796198397854623
Position 4165: 0.0016731173661573215
Position 2963: 0.0016703054080870008
Position 2733: 0.001538438120145412
