Gene = Sclt1
index = 952
Annotated 5SS: [   520   8347  11654  12224  15422  24786  31432  33046  39129  60233
  60819  67187  71130  75404  78563  80943  85311  95070 110862 112997]
Annotated 3SS: [  8278  11594  12150  15365  24649  31308  32979  39057  60141  60726
  67008  71030  75331  78487  80796  85117  94872 110782 112900 115279]
SMsplice 5SS: [   296    520   8347  12224  24786  31432  33046  42009  60233  60819
  62300  67187  71130  75404  78638  80636  80943  85311  86184  95070
 100287 109753 110862 112997]
SMsplice 3SS: [   372   8278  12150  24711  31308  32979  41868  60141  60726  62217
  67008  71030  75331  78487  80456  80796  85207  86107  94872 100163
 109552 110782 112900 115279]
top_k =  1000
Partition function (log Z): -41.753651563829784

Sorted 5' Splice Sites (High to Low Probability):
Position 24786: 0.9999999969226245
Position 33046: 0.979131617108316
Position 12224: 0.9746381682382493
Position 296: 0.9691273466294256
Position 31432: 0.9593305737290133
Position 8347: 0.9322043315788527
Position 42009: 0.8997691564227522
Position 520: 0.8277748430030598
Position 15422: 0.7990803141188746
Position 14731: 0.5381155169019987
Position 39129: 0.5323357328163026
Position 5304: 0.4966968967116846
Position 37801: 0.3652907290004387
Position 43380: 0.3541432873625686
Position 7796: 0.3529367323884841
Position 3625: 0.2837092109046567
Position 10542: 0.24980942658638255
Position 15035: 0.2115550386811213
Position 44487: 0.19299861873451848
Position 5060: 0.15109185314147924
Position 42932: 0.12440767274988368
Position 42641: 0.10496569072467805
Position 36068: 0.09976936435874029
Position 28355: 0.0995805236818027
Position 9527: 0.09495575206232815
Position 25307: 0.0838119431366107
Position 27575: 0.0833785010809841
Position 27549: 0.07505144801752071
Position 43431: 0.07107054901146401
Position 46360: 0.0657570350805561
Position 561: 0.059978774623092784
Position 36207: 0.04204500742399676
Position 39329: 0.03740910818252553
Position 33833: 0.03424028209023456
Position 38302: 0.0319336080007712
Position 6575: 0.028187094102057372
Position 849: 0.0234675897281022
Position 11654: 0.023222131536322042
Position 556: 0.02223659967586949
Position 43376: 0.020983083369402692
Position 38325: 0.020072677782434906
Position 43728: 0.019951788464487395
Position 6162: 0.019478999654432623
Position 27440: 0.019057897089392543
Position 8824: 0.01902512977184282
Position 43332: 0.01881488100916958
Position 2032: 0.017654789181495142
