Gene = Ctu1
index = 306
Annotated 5SS: [  60 3631]
Annotated 3SS: [3087 4410]
SMsplice 5SS: [  60 3234]
SMsplice 3SS: [3087 4410]
top_k =  1000
Partition function (log Z): -8.069550109002176

Sorted 5' Splice Sites (High to Low Probability):
Position 60: 0.8085147813392968
Position 3234: 0.4739295974295985
Position 3631: 0.4405203643469182
Position 4065: 0.2074418513454184
Position 1125: 0.16665740541940394
Position 5692: 0.1516268935694865
Position 4529: 0.09567220600796497
Position 124: 0.04262220058115309
Position 3595: 0.039236332837294996
Position 4255: 0.037969559540460905
Position 226: 0.033411408360311146
Position 583: 0.03297485010020058
Position 4462: 0.032033051069680685
Position 4514: 0.030911402796626877
Position 3181: 0.03015342073250459
Position 3197: 0.027729960661337386
Position 4616: 0.02565955428440403
Position 614: 0.023923576332083203
Position 4486: 0.023280212708978464
Position 4610: 0.02025221680737779
Position 4320: 0.018420110961566902
Position 3337: 0.015572169713526004
Position 2385: 0.01540688275093191
Position 3001: 0.013606994797391508
Position 4156: 0.013423898166954069
Position 2288: 0.010610832792466282
Position 2679: 0.01015517924431298
Position 3288: 0.00981770846187014
Position 548: 0.009268921091805344
Position 434: 0.00896127942542291
Position 4491: 0.007391396288908678
Position 2315: 0.007092796368968153
Position 3172: 0.006755224892001354
Position 779: 0.006136860371228489
Position 1377: 0.005119546752281518
Position 5793: 0.005100518704279527
Position 2082: 0.004204637917439446
Position 4174: 0.003417332490855019
Position 1731: 0.0033584789433400153
Position 4563: 0.0031498759894854735
Position 5814: 0.002947071424486801
Position 4571: 0.002917350340943838
Position 2270: 0.0027160128786592095
Position 4440: 0.002657099912443444
Position 271: 0.002529736348040829
Position 4041: 0.002455231489532376
Position 1146: 0.0024378892069611964
Position 3214: 0.0021656516411135717
Position 2041: 0.0021652269016235754
Position 2037: 0.0018206407401999034
Position 1776: 0.0017868388098859762
Position 194: 0.001766208381483391
Position 713: 0.0015679754682904352
Position 3957: 0.0013073890260659506
Position 1737: 0.0011355088987433743
Position 104: 0.0010462972994479938
Position 799: 0.0010132919894728458
Position 2456: 0.0008494145764654182
Position 4240: 0.0007875840550432561
Position 3657: 0.0007804711691374565
Position 2348: 0.0007465093147461668
Position 3426: 0.0007292395688474537
Position 2435: 0.0007075676061642607
Position 445: 0.0006457935266082684
Position 419: 0.0005669010501387319
Position 2604: 0.0005110753603212229
Position 879: 0.0004710235077205274
Position 716: 0.00040898941727741446
Position 169: 0.0003999800706789262
Position 449: 0.0003938284016743411
Position 2511: 0.00038839418563421115
Position 580: 0.0003506125103924453
Position 3567: 0.00034687967443840765
Position 6137: 0.00031403193845091
Position 223: 0.0002953714356598001
Position 513: 0.0002667462594854752
Position 606: 0.00025445446952707243
Position 2321: 0.00025263993413275046
Position 3246: 0.0002473223177701661
Position 1271: 0.00024284862402735463
Position 3137: 0.00023885125736672084
Position 3292: 0.00023533634980927844
Position 81: 0.00023269334173095304
Position 3641: 0.00022680110181664764
Position 4277: 0.00022055267415779637
Position 3330: 0.00021993353246288128
Position 2185: 0.0001894536515702417
Position 3160: 0.00018625501369817218
Position 256: 0.00018419876464602112
Position 814: 0.00017083871658896206
Position 2720: 0.00016447292201890478
Position 2934: 0.000160714023889766
Position 2376: 0.00015114414698544202
Position 38: 0.00014108788399723275
Position 1982: 0.0001350752741055084
Position 706: 0.00013480040763852328
Position 504: 0.0001244689575072209
Position 893: 0.0001221526575265554
Position 2656: 0.00010016656941118562
Position 2294: 9.529344256262537e-05
Position 1320: 8.490647156555702e-05
Position 4036: 7.389080092759684e-05
Position 4189: 7.107859178367412e-05
Position 1298: 7.065107872654714e-05
Position 1461: 6.79228773620512e-05
Position 869: 6.367543666342783e-05
Position 403: 6.316919268842304e-05
Position 189: 6.288305916043973e-05
Position 2598: 6.263592050480914e-05
Position 388: 6.010722399235758e-05
Position 2692: 5.456987009896847e-05
Position 975: 4.901280293461341e-05
Position 333: 4.574131692804664e-05
Position 386: 4.564228786809263e-05
Position 159: 4.3670324226487e-05
Position 1356: 4.0488505915766856e-05
Position 2144: 3.576507985361711e-05
Position 214: 3.552357606761724e-05
Position 3279: 3.424133990386021e-05
Position 3703: 2.4793292446467502e-05
Position 1231: 2.3176090546916722e-05
Position 3381: 2.085704027229333e-05
Position 3663: 1.9722141013741996e-05
Position 4459: 6.330313149647848e-06
Position 64: 8.439445186166889e-07
Position 66: 7.294419021091253e-07
Position 265: 6.607960223641278e-07
Position 26: 6.515173278678262e-07
Position 298: 2.9412209165608144e-07
Position 328: 1.3292599963752144e-07
Position 49: 1.0383266054061702e-07
Position 674: 7.986151919303181e-10

