Gene = Sprr2k
index = 1023
Annotated 5SS: [40]
Annotated 3SS: [746]
SMsplice 5SS: [40]
SMsplice 3SS: [746]
top_k =  1000
Partition function (log Z): -7.755163809772234

Sorted 5' Splice Sites (High to Low Probability):
Position 40: 0.9786738937828862
Position 540: 0.09556077102278669
Position 646: 0.027952696556855505
Position 785: 0.016328741821378615
Position 652: 0.00796735080874653
Position 125: 0.0044531320393690855
Position 406: 0.003323551101033779
Position 271: 0.0019617110544982593
Position 648: 0.0019122100153611179
Position 966: 0.0010695914425694663
Position 1214: 0.0006177827180082828
Position 161: 0.0005501658830342622
Position 715: 0.0005132156941689762
Position 544: 0.0004245347937097181
Position 111: 0.0003865478802593674
Position 567: 0.0003862104312470128
Position 10: 0.0003250124092639479
Position 154: 0.00023758261644688428
Position 66: 0.00023039172030083535
Position 604: 0.0001408993638327379
Position 309: 0.00010704958133100034
Position 331: 9.401495872501315e-05
Position 177: 9.032519856366703e-05
Position 650: 8.196692640882757e-05
Position 145: 8.066739914995679e-05
Position 846: 8.047258499275682e-05
Position 169: 7.57398172942162e-05
Position 412: 5.564763692867327e-05
Position 217: 4.288987874880781e-05
Position 59: 4.185822702166262e-05
Position 44: 4.110868593065805e-05
Position 719: 3.954155400490289e-05
Position 97: 3.639533738269791e-05
Position 813: 2.7580277314306213e-05
Position 873: 2.63001357287094e-05
Position 256: 2.283483012611849e-05
Position 525: 2.1352074895783675e-05
Position 106: 1.761666571251162e-05
Position 172: 9.595052204201462e-06
Position 797: 8.745656872441486e-06
Position 1018: 8.580699312249338e-06
Position 52: 7.995060702549704e-06
Position 480: 7.96477269238685e-06
Position 512: 7.816603304356315e-06
Position 209: 6.874651096292942e-06
Position 507: 6.632454090367774e-06
Position 811: 5.550691543449689e-06
Position 290: 5.156542481809084e-06
Position 950: 5.105632804810985e-06
Position 1110: 4.713824239535025e-06
Position 354: 4.478481387732142e-06
Position 1146: 4.2654185158035e-06
Position 189: 2.8350388283258135e-06
Position 922: 2.5946021684558917e-06
Position 368: 2.4298157180606637e-06
Position 765: 2.4025180831029204e-06
Position 219: 2.2839591740193966e-06
Position 1234: 1.1592639251709045e-06
Position 415: 7.698600759901202e-08
Position 197: 3.0567562820127785e-08
Position 795: 5.434869734286321e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 746: 0.7695112229671002
Position 405: 0.09289047668513943
Position 216: 0.06704415566643089
Position 873: 0.04675198787943816
Position 520: 0.042684503660673195
Position 365: 0.030734497512923363
Position 846: 0.02057091837679211
Position 556: 0.012283513318836457
Position 445: 0.012201111205604777
Position 828: 0.00632149177460509
Position 522: 0.006273136904262009
Position 1338: 0.005902780743018723
Position 1202: 0.004198872343505732
Position 897: 0.0030759814129822237
Position 1288: 0.002415356369619604
Position 1167: 0.002306613570234548
Position 175: 0.0022307988945616474
Position 930: 0.0021969179196416806
Position 1110: 0.0020079057432421527
Position 453: 0.0015283720057605414
Position 368: 0.001466715221442766
Position 775: 0.0014419745141098462
Position 340: 0.0012627353117205615
Position 232: 0.0009225349212135815
Position 1070: 0.0009006974628864448
Position 780: 0.0007420676507667045
Position 337: 0.0005844839585453538
Position 324: 0.000562835999952571
Position 942: 0.00037396251846163764
Position 622: 0.0002759993226100996
Position 906: 0.0002712892817160532
Position 1131: 0.00026629799597206554
Position 945: 0.00019687348646064737
Position 1254: 0.00019011906436021826
Position 145: 0.00018134089377455908
Position 777: 0.00013592743436472682
Position 962: 0.00011908848370743308
Position 573: 0.00010067143202383859
Position 783: 9.915256012190516e-05
Position 380: 8.405041949376667e-05
Position 703: 6.878684613743878e-05
Position 412: 6.602723740216414e-05
Position 1073: 5.764158379093947e-05
Position 966: 5.1587457934130156e-05
Position 882: 4.6710085582767366e-05
Position 1225: 4.536930805796047e-05
Position 690: 4.4592040967263804e-05
Position 270: 3.9933164665188533e-05
Position 723: 3.897543332436622e-05
Position 103: 3.226395712377628e-05
Position 177: 2.9984265112765874e-05
Position 1291: 2.5428090386651873e-05
Position 1268: 2.2459487110187845e-05
Position 972: 1.8125103356985954e-05
Position 754: 1.7529871973351137e-05
Position 855: 1.7151741161813233e-05
Position 627: 1.698540170150102e-05
Position 609: 1.5443878661037495e-05
Position 249: 1.3086404038838703e-05
Position 1295: 1.2855916897138895e-05
Position 106: 1.193937164394256e-05
Position 277: 1.126084671047168e-05
Position 801: 1.0718243852528471e-05
Position 567: 1.0380139927152536e-05
Position 719: 8.368345047627466e-06
Position 630: 8.345851596299411e-06
Position 792: 7.284659030443507e-06
Position 1221: 6.603683992324047e-06
Position 978: 5.549539763634177e-06
Position 658: 5.15952358150692e-06
Position 347: 4.581067940520655e-06
Position 660: 4.182520082528105e-06
Position 242: 3.7392704419856822e-06
Position 100: 3.4655036790462925e-06
Position 995: 3.2145758522705527e-06
Position 989: 3.073146714662419e-06
Position 1256: 2.5147116733262438e-06
Position 266: 2.390258985668589e-06
Position 1002: 2.013778229503062e-06
Position 254: 1.4657855911679105e-06
Position 284: 2.76048394829018e-08
Position 632: 6.09611114436882e-11
