Gene = Syne4
index = 1053
Annotated 5SS: [ 271  585 1558 1952 2276 3227 3916]
Annotated 3SS: [ 445 1413 1756 2026 3151 3856 4007]
SMsplice 5SS: [ 271  585 1558 2276 3227 3916]
SMsplice 3SS: [ 445 1478 2026 3151 3856 4007]
top_k =  1000
Partition function (log Z): 6.822211327835069

Sorted 5' Splice Sites (High to Low Probability):
Position 3227: 0.9878466641336995
Position 271: 0.9589866127989405
Position 1558: 0.9396262476706252
Position 3916: 0.9135922699587044
Position 585: 0.8499968277011469
Position 2276: 0.7556933575495276
Position 1952: 0.35841984509943664
Position 3701: 0.35629519174716506
Position 2326: 0.12731965435499654
Position 1122: 0.05894005091490949
Position 47: 0.05787189948407825
Position 694: 0.05644060524569062
Position 871: 0.04759207815648153
Position 3619: 0.04365769089901275
Position 1815: 0.043427482855536416
Position 2347: 0.0387467723904855
Position 2124: 0.03314718895754286
Position 2226: 0.016161860062584858
Position 580: 0.00865844410416151
Position 2097: 0.0076854932366804485
Position 3744: 0.0074511644261570364
Position 2066: 0.007422744695095513
Position 1365: 0.007299682517588723
Position 1577: 0.004531307117348538
Position 1836: 0.004185919431086229
Position 4072: 0.0039874401102097615
Position 3260: 0.003069138884308579
Position 1165: 0.0029372748491017977
Position 1868: 0.0022874137057238243
Position 1359: 0.001982810033878552
Position 1967: 0.0018537421859394995
Position 1298: 0.001796084358246601
Position 168: 0.0017161538317134514
Position 1933: 0.0017046641871593473
Position 188: 0.0015128159354964572
Position 133: 0.001426988623567498
Position 2027: 0.001064681638757432
Position 1604: 0.0010471622759337434
Position 3781: 0.001039115811405264
Position 2102: 0.0009983786945831855
Position 1314: 0.000960848987512054
Position 3872: 0.0009414914217369706
Position 1281: 0.0009154076142400291
Position 418: 0.0008190353321118448
Position 324: 0.0007895324431708748
Position 3554: 0.0007520548768843005
Position 3607: 0.0007107043256588454
Position 3627: 0.0006018772756952605
Position 1726: 0.0005969048660685377
Position 385: 0.0005044395281821487
Position 769: 0.00039158160829306956
Position 2947: 0.0003693351072339355
Position 875: 0.0003574005607060364
Position 3467: 0.00032697819172968325
Position 1691: 0.0002716945943313535
Position 294: 0.00026701867056232013
Position 3054: 0.00025679405834985264
Position 2152: 0.00019409440071717102
Position 3905: 0.00016567257546949306
Position 3278: 0.000163767041153662
Position 28: 0.00015417481505129726
Position 672: 0.00013615485121384194
Position 291: 0.00013022263768086494
Position 374: 0.00012932178768927508
Position 456: 0.00011358355000692446
Position 1730: 0.00011006956606595006
Position 2171: 0.00010664749980320793
Position 1592: 0.00010575111486015158
Position 947: 9.900148939415169e-05
Position 1612: 9.509755830396151e-05
Position 914: 9.446197901806542e-05
Position 152: 8.82299706991894e-05
Position 2146: 8.383011796000013e-05
Position 2513: 8.317931666367767e-05
Position 2178: 8.183465864238563e-05
Position 224: 6.874230071926015e-05
Position 2737: 5.789151254836896e-05
Position 1588: 5.7243138717545704e-05
Position 3688: 5.597709813137527e-05
Position 1715: 5.572698974922499e-05
Position 3476: 5.093634385597226e-05
Position 51: 4.968284825622069e-05
Position 195: 4.602215210107579e-05
Position 73: 4.0059359047796307e-05
Position 3320: 3.952783294812407e-05
Position 3791: 3.9472434090617114e-05
Position 3736: 3.736099179552961e-05
Position 1793: 3.7226954709565126e-05
Position 3250: 3.2792640228695505e-05
Position 493: 3.2336691201541095e-05
Position 718: 3.204719351407336e-05
Position 1633: 3.0240788589956314e-05
Position 1699: 2.6070478547509073e-05
Position 3531: 2.5545230041964668e-05
Position 3725: 2.305422677848176e-05
Position 1705: 1.7925268785659422e-05
Position 1565: 1.3105811540884089e-05
Position 2570: 1.0567147160517617e-05
Position 342: 8.38950164282484e-06
Position 328: 6.5368182909349455e-06
Position 1546: 6.381511646449481e-06
Position 4076: 5.65212272910283e-06
Position 3682: 5.554593914772146e-06
Position 3946: 5.45648371984102e-06
Position 227: 4.409064066801362e-06
Position 1112: 4.3952340630852135e-06
Position 82: 4.054866309808448e-06
Position 3415: 3.470119158790336e-06
Position 101: 2.899720357993263e-06
Position 623: 2.0356488552361836e-06
Position 344: 1.9920309832331695e-06
Position 627: 1.8849054508425382e-06
Position 4150: 1.8844827515377123e-06
Position 707: 1.8760706529855323e-06
Position 928: 1.8500431536984081e-06
Position 390: 1.5956299149865294e-06
Position 512: 1.0263695364082473e-06
Position 611: 8.264757548477074e-07
Position 984: 7.599772505848023e-07
Position 841: 5.711358660733392e-07
Position 746: 5.495221458254744e-07
Position 802: 4.6165220854731534e-07
Position 864: 4.0542552210977034e-07
Position 1710: 2.2533479960004067e-07
Position 739: 1.5936045249437683e-07
Position 757: 6.106871540828676e-08
Position 407: 5.3171699993701216e-08
Position 767: 4.860681766224513e-08
Position 605: 4.210109980924811e-08
Position 3508: 4.781676115307934e-09
Position 3788: 4.755096696851163e-09
Position 3392: 1.1760573996308646e-09
Position 677: 5.13489682913239e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 4007: 0.9491666149196089
Position 3151: 0.9163788498877908
Position 3856: 0.9152848752470584
Position 445: 0.8244197847430128
Position 2026: 0.7342114656941221
Position 1478: 0.5111998315695672
Position 3514: 0.34800999685660233
Position 1435: 0.21200751291203904
Position 2192: 0.13390442931481222
Position 1756: 0.12045469469480548
Position 2144: 0.10495473829396096
Position 1665: 0.09873179942282463
Position 1497: 0.09112281886565023
Position 1867: 0.089927706945206
Position 1765: 0.08488487038762269
Position 1413: 0.06803808995366817
Position 3045: 0.05102069074680899
Position 1050: 0.04263900770254597
Position 417: 0.04244575491438017
Position 1190: 0.04150290073232318
Position 3553: 0.04023585919905645
Position 3409: 0.027244357414444344
Position 133: 0.0243849308050956
Position 653: 0.023488274480836457
Position 3092: 0.021798671321568486
Position 767: 0.018606690263515115
Position 3861: 0.018478249864889704
Position 1026: 0.01605300276152523
Position 206: 0.013563265957758378
Position 4015: 0.012210614026314771
Position 1441: 0.009971475551440453
Position 1248: 0.009580631933298372
Position 839: 0.008297075648263142
Position 2216: 0.0066174841161677055
Position 1829: 0.005429650778496869
Position 808: 0.005326868783069164
Position 450: 0.0052439723266604985
Position 1921: 0.0051984004757893165
Position 2244: 0.004114944754693572
Position 357: 0.003923552877468648
Position 182: 0.003878502019036204
Position 611: 0.003718016423928425
Position 4157: 0.0025772852660146
Position 2056: 0.002455475676409068
Position 1064: 0.0023774419868421728
Position 718: 0.002316322526094131
Position 1195: 0.0022566626651354185
Position 818: 0.0022544863672538805
Position 4136: 0.0021529390549124916
Position 1927: 0.0021069715358715507
Position 1271: 0.0019583019020651083
Position 3125: 0.001713552476956038
Position 564: 0.0017017644881815964
Position 360: 0.001657622454493221
Position 3590: 0.0015958637906654809
Position 3581: 0.001515118920986027
Position 1031: 0.0012910578317826165
Position 1325: 0.0012377762252140578
Position 3348: 0.0012233402444874863
Position 1819: 0.0011790165687629516
Position 1895: 0.0011519930491144467
Position 3531: 0.0010902690507430097
Position 1452: 0.0010506707800682533
Position 452: 0.0010344310353097446
Position 3662: 0.0010329183526455652
Position 3630: 0.001025991751472225
Position 523: 0.0010228069601267388
Position 1217: 0.0010062055527158891
Position 899: 0.0009845909505555824
Position 1690: 0.0008596580231404288
Position 3780: 0.0008135718934270676
Position 3618: 0.0007234491257577906
Position 4029: 0.0007201277927699728
Position 1258: 0.0006802619292534421
Position 3052: 0.0006763949979131845
Position 557: 0.0006330328084094581
Position 1864: 0.0006205359490201142
Position 1736: 0.0005952109478145745
Position 1769: 0.0005717682646674296
Position 1444: 0.0005697880662132298
Position 1743: 0.0005629663386323524
Position 3560: 0.00055101760983197
Position 862: 0.0005074866651390503
Position 3535: 0.0004914549549817181
Position 1220: 0.0004683082311652369
Position 3470: 0.0004506507722625997
Position 1840: 0.00044383099161052106
Position 532: 0.0004401433674941888
Position 2146: 0.00041612959497496437
Position 1457: 0.0004127831887072063
Position 1836: 0.00039465442608179125
Position 952: 0.00039185392753582777
Position 784: 0.0003820868106186701
Position 3588: 0.0003816669985183479
Position 3415: 0.00037369372655640605
Position 2732: 0.0003581646634348072
Position 1629: 0.00032670274824583373
Position 3467: 0.0002879348816601498
Position 455: 0.0002808601877323639
Position 1007: 0.0002769509216632154
Position 1734: 0.0002507496416318694
Position 776: 0.00024059198855260063
Position 1095: 0.000217756132066865
Position 3632: 0.00021755086047608313
Position 184: 0.0002173441791699916
Position 1845: 0.00020032617107095167
Position 2165: 0.0001986670882434293
Position 482: 0.0001985135019281999
Position 3191: 0.00019773418254634648
Position 1362: 0.00019215818477057623
Position 4227: 0.00019154469824043507
Position 2124: 0.00018860358672224836
