Gene = D430042O09Rik
index = 316
Annotated 5SS: [    34  20450  45135  52556  53935  62789  87566  89791 105035 105744
 106973 108767 112269 121952 135539 143089 144231 146724 152791 157496
 158569 159753 160935 162868 164338 164933 165106]
Annotated 3SS: [ 20393  45057  52385  53836  62656  87300  89658 104864 105677 106865
 108663 112052 121813 134664 142383 144021 146644 152612 157329 158410
 159687 160823 162727 164235 164771 165016 165531]
SMsplice 5SS: [   320  28965  32488  45135  52556  53935  62789  87566  89791 105035
 105744 106973 108767 111148 112269 121952 152791 157496 158569 164338
 164933 165106 165320]
SMsplice 3SS: [ 28866  32362  45057  52385  53836  62656  87300  89658 104864 105677
 106865 108663 111009 112052 121813 152739 157329 158410 164235 164771
 165016 165224 165531]
top_k =  1000
Partition function (log Z): -102.08414164665217

Sorted 5' Splice Sites (High to Low Probability):
Position 320: 0.8670449579222453
Position 4170: 0.14577694198757493
Position 1321: 0.1154351520899526
Position 4199: 0.09352419428604411
Position 166: 0.054843514645239434
Position 3371: 0.0534862259075389
Position 1332: 0.05329036841566965
Position 339: 0.050276823858279925
Position 5607: 0.04409616181716501
Position 5584: 0.03499117386784624
Position 7939: 0.031020470542894748
Position 5434: 0.023982783182624687
Position 5738: 0.016554448218250188
Position 2432: 0.015251422992178923
Position 34: 0.013689642851056692
Position 6479: 0.0133837851947129
Position 157: 0.010779484181405284
Position 4888: 0.010678586882029141
Position 6550: 0.00880696648765673
Position 1850: 0.007818683520737679
Position 595: 0.007399188359518374
Position 7703: 0.004963802461064085
Position 4477: 0.004032024058252305
Position 5904: 0.0032151273555212573
Position 3381: 0.002995796413295431
Position 7758: 0.002666398429532051
Position 405: 0.0017963889909175484
Position 2417: 0.0010181106286236614
Position 4511: 0.0007100375692919122
Position 3037: 0.0006792810349602616
Position 343: 0.0006549748121357233
Position 782: 0.0006094003721266104
Position 61: 0.0005094056375290045
Position 797: 0.0003905196869027769
Position 2122: 0.0002968092637945507
Position 3698: 0.0002683466013364451
Position 2205: 0.00020230456733777582
Position 1988: 0.0001921628926371292
Position 3816: 0.00015455556002672368
Position 700: 0.0001344753058215451
Position 90: 0.00013047463750000848
Position 313: 0.00012658992918547471
Position 3306: 0.00012332652353668313
Position 200: 0.0001158023126470716
Position 309: 0.00011265805185027904
Position 3588: 0.00010394907822769294
Position 915: 7.881629212342164e-05
Position 1029: 3.9592164200254254e-05
Position 40: 3.6024600925374226e-05
Position 326: 3.230762780704456e-05
Position 137: 2.7859950473907295e-05
Position 786: 9.994559989915383e-06
Position 817: 9.411391445522294e-06
Position 423: 7.624534582603902e-06
Position 262: 7.403446311525434e-06
Position 790: 6.644391059717873e-06
Position 432: 6.599779736135664e-06
Position 1175: 4.413205703003643e-06
Position 442: 3.302286058903984e-06
Position 206: 2.8106687070900575e-06
Position 139: 1.3625344348314976e-06
Position 1298: 1.1740654574159311e-06
Position 1633: 1.15533844415388e-06
Position 44: 8.96483674554525e-07
Position 695: 8.961289643306964e-07
Position 92: 8.883512657095822e-07
Position 762: 8.126711073358607e-07
Position 1984: 7.829158502564113e-07
Position 303: 7.22461307463946e-07
Position 195: 6.745067399095122e-07
Position 397: 6.382189160272801e-07
Position 192: 6.16297467319229e-07
Position 437: 5.510221466656555e-07
Position 733: 4.396438305651093e-07
Position 38: 3.934216567879351e-07
Position 1473: 2.7020463218031774e-07
Position 72: 2.274251665913418e-07
Position 328: 1.3311889258526257e-07
Position 347: 1.2336858173945115e-07
Position 410: 1.1544823641041532e-07
Position 450: 1.1020925750683125e-07
Position 280: 7.2235838710821e-08
Position 367: 5.570546570185683e-08
Position 390: 5.4426300590480144e-08
Position 1432: 3.0516595074985724e-08
Position 456: 1.1307974333839472e-08
Position 470: 8.00375505822748e-09
Position 566: 7.389051546531055e-09
Position 478: 2.95320744750534e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 8471: 0.26478033381149807
