Gene = Zwilch
index = 1210
Annotated 5SS: [  287  4492  7742  8758 10541 11734 12284 14410 17092 17941 19554 20220
 22949 23706 25835 26280 29025 33214]
Annotated 3SS: [ 4439  7645  8638 10340 11662 12127 14337 16997 17884 19453 20139 22791
 23676 25697 26183 28911 33087 35044]
SMsplice 5SS: [  287  4492  6309  7742  8758 10460 11734 12284 20220 22949 23231 26280
 33214]
SMsplice 3SS: [ 4439  6220  7645  8638 10340 11662 12127 20139 22791 23098 26183 33087
 35122]
top_k =  1000
Partition function (log Z): 3.042211814269992

Sorted 5' Splice Sites (High to Low Probability):
Position 7742: 0.9922340349270868
Position 8758: 0.9681652924610518
Position 12284: 0.9479826290711895
Position 22949: 0.8871836221746894
Position 33214: 0.87344171435992
Position 26280: 0.8136576145585687
Position 11734: 0.7603848065999266
Position 287: 0.7501923001503255
Position 6309: 0.7153429480269674
Position 20220: 0.596416785779386
Position 23231: 0.5955943366562764
Position 4492: 0.5926378373696132
Position 10460: 0.507628348337824
Position 12464: 0.5052103893479981
Position 5834: 0.3779087799067828
Position 17941: 0.35365144599524145
Position 20234: 0.2608210771512812
Position 29025: 0.26027541387109265
Position 25970: 0.18864621268580276
Position 10541: 0.1831052804794066
Position 232: 0.1775547129074874
Position 19558: 0.16326453246976977
Position 25835: 0.1525367689131215
Position 17842: 0.15229956942612946
Position 19554: 0.14716176520843988
Position 618: 0.13764497393451897
Position 2798: 0.1328382833767387
Position 8536: 0.12821486254347997
Position 8475: 0.11183267553981921
Position 1049: 0.10862280032501827
Position 14410: 0.10170466182745982
Position 26982: 0.09483478790676086
Position 25737: 0.08207050075965808
Position 26031: 0.060474821089198674
Position 5060: 0.05522194860606298
Position 29715: 0.053474867045372645
Position 8480: 0.05083611180699137
Position 4043: 0.049275457472417517
Position 21920: 0.04744788204267582
Position 2071: 0.046713236019204324
Position 8515: 0.044947016158394075
Position 23839: 0.037250755718705966
Position 6630: 0.036189546157639155
Position 31825: 0.03368474798503503
Position 10432: 0.027248016468543964
Position 10521: 0.027158696183185796
Position 19600: 0.02643761513136941
Position 22596: 0.025088392992227662
Position 7003: 0.021294896307175598
Position 10666: 0.020083859795733013
Position 29857: 0.017108802728291128
Position 18624: 0.016747525815357534
Position 18583: 0.01619525622552577
Position 8210: 0.01338022921388154
Position 8015: 0.012660702906374593
Position 33162: 0.012016832568095919
Position 12128: 0.011761168121978034
Position 17092: 0.011608019650734387
Position 5786: 0.011440221651214841
Position 29139: 0.010793207720999645
Position 9647: 0.01078174821181463
Position 24527: 0.010555475778969295
Position 21870: 0.010490404650243479
Position 3867: 0.010149481570725215
Position 4338: 0.009938079784471383
Position 476: 0.009551749738339475
Position 7265: 0.009348537315924613
Position 26779: 0.009076704983507836
Position 2622: 0.008856003055349173
Position 8438: 0.008652634964366402
Position 10558: 0.008422289282400849
Position 313: 0.008375008922873508
Position 33173: 0.007529353848053685
Position 8441: 0.007514422862270438
Position 10944: 0.007082019893813002
Position 1969: 0.006544769037241262
Position 8433: 0.006172259376001497
Position 16018: 0.005726004209498206
Position 6964: 0.005158769594236503
Position 3679: 0.005074170423705939
Position 8530: 0.004804577371414818
Position 7319: 0.004428477847323802
Position 23436: 0.004155487276562558
Position 4836: 0.0038942350315039616
Position 4916: 0.0037119627693571987
Position 8715: 0.0036180750002675318
Position 8255: 0.003497438196451472
Position 4930: 0.003411266076780173
Position 8430: 0.0033922196722334544
Position 2766: 0.003374578014245601
Position 23706: 0.0033296998494430014
Position 4676: 0.0032177829275098374
Position 2210: 0.0031608103904833774
Position 5799: 0.0031308695572935604
Position 8895: 0.0030900549681204662
Position 7259: 0.003042239591133563
Position 9800: 0.0029169675659026667
Position 6740: 0.002717761645589065
