Gene = Cnst
index = 278
Annotated 5SS: [  247 33399 46497 55363 58236 58698 59900 60164 64297 76533]
Annotated 3SS: [32967 46314 55331 58148 58582 59877 60066 63415 76396 78628]
SMsplice 5SS: [  247 33399 41784 46497 58236 60164 76533]
SMsplice 3SS: [33128 41643 46314 58135 60066 76396 78628]
top_k =  1000
Partition function (log Z): -52.64890529795963

Sorted 5' Splice Sites (High to Low Probability):
Position 247: 0.9312748827294887
Position 1166: 0.2755985036999024
Position 3959: 0.0820559748756032
Position 1981: 0.059571620371284294
Position 2758: 0.05149387154510622
Position 411: 0.029044586074359995
Position 1415: 0.024544331529937836
Position 5222: 0.021474349736831776
Position 537: 0.008636268212000317
Position 2142: 0.007444641818656893
Position 59: 0.007432222805611898
Position 1974: 0.006881969179027147
Position 3647: 0.006612140291729441
Position 3165: 0.006590870255118443
Position 3483: 0.005703440641539232
Position 5288: 0.0042571346446744415
Position 3973: 0.0037138844142541533
Position 2321: 0.0027969382853702037
Position 3366: 0.0019484335661216102
Position 1989: 0.001911846354703177
Position 218: 0.0018772705065634638
Position 3652: 0.0017799960230042375
Position 5397: 0.0011677016916171045
Position 488: 0.0008828162599326179
Position 3192: 0.0008447015339325343
Position 3932: 0.0007863300864191854
Position 2097: 0.0007432423408518372
Position 6481: 0.0004207715361869013
Position 115: 0.00041505165260991944
Position 356: 0.00032500876900762267
Position 2495: 0.0003191923183509367
Position 2177: 0.0002782676807161831
Position 2149: 0.0002723565500911373
Position 155: 0.00025543370728230635
Position 179: 0.00024121853593420177
Position 310: 0.00020295216917668373
Position 2093: 0.00018695430763071325
Position 1170: 0.00017437697332242552
Position 2016: 0.00012565213833975482
Position 2299: 0.00012101971261803469
Position 505: 0.00010533764766420918
Position 1356: 9.249661309803881e-05
Position 2151: 8.270666898541584e-05
Position 80: 6.534572393063102e-05
Position 1088: 5.890483479756781e-05
Position 512: 5.177023895578098e-05
Position 2384: 4.2425505469355236e-05
Position 37: 3.9967761103206466e-05
Position 632: 3.546461767319789e-05
Position 492: 3.098683440709449e-05
Position 334: 2.6571156314203664e-05
Position 346: 2.4648020956688755e-05
Position 428: 2.458458286764858e-05
Position 500: 2.1226140957032535e-05
Position 167: 1.8858200955682038e-05
Position 1805: 1.724350540785838e-05
Position 668: 1.5723415534825687e-05
Position 1284: 1.1457511293239654e-05
Position 418: 1.1403372454856805e-05
Position 2806: 1.1248192098263736e-05
Position 303: 1.037044279583102e-05
Position 895: 8.969415329819739e-06
Position 494: 7.441340296208398e-06
Position 591: 6.887524479615013e-06
Position 1978: 6.643281634625189e-06
Position 2466: 6.2966873828972895e-06
Position 904: 6.135785014631629e-06
Position 1367: 6.0620652483532035e-06
Position 1827: 5.577487256170081e-06
Position 871: 4.767650246501663e-06
