Gene = Lias
index = 633
Annotated 5SS: [  177   893  2538  3949  6263  6392  8479 11260 12742 13945]
Annotated 3SS: [  722  2443  3867  6105  6333  8349 11113 12670 13832 17237]
SMsplice 5SS: [  177  2538  3949  5345  6263  6392 11260 12742]
SMsplice 3SS: [ 2443  3867  5231  6105  6333 11113 12670 17237]
top_k =  1000
Partition function (log Z): 5.607164226124029

Sorted 5' Splice Sites (High to Low Probability):
Position 2538: 0.9557597298107444
Position 177: 0.9175251273261237
Position 6392: 0.853211032970631
Position 3949: 0.8451058563156034
Position 11260: 0.7848164199783767
Position 6263: 0.7746240365455538
Position 893: 0.5490377675803187
Position 5345: 0.537798144483501
Position 12742: 0.5304983353517713
Position 4418: 0.4736672316830737
Position 12785: 0.44906987652303904
Position 8479: 0.3753505092973713
Position 13945: 0.19569785542535018
Position 14672: 0.19470576904943937
Position 12932: 0.17400232658020756
Position 8287: 0.17050672322450797
Position 7101: 0.14410588842377808
Position 16529: 0.1417333843651369
Position 6674: 0.12266079354652502
Position 8281: 0.10666492828232625
Position 8417: 0.08353188667011248
Position 8613: 0.07973398299932517
Position 11224: 0.07877432946665054
Position 5411: 0.07217447723604185
Position 17377: 0.06522587633572587
Position 4433: 0.061572906253440474
Position 16485: 0.06139103925121694
Position 3987: 0.0530860247041377
Position 4038: 0.047450619174060835
Position 11740: 0.04616475659747136
Position 11442: 0.03341341876023125
Position 11696: 0.0326864091247292
Position 9515: 0.03251240818927022
Position 8489: 0.03148189941895928
Position 12032: 0.031108984338180854
Position 16524: 0.028727223359521034
Position 6246: 0.026479922675314103
Position 4364: 0.026088035147759973
Position 16647: 0.0257991740102328
Position 11659: 0.025369227044520402
Position 8440: 0.024808846206798515
Position 2111: 0.02415319637615881
Position 2224: 0.022699316095529633
Position 8967: 0.021829069357191495
Position 1888: 0.020461809024069046
Position 8493: 0.02020714747648327
Position 5058: 0.019664932436822505
Position 8394: 0.01880674197103259
Position 13447: 0.018364301907166307
Position 75: 0.017960622463193073
Position 6695: 0.017914018688190845
Position 7839: 0.017877091607989858
Position 14600: 0.014903375378823316
Position 6415: 0.014049631519736396
Position 10424: 0.013414869426142818
Position 7835: 0.012951275665422389
Position 582: 0.012379980685842428
Position 13366: 0.011775529835707458
Position 16267: 0.01087638938526716
Position 1637: 0.010691344004834536
Position 6250: 0.010635099906095093
Position 12806: 0.010384159291605162
Position 16253: 0.010022351639460742
Position 9414: 0.009591714503735468
Position 84: 0.00951780534360083
Position 8249: 0.008602438758471408
Position 1714: 0.008247286459875868
Position 4487: 0.008104903513765964
Position 8266: 0.008045927054561076
Position 3914: 0.007392719707197907
Position 4457: 0.007272748425062612
Position 70: 0.00699289490919073
Position 7935: 0.006523568293903147
Position 6224: 0.006250842145125143
Position 9429: 0.006181352429407143
Position 11642: 0.005815341273837826
Position 2240: 0.005443293322764668
Position 5366: 0.004343898188181941
Position 2067: 0.004228592573033114
Position 7915: 0.0042084655082491994
Position 2236: 0.004118563817135784
Position 1622: 0.0036998280861517832
Position 4628: 0.0036700355471897712
Position 6868: 0.0035252606909074867
Position 2268: 0.0032767281111699366
Position 5016: 0.003225777795026952
Position 11872: 0.003038808250589192
Position 12485: 0.0029565513227389935
Position 11451: 0.002628558090309058
Position 11395: 0.002626349942753817
Position 2867: 0.002559148126285739
Position 4193: 0.0025096546714411428
Position 6267: 0.0024894741116581005
Position 16239: 0.002395271168650324
Position 7920: 0.0023339233697120434
Position 747: 0.0023232542719865096
Position 8123: 0.002323251818956056
Position 3580: 0.002135754408414989
Position 4465: 0.0021013399793248628
Position 4389: 0.0019794630635020264
Position 365: 0.0019767772691802487
Position 5068: 0.0019281363255945455
Position 556: 0.0018537107976978745
Position 3617: 0.0017337317291674678
Position 4022: 0.0016608563695820115
Position 2485: 0.0016233347608867114
Position 5392: 0.001440171477632026
Position 5361: 0.0014195750347707852
Position 826: 0.001397499609647092
Position 5323: 0.0011795237409856214
Position 6219: 0.001133715366322151
Position 5329: 0.0010834464748111844
