Gene = Sprr2d
index = 1019
Annotated 5SS: [42]
Annotated 3SS: [1094]
SMsplice 5SS: [42]
SMsplice 3SS: [1094]
top_k =  1000
Partition function (log Z): -5.289623892279991

Sorted 5' Splice Sites (High to Low Probability):
Position 42: 0.9903257262438512
Position 371: 0.0957410679443861
Position 367: 0.019181238630776226
Position 442: 0.010539270186262157
Position 1368: 0.009928293490381969
Position 600: 0.009832754374341286
Position 506: 0.00926659903638039
Position 244: 0.006954845321348218
Position 1206: 0.004283853520463913
Position 297: 0.002426903599158466
Position 1179: 0.0019685774522061263
Position 1233: 0.0009603086148235755
Position 900: 0.0008340462154931974
Position 1373: 0.0008053418552732799
Position 1162: 0.0005741357460459094
Position 1609: 0.0005459227055586825
Position 710: 0.0004847922136387088
Position 444: 0.000425211247459848
Position 150: 0.00042397094958419905
Position 398: 0.0003479185948307317
Position 1422: 0.0002933775519290867
Position 1208: 0.00028825202381162104
Position 454: 0.0002155647308607854
Position 1600: 0.00015146960712190166
Position 489: 0.00010073530125664263
Position 417: 8.314947095713787e-05
Position 1164: 7.89133838852198e-05
Position 1350: 7.37609542528626e-05
Position 9: 6.965318189917895e-05
Position 1193: 6.728420872068169e-05
Position 60: 3.2948026599239735e-05
Position 1220: 2.3341843651862423e-05
Position 452: 2.319746205011322e-05
Position 392: 2.228169167664185e-05
Position 68: 2.1875312392980926e-05
Position 301: 2.0024487756569505e-05
Position 259: 1.6071351522604955e-05
Position 88: 1.4104905521645638e-05
Position 161: 1.3550211938305214e-05
Position 470: 1.3071506496973854e-05
Position 46: 1.296700150159395e-05
Position 433: 1.2793865144211458e-05
Position 74: 1.0093150671437188e-05
Position 1508: 9.652401115430604e-06
Position 621: 9.287080970160958e-06
Position 93: 7.801677408853038e-06
Position 179: 7.71362210980382e-06
Position 1532: 7.70726434381445e-06
Position 124: 5.705130575077901e-06
Position 591: 5.572127547306944e-06
Position 198: 4.268367865183282e-06
Position 519: 3.4438122864859604e-06
Position 1543: 3.218671327341552e-06
Position 1274: 3.1638868575305886e-06
Position 1286: 2.9440880654729016e-06
Position 725: 2.9111061658190205e-06
Position 604: 2.8959674923122016e-06
Position 164: 6.803636481046497e-07
Position 205: 5.928642185498649e-07
Position 191: 4.574987248777543e-07
Position 129: 3.27861032174917e-07
Position 48: 3.2092954676233605e-07
Position 96: 2.3200731015991003e-07
Position 115: 1.659667535276894e-07
Position 117: 1.5880733854333467e-07
Position 327: 1.4626586074409485e-07
Position 77: 1.315707993050027e-07
Position 912: 9.223519273170933e-08
Position 1247: 8.485854568392889e-08
Position 271: 5.999649258072369e-08
Position 575: 5.058648516750148e-08
Position 1383: 3.95845474708046e-08
Position 232: 2.3929966088826356e-08
Position 1003: 1.4162775813106514e-08
Position 997: 1.3291193555327962e-08
Position 273: 8.665504519930648e-09
Position 517: 8.201189871046245e-11
Position 1134: 4.5943192395454713e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 1094: 0.8476703195189039
Position 284: 0.10042607944847871
Position 342: 0.05933125050264439
Position 409: 0.03214882113697424
Position 1524: 0.02664691746072822
Position 228: 0.024006570371340293
Position 1308: 0.013641276268934936
Position 1652: 0.012242899538615131
Position 1305: 0.007362464529862147
Position 1347: 0.005218680611389713
Position 1699: 0.0041264802634778065
Position 461: 0.0035256814902923372
Position 129: 0.002938728972155335
Position 1433: 0.002517408014213954
Position 1344: 0.0024702132159774392
Position 1128: 0.0022565876530667734
Position 441: 0.0018674324499555399
Position 1233: 0.001852116221573361
Position 1267: 0.001759661499660544
Position 1125: 0.001759545899556802
Position 370: 0.0016999194193715865
