Gene = Uri1
index = 1169
Annotated 5SS: [  433 22856 36673 37932 49937 50163 52222 54312 56150 57077]
Annotated 3SS: [22820 36593 37795 49844 50104 52052 53962 56009 56832 57844]
SMsplice 5SS: [  433  1294 22856 36673 37932 52222 54241 55923 56150 57077]
SMsplice 3SS: [ 1200 22820 36593 37795 52052 54172 55796 56009 56832 57938]
top_k =  1000
Partition function (log Z): -39.10108803679125

Sorted 5' Splice Sites (High to Low Probability):
Position 1294: 0.8414177009647807
Position 433: 0.7339872236398313
Position 4873: 0.207337120147649
Position 117: 0.15982195935634708
Position 4868: 0.12057566364936215
Position 186: 0.08064126679989954
Position 8191: 0.05513336853062113
Position 8041: 0.025526396706981588
Position 12733: 0.015019568553244267
Position 1289: 0.014986792404251449
Position 2447: 0.013704847706037752
Position 2157: 0.008825057032699608
Position 1306: 0.00842791325122611
Position 403: 0.007872711463332679
Position 594: 0.006430533923296898
Position 144: 0.005664249765088968
Position 127: 0.00518774746970879
Position 4059: 0.004649517646160265
Position 4171: 0.0042982789950816455
Position 4175: 0.004260521351585887
Position 2183: 0.003120546049600553
Position 2910: 0.0018328833690309785
Position 3374: 0.001638713276368702
Position 2407: 0.001624226536147565
Position 2187: 0.001549529940967372
Position 1678: 0.0015223163400928633
Position 8045: 0.0013879409687520571
Position 2734: 0.0013333322926397067
Position 616: 0.0006129143835062431
Position 612: 0.0005365357860807166
Position 265: 0.0005358531792667288
Position 333: 0.0005047615306878437
Position 5615: 0.0004608659051719177
Position 5156: 0.00045463700727529227
Position 973: 0.0004407298401475486
Position 4676: 0.0004341475952946576
Position 4896: 0.0004217694537908855
Position 73: 0.0004193673202419644
Position 653: 0.00041075856318595897
Position 4401: 0.0003881856993889818
Position 6073: 0.0003869606344863225
Position 2400: 0.00037030590460245607
Position 2576: 0.00029796650127040603
Position 690: 0.0002813016718492584
Position 5303: 0.00023903652337655087
Position 845: 0.00021582092590836672
Position 602: 0.00019426735691933914
Position 832: 0.000143221408149441
Position 476: 0.00014169003443405845
Position 761: 0.00010375886342070533
Position 43: 9.903408409392325e-05
Position 978: 9.498922423221692e-05
Position 71: 9.172304795967261e-05
Position 828: 8.810476865769284e-05
Position 450: 7.035754021087146e-05
Position 213: 5.7056937429033545e-05
Position 218: 3.98771414486039e-05
Position 125: 3.335247545560911e-05
Position 522: 3.228768952992992e-05
Position 981: 2.8398768108059614e-05
Position 790: 2.776440824942574e-05
Position 589: 2.5592301130625164e-05
Position 18: 2.4659106870129644e-05
Position 938: 2.436854810636153e-05
Position 59: 2.392479903434634e-05
Position 787: 1.7796690810568133e-05
Position 777: 1.6530296072450393e-05
Position 281: 1.376915776492993e-05
Position 292: 1.3274493731487572e-05
Position 1315: 1.0850125874934288e-05
Position 716: 9.700687439421602e-06
Position 1003: 8.430274765851927e-06
Position 1420: 7.544461544005775e-06
Position 605: 6.324170030963802e-06
Position 934: 6.187811199614979e-06
Position 737: 5.3507638856855815e-06
Position 1275: 5.2555628945290276e-06
Position 739: 4.755750108633753e-06
Position 955: 3.833381252379261e-06
Position 1368: 3.702380118509349e-06
Position 1645: 3.584167367292833e-06
Position 2133: 3.4374774696711707e-06
Position 1197: 2.702277898653784e-06
Position 1280: 1.5559849516766185e-06
Position 3349: 9.278487668173089e-07
Position 924: 8.340434371366035e-07
Position 2451: 7.301064225357385e-07
Position 1411: 4.674938337362584e-07
Position 1424: 4.223745377949279e-07
Position 1754: 3.6707611242189955e-07
Position 1772: 3.454761497021985e-07
Position 1209: 2.1286773584051287e-07
Position 2390: 1.6075825672102347e-07
Position 1224: 1.469487406026916e-07
Position 1652: 8.581021726448424e-08
Position 3401: 7.009483658805642e-08
Position 1865: 4.404515398332183e-09
Position 1201: 2.680524321231153e-09
Position 1634: 1.896466390215901e-09
Position 1977: 1.8208707754678209e-09
Position 1844: 1.3586528087821434e-09
Position 1732: 1.3497701752924624e-09
Position 1599: 2.034343364000631e-11
Position 1268: 2.0146343873995386e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 1200: 0.8613182783940647
Position 22820: 0.44634150855671667
Position 4791: 0.2720441411005876
Position 8260: 0.15706848623108768
Position 13190: 0.11271798124262862
Position 12632: 0.07609820449099863
Position 7892: 0.05446806512473162
Position 10329: 0.0392869684430391
Position 8096: 0.03348429112108098
Position 16279: 0.023941319617946467
Position 4847: 0.021744321120513565
Position 16011: 0.018875885692502217
Position 12239: 0.014288305599954927
Position 2051: 0.014252908331474268
Position 2239: 0.013140351952145229
Position 11123: 0.011375751989509195
Position 4733: 0.011010048206067992
Position 3944: 0.010965005114323051
Position 10367: 0.010908690186959284
Position 4696: 0.008715178319791827
Position 6454: 0.0073340672107342865
Position 4600: 0.0063209273822798714
Position 4515: 0.006146312863584795
Position 8022: 0.0061377138563164305
Position 286: 0.00587332618430955
Position 8357: 0.004419757066152602
Position 3589: 0.0043001404231514965
Position 9121: 0.0041939144479700066
Position 10707: 0.004175445344208174
Position 5986: 0.0038887605119735246
Position 5085: 0.0038228985121495735
Position 9646: 0.003746663259360765
Position 9296: 0.0034413454052262295
Position 12435: 0.002838476821895728
Position 10820: 0.002772661232008098
Position 6836: 0.0026592426079964206
Position 4675: 0.0025676221585635636
Position 5097: 0.002235591786597311
Position 8790: 0.0021609835299041293
Position 2248: 0.001949988143869557
Position 8256: 0.0019368112739820043
Position 8044: 0.0018079734599552482
Position 4652: 0.0017926424202327166
Position 11861: 0.0017309768201306012
Position 7382: 0.0016652161855839043
Position 2104: 0.0016392392533747223
Position 7437: 0.0016366944640409792
Position 2566: 0.0013862753702692694
Position 4086: 0.0013673892441847394
Position 1133: 0.0013569431917375505
Position 7895: 0.001316543447945944
Position 4737: 0.0012926688153764643
Position 4054: 0.0012664752018174275
Position 5256: 0.001265422840939237
Position 4661: 0.0012037238744561688
Position 6476: 0.0010755674208383858
Position 6136: 0.0010088934035774658
Position 5323: 0.0010073176502129232
Position 2733: 0.0010047475478865307
Position 8656: 0.0009971166395195813
Position 9533: 0.0009871351618386923
Position 10980: 0.0009415134284816321
Position 1209: 0.0009205208292824247
Position 1074: 0.0008157464282954651
Position 1528: 0.0007794170300714952
Position 2783: 0.0007710167345750923
Position 2242: 0.0007454654079103085
Position 6670: 0.0007449270221948035
Position 5028: 0.000694960201633595
Position 2268: 0.0006709023146421633
Position 8635: 0.0006694457491603034
Position 8942: 0.0006202536878832187
Position 367: 0.0006142407082823383
Position 3053: 0.0006011420138408958
Position 306: 0.0005659189514304701
Position 5203: 0.0005646465527835063
Position 7111: 0.0005452728504511698
Position 5259: 0.0005238822991873154
Position 5008: 0.0004924781705284632
Position 2524: 0.00046926645635310583
Position 8275: 0.0004575738649650685
Position 8552: 0.00045574471488578014
Position 7159: 0.0004551250330379151
Position 1147: 0.000442516952053648
Position 4313: 0.0004123817273841794
Position 2495: 0.00041197961133448096
Position 1617: 0.0004089174459993258
Position 2136: 0.00040716642896689763
Position 3098: 0.00040546136204656875
Position 9348: 0.00040309525147461025
Position 8190: 0.0004030165727608542
Position 5425: 0.00039218190842941466
Position 3253: 0.0003762077084115942
Position 1557: 0.00036880030373906533
Position 3855: 0.0003617838451523435
Position 3633: 0.0003514424544900526
Position 4701: 0.000350764523367178
Position 6927: 0.00028713850545134803
Position 1962: 0.0002854228783059844
Position 3891: 0.0002851398911321029
Position 7593: 0.00027887519015817874
Position 3143: 0.0002733669044350273
Position 9990: 0.0002554004044091513
Position 6371: 0.00019967940946162265
Position 2625: 0.0001970812216242255
Position 6162: 0.00017684615343927608
Position 3261: 0.0001742404960417412
Position 6879: 0.0001718113070960037
Position 4596: 0.0001648736634932408
Position 7505: 0.00015294668012826132
Position 7583: 0.00013934898053192185
Position 4895: 0.00013922696195996302
Position 5059: 0.00012376736724634878
Position 2799: 0.00010265995745760962
Position 2260: 0.00010149864019620895
Position 2969: 8.872088845622975e-05
Position 1246: 8.834113437958722e-05
Position 3059: 8.310375705200024e-05
Position 357: 7.93389688629654e-05
Position 5369: 7.880709765515745e-05
Position 5182: 7.609068021604678e-05
Position 1152: 6.79132126679177e-05
Position 3585: 6.788662541183684e-05
Position 6098: 6.219886397182281e-05
Position 2580: 6.0880916146465094e-05
Position 5839: 5.813332070341114e-05
Position 4206: 5.504895181075516e-05
Position 1561: 5.161869851020035e-05
Position 3604: 4.741962518231096e-05
Position 351: 4.689830194005506e-05
Position 345: 4.629534056209639e-05
Position 400: 4.4317264313783225e-05
Position 2817: 3.5399068194432676e-05
Position 513: 3.53161729549565e-05
Position 3674: 3.339676075696633e-05
Position 4480: 3.289141527014863e-05
Position 1797: 3.0347634295382232e-05
Position 1021: 2.8863705603927393e-05
Position 1076: 2.875770537573544e-05
Position 6233: 2.872969252385976e-05
Position 3079: 2.8179277611081058e-05
Position 3374: 2.7258883522063212e-05
Position 1287: 2.6868686053440055e-05
Position 4300: 2.4435283013993357e-05
Position 1533: 2.245067382008682e-05
Position 1869: 2.0812149703031492e-05
Position 3149: 2.0675310578424206e-05
Position 640: 2.0353062132466435e-05
Position 2422: 1.830316333361019e-05
Position 5065: 1.7020255389775245e-05
Position 2749: 1.6753229126888842e-05
Position 5273: 1.6659984421440666e-05
Position 1634: 1.2831745382845373e-05
Position 426: 1.2206905384551996e-05
Position 327: 1.062918817645279e-05
Position 376: 9.870792892235972e-06
Position 2977: 9.179812186598728e-06
Position 3638: 8.709558008994555e-06
Position 204: 8.387511364002398e-06
Position 810: 8.18306016850236e-06
