Gene = Hrk
index = 547
Annotated 5SS: [381]
Annotated 3SS: [14729]
SMsplice 5SS: [ 381 6272]
SMsplice 3SS: [ 6131 18978]
top_k =  1000
Partition function (log Z): -15.786538172889909

Sorted 5' Splice Sites (High to Low Probability):
Position 6272: 0.8801005648523074
Position 381: 0.6202437176881819
Position 13130: 0.34691989808000595
Position 3013: 0.30095813551862477
Position 128: 0.27989602823210535
Position 5261: 0.22674628298538585
Position 3354: 0.22261498036827032
Position 2662: 0.17541303552847562
Position 1512: 0.1741576888906862
Position 1767: 0.1251245172487396
Position 4561: 0.11731183914322388
Position 1722: 0.10642951544093066
Position 1913: 0.10047893332382057
Position 2657: 0.08530573648588978
Position 269: 0.047778698822001545
Position 10208: 0.04493682687394191
Position 2941: 0.040320519308904
Position 5235: 0.03715313717525235
Position 1647: 0.035745023155739304
Position 13194: 0.034982397506873125
Position 1376: 0.029231659816405065
Position 310: 0.027141471173679467
Position 1342: 0.026253640725854524
Position 1249: 0.02552864373534108
Position 8298: 0.015966968623974568
Position 3020: 0.01577385325901527
Position 9602: 0.015598243259148901
Position 4566: 0.01198193969340694
Position 1394: 0.01178763628716529
Position 7545: 0.010744520686381208
Position 504: 0.007684947815311125
Position 1433: 0.006863814893353182
Position 3660: 0.005883580708044381
Position 5205: 0.005675009590331401
Position 2182: 0.005429689205419987
Position 1447: 0.005102363047643108
Position 456: 0.005064627973107384
Position 10084: 0.004377905573158499
Position 1733: 0.004018336236419863
Position 6255: 0.0028679062546265797
Position 186: 0.002478797068265045
Position 1566: 0.0016045656414325148
Position 7884: 0.0015490937450378627
Position 6489: 0.001257707864827945
Position 1684: 0.0011989020241186751
Position 2060: 0.0011034845254855811
Position 253: 0.0010517125107145993
Position 3069: 0.0009760672595248768
Position 1318: 0.0008170480234941255
Position 2925: 0.0007848707333602145
Position 10129: 0.0007022542779792377
Position 2220: 0.0006104871575409001
Position 1421: 0.0006073369394562219
Position 1552: 0.000550007280180941
Position 337: 0.0005413191942056762
Position 6457: 0.0005283613887308695
Position 3076: 0.0004683059877944264
Position 1745: 0.000316301860650674
Position 79: 0.00026912094192374985
Position 1278: 0.00021935446511026795
Position 481: 0.00021393241598426148
Position 1440: 0.00018086983381747988
Position 2807: 0.00016523756049217534
Position 1350: 0.0001639276955054286
Position 1691: 0.00016314496524935123
Position 1859: 0.0001466289500415156
Position 7115: 0.0001428445006965949
Position 1305: 0.00011416257176872848
Position 1918: 0.00011368849413779162
Position 1501: 0.00010519975308754765
Position 1516: 0.00010358533954184401
Position 2673: 7.160068852516798e-05
Position 84: 5.825699454367833e-05
Position 1444: 4.615375715914624e-05
Position 1662: 3.08078228895546e-05
Position 7030: 1.829166944266057e-05
Position 7670: 1.6617137626541535e-05
Position 6792: 1.3525478773723026e-05
Position 2246: 8.884951217889795e-06
Position 77: 8.64394660806528e-06
Position 43: 8.416516156459301e-06
Position 37: 8.07845712288518e-06
Position 1043: 5.994964319636989e-06
