Gene = Znhit6
index = 1205
Annotated 5SS: [  765  1936  2127  2299  6401 16653 18449 19970 24348]
Annotated 3SS: [ 1869  2019  2212  6296 16583 18367 19891 24225 27702]
SMsplice 5SS: [  765  2127  4601  6401 18449 19970 24348]
SMsplice 3SS: [ 2019  4490  6296 18367 19891 24225 27940]
top_k =  1000
Partition function (log Z): -3.099070688459015

Sorted 5' Splice Sites (High to Low Probability):
Position 6401: 0.9999883924337692
Position 19970: 0.9998307067180172
Position 24348: 0.9981900118795872
Position 2127: 0.9909986999686441
Position 765: 0.760874565466005
Position 4601: 0.754680834131483
Position 25390: 0.5458743397378258
Position 25694: 0.3525713468814689
Position 2299: 0.34705142657636323
Position 535: 0.1776081285677271
Position 1936: 0.1775835040295222
Position 27709: 0.17277590036996696
Position 541: 0.1613837548163586
Position 25958: 0.13346385194014523
Position 24865: 0.12873329645606824
Position 2838: 0.10297896495003622
Position 553: 0.09613634531408258
Position 5186: 0.052986987952064156
Position 703: 0.04650261887108019
Position 836: 0.04385237986421527
Position 25473: 0.04301841109688316
Position 53: 0.03863803119430145
Position 128: 0.033932621393105995
Position 27816: 0.03370387126436809
Position 1262: 0.029385992470745623
Position 62: 0.02351781500549098
Position 4381: 0.018457341043058385
Position 176: 0.013508429901285519
Position 952: 0.013505652743731745
Position 4815: 0.011822585276406821
Position 2455: 0.01089861191656169
Position 27820: 0.010579030415791855
Position 187: 0.009308670050621108
Position 942: 0.009095435280945892
Position 27824: 0.008573942999255395
Position 433: 0.006846756577339465
Position 4946: 0.005938728791279166
Position 2656: 0.005760043369367343
Position 343: 0.005319147262580109
Position 505: 0.005080975005629237
Position 25275: 0.005023040109839903
Position 1870: 0.004846604190844526
Position 1856: 0.0036787103846200797
Position 27828: 0.0036456324631548498
Position 221: 0.0036325611579893567
Position 2511: 0.0033329491953291808
Position 355: 0.002404817731229855
Position 399: 0.002299530114859829
Position 1088: 0.0016149569300715682
Position 2419: 0.0014598444825132196
Position 4996: 0.0014109580437561807
Position 2479: 0.0014048296071999683
Position 890: 0.0013250654212405657
Position 4343: 0.001277415001272378
Position 1989: 0.001276912294963363
Position 415: 0.001266318976323821
Position 2955: 0.0012638120478914118
Position 366: 0.0012307767515241362
Position 4310: 0.0012201165473909998
Position 4810: 0.0012004358786680987
Position 6081: 0.0011349531335637056
Position 4460: 0.001079240757138925
Position 2303: 0.0009890249835061784
Position 4018: 0.000938732741945685
Position 1255: 0.0008422922226951084
Position 403: 0.00062114593837045
Position 520: 0.0004997330599921408
Position 733: 0.0004906140378671548
Position 831: 0.0004050581625819027
Position 571: 0.00030466034292139896
Position 94: 0.00025737816729626343
Position 1414: 0.0002444583545119949
Position 460: 0.00023865467167555346
Position 1944: 0.0002286771790017643
Position 490: 0.00020734810545856093
Position 857: 0.00019967659065925981
Position 479: 0.00019706190114193286
Position 1279: 0.0001709597425208112
Position 1900: 0.00015386717340881465
Position 487: 0.00015265822165625443
Position 622: 0.00014222907926673056
Position 83: 0.0001337259919414477
Position 614: 7.773001537641728e-05
Position 2254: 7.2341121040685e-05
Position 637: 5.602704266926594e-05
Position 4118: 5.267223141228145e-05
Position 340: 4.47377740683849e-05
Position 1212: 3.876549740944364e-05
Position 3510: 3.209425969258873e-05
Position 10040: 3.115902548089504e-05
Position 385: 3.115183547532712e-05
Position 3202: 3.078358372476935e-05
Position 4054: 2.931809250736854e-05
Position 358: 2.3181933714797602e-05
Position 7094: 1.9725012070135806e-05
Position 380: 1.811503541005332e-05
Position 86: 1.7361231501007812e-05
Position 36: 1.5806380374133904e-05
Position 7547: 1.3801522754793135e-05
Position 6654: 1.2870214350935532e-05
Position 8025: 1.0651273895426679e-05
Position 2124: 1.0373589294041762e-05
Position 8051: 8.060652999866025e-06
Position 2399: 6.031887489039524e-06
Position 15040: 4.206396413745044e-06
Position 10742: 3.979069666891684e-06
Position 6577: 2.808317450625637e-06
Position 9490: 1.9982185216058326e-06
Position 7543: 1.9890192688293655e-06
Position 3185: 1.809268057335505e-06
Position 8792: 1.7508005803059443e-06
Position 10475: 1.2557796329881469e-06
Position 3824: 1.147060009301032e-06
Position 10758: 1.0543048841297897e-06
Position 10688: 9.803799808006833e-07
Position 7585: 9.517997364370752e-07
Position 6875: 9.131074510786735e-07
Position 9591: 7.267412305600125e-07
Position 10284: 5.345464785921719e-07
Position 453: 4.256800496268001e-07
Position 106: 4.0208404125251673e-07
Position 6421: 3.7156595838844104e-07
Position 46: 3.5702272315345953e-07
Position 57: 2.011490994192581e-07
Position 6628: 1.8401598195808858e-07
Position 10073: 1.6470435347493272e-07
