Gene = Sprr2j-ps
index = 1022
Annotated 5SS: [82]
Annotated 3SS: [718]
SMsplice 5SS: [82]
SMsplice 3SS: [718]
top_k =  1000
Partition function (log Z): -9.972809969814493

Sorted 5' Splice Sites (High to Low Probability):
Position 82: 0.8889311891327935
Position 246: 0.07576669784407733
Position 150: 0.02502283564899338
Position 768: 0.004253668072918045
Position 609: 0.004008468204585301
Position 29: 0.0023050106738117244
Position 553: 0.0010922227669799898
Position 525: 0.0010305077134319272
Position 250: 0.0006025842321776201
Position 117: 0.0005955311241174252
Position 520: 0.0004698325280892961
Position 263: 0.00043592799280008733
Position 49: 0.0004103690618558902
Position 472: 0.00036318046084071433
Position 100: 0.00025768490674908336
Position 392: 0.00024857759370263755
Position 349: 0.0002444493065580312
Position 660: 0.00022542455586515157
Position 135: 0.00017262108929237506
Position 189: 0.0001513206550971693
Position 88: 0.00014658278152146275
Position 57: 0.0001411306437725841
Position 16: 0.00010823384123481952
Position 86: 0.00010555676176669628
Position 127: 0.00010165886492410926
Position 581: 9.88242417324477e-05
Position 622: 9.144346031250132e-05
Position 425: 8.894171988621917e-05
Position 653: 8.538039610828843e-05
Position 829: 7.672908908471609e-05
Position 203: 6.937758074776544e-05
Position 856: 6.0878053918307436e-05
Position 6: 5.613089194217018e-05
Position 490: 5.08844493282548e-05
Position 103: 4.8629413701022154e-05
Position 464: 4.559349644332255e-05
Position 108: 3.916906777203685e-05
Position 802: 3.6285957921477745e-05
Position 883: 3.624344403027392e-05
Position 429: 2.8345229365686716e-05
Position 418: 1.2299903322669807e-05
Position 253: 1.220120482278919e-05
Position 291: 1.1736394648620126e-05
Position 961: 1.1218861425451397e-05
Position 865: 1.0611746464450125e-05
Position 304: 1.0270049988769332e-05
Position 470: 7.145423868247356e-06
Position 509: 5.968115093672486e-06
Position 1072: 4.287151270996448e-06
Position 359: 3.069887848571868e-06
Position 786: 3.0099255863047993e-06
Position 816: 2.9186502568912308e-06
Position 907: 2.0364922883679895e-06
Position 991: 1.841716187513275e-06
Position 168: 1.2554607998007052e-06
Position 293: 6.38896605364537e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 718: 0.7972109813143352
Position 576: 0.0503345698521727
Position 370: 0.03117946326345428
Position 802: 0.02767992567631119
Position 606: 0.02458438063568573
Position 499: 0.016286728124939344
Position 245: 0.011644149434776098
Position 541: 0.005553026262952845
Position 829: 0.005238094868767514
Position 856: 0.00494178869723626
Position 180: 0.0040504961351547145
Position 392: 0.003368930069980997
Position 1205: 0.0030165312964832995
Position 1191: 0.002793371606123318
Position 955: 0.002538944707118551
Position 552: 0.002161083914679283
Position 609: 0.0018706172869925799
Position 304: 0.001621003148904539
Position 1166: 0.001488895589677225
Position 883: 0.0012472950297522309
Position 750: 0.0012119678925686672
Position 907: 0.0009950700291121595
Position 755: 0.0008039112602660492
Position 249: 0.0006001455939596796
Position 1297: 0.00048509252700916267
Position 733: 0.00048425448327706256
Position 809: 0.0004714745331203024
Position 168: 0.0004349990260511738
Position 320: 0.00040079926912767834
Position 632: 0.0002545843732784767
Position 1237: 0.00022659712297910632
Position 863: 0.00022558492770266745
Position 317: 0.00021778981903337015
Position 200: 0.00021128707353680265
Position 581: 0.0002097430884099452
Position 919: 0.00017120060726443434
Position 758: 0.00016798760974121116
Position 434: 0.00014562915861926368
Position 520: 0.00011195061170255289
Position 635: 0.00010311243016418007
Position 916: 0.00010075817107018932
Position 1037: 9.522493311475482e-05
Position 1248: 7.788452533262957e-05
Position 752: 7.704037439118415e-05
Position 1125: 7.244470487147854e-05
Position 403: 7.159365058688359e-05
Position 509: 6.3334854952121e-05
Position 1087: 6.175853162939777e-05
Position 639: 6.015815554023114e-05
Position 203: 5.6025936385500836e-05
Position 614: 5.401381023666804e-05
Position 776: 5.191130871615887e-05
Position 961: 4.310787250799716e-05
Position 838: 4.1205160796204906e-05
Position 1010: 3.9082486946757205e-05
Position 767: 3.764622853236213e-05
Position 726: 3.503095442397217e-05
Position 525: 3.404400449231753e-05
Position 1220: 3.256004522391636e-05
Position 1213: 3.1552520018122014e-05
Position 1013: 3.151163485651255e-05
Position 1131: 3.123858822477503e-05
Position 425: 3.106635974602912e-05
Position 1020: 2.7839885020434527e-05
Position 1044: 2.1531879460606646e-05
Position 442: 1.8148909455824997e-05
Position 221: 1.7037407487962873e-05
Position 660: 1.5029875064353596e-05
Position 135: 1.4537678311613907e-05
Position 650: 1.4355850409267695e-05
Position 865: 1.1703076029918424e-05
Position 811: 1.0862574981933104e-05
Position 146: 1.0363392044160537e-05
Position 975: 9.923534545228488e-06
Position 973: 8.657446709550395e-06
Position 154: 8.049097376098804e-06
Position 983: 7.837718840120695e-06
Position 327: 6.877038554381757e-06
Position 261: 5.372385770091496e-06
Position 764: 5.336461230104125e-06
Position 1225: 4.618853985113783e-06
Position 406: 3.7759020430535643e-06
Position 150: 2.8783404609030378e-06
Position 892: 2.656214875361085e-06
Position 991: 1.1862320298023151e-06
Position 994: 1.0697199247858638e-06
Position 1215: 6.722898644393673e-07
Position 207: 2.184449898219235e-08
Position 73: 1.7657682228859975e-09
Position 100: 1.759220832855882e-09
Position 75: 2.3942181586018825e-11
Position 86: 1.6705787795390613e-13
