Gene = Mtp
index = 1290
Annotated 5SS: [ 191 1605 2591 3191 3426]
Annotated 3SS: [ 804 1659 2649 3257 3483]
SMsplice 5SS: [ 191 1605 2591 3191 3426]
SMsplice 3SS: [ 600 1659 2649 3257 3483]
top_k =  100
Partition function (log Z): 11.868178784828718

Sorted 5' Splice Sites (High to Low Probability):
Position 2591: 0.9993547571112333
Position 3426: 0.9964590795916318
Position 3191: 0.993272169874173
Position 1605: 0.9858497119982048
Position 191: 0.979394085397635
Position 1734: 0.05701760826673237
Position 2971: 0.04323189408282456
Position 2288: 0.043124440724896025
Position 2251: 0.03638674997963698
Position 456: 0.03508390106696383
Position 433: 0.03427059269709174
Position 2835: 0.02917564139049478
Position 451: 0.015784306961013003
Position 2113: 0.014255308152627124
Position 394: 0.008129810795496595
Position 222: 0.006821878792168644
Position 1978: 0.005747477704219066
Position 1210: 0.005662361911812851
Position 736: 0.005363650953855394
Position 409: 0.004644869362417501
Position 742: 0.004536283834608733
Position 1609: 0.0033859910879318576
Position 195: 0.002925262857897755
Position 492: 0.002791332235214697
Position 3141: 0.002410374941658947
Position 2845: 0.0022769597090777165
Position 2938: 0.0016578094175531157
Position 1821: 0.0016369965491185585
Position 46: 0.0016180119233304168
Position 469: 0.0015794309278655148
Position 385: 0.001271025859466603
Position 260: 0.0009763851441014752
Position 2929: 0.0008367191784916431
Position 400: 0.0007850774978367595
Position 1825: 0.0007353637489924187
Position 3195: 0.0004741710912306308
Position 2958: 0.00047223792312735285
Position 2713: 0.00036212962895576333
Position 2888: 0.0002969767004170479
Position 2560: 0.00019857139289290685
Position 3542: 0.0001528234770196428
Position 2724: 9.993342118589082e-05
Position 3634: 4.74228344975928e-05
Position 3430: 3.831842691621993e-05
Position 981: 2.7737649684337377e-05
Position 3345: 1.1409260849343135e-05
Position 2726: 2.2513028791002746e-07
Position 1738: 2.1846444474605102e-07
Position 95: 1.8620467790884495e-07
Position 230: 1.0665776393105993e-07
Position 64: 6.131258984783775e-08
Position 25: 5.057078545729831e-08
Position 217: 3.5823080608499776e-08
Position 144: 2.5371464178776774e-08
Position 241: 1.6816662745175554e-08
Position 3390: 1.219782275263288e-09
Position 3300: 2.319762885020427e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 2649: 0.9940314959300165
Position 1659: 0.9877522928869017
Position 3257: 0.9711068604005927
Position 600: 0.5599549945783436
Position 3483: 0.5064197011297348
Position 3514: 0.486294487310712
Position 263: 0.3833443466731214
Position 2316: 0.08736076607681971
Position 3035: 0.06920175926941087
Position 2357: 0.04674840215135391
Position 296: 0.02651931420448807
Position 538: 0.025618235199572504
Position 3313: 0.022866387576137646
Position 1157: 0.017813659141867434
Position 804: 0.017661452362133262
Position 1282: 0.016035419967038417
Position 1380: 0.00952125243345289
Position 1110: 0.009372676613743617
Position 267: 0.00913763753626833
Position 2187: 0.008916425575380364
Position 838: 0.008313547454094232
Position 2287: 0.006421082536568557
Position 2958: 0.005836365012355414
Position 1359: 0.005257678586102406
Position 1807: 0.004960122017033603
Position 1890: 0.004823147539266912
Position 2661: 0.004765348539452491
Position 241: 0.004528343657948902
Position 828: 0.0042192931102045216
Position 660: 0.003865336929601067
Position 510: 0.003488232129935149
Position 3053: 0.003004366096336663
Position 3627: 0.002710247441587969
Position 2168: 0.0019694218030619696
Position 3471: 0.00170304661984039
Position 2134: 0.001444693106486471
Position 1810: 0.0012455464855414147
Position 2031: 0.0010387470723131835
Position 1665: 0.000784667729524623
Position 100: 0.0007176016562230023
Position 3266: 0.0006784667415103925
Position 2775: 0.0005645367981665857
Position 1786: 0.000523814067557729
Position 3345: 0.0004849848056373185
Position 2684: 0.00042848879501854533
Position 2968: 0.00027590596750876983
Position 3318: 0.00024675712701502383
Position 3326: 0.00019105967077605798
Position 2675: 9.218495653283654e-05
Position 3701: 8.65393860784239e-05
Position 3637: 8.014733655131869e-05
Position 112: 7.634939881422252e-05
Position 3405: 4.339614539429548e-05
Position 3768: 2.717027139693126e-05
Position 95: 2.700306247720312e-05
Position 373: 1.5142483132936466e-05
Position 3377: 1.1012255606253591e-05
Position 3742: 8.619528821679302e-06
