Gene = Tango1
index = 1546
Annotated 5SS: [ 293 2508 3057 3242 3990 4149]
Annotated 3SS: [ 398 2619 3108 3364 4046 4206]
SMsplice 5SS: [ 293 1146 3057 3242 3990 4149 4940]
SMsplice 3SS: [ 398 2619 3108 3364 4046 4206 5088]
top_k =  100
Partition function (log Z): 9.546991443693496

Sorted 5' Splice Sites (High to Low Probability):
Position 4149: 0.999908582785353
Position 293: 0.9871342491945656
Position 3990: 0.847487514777681
Position 3242: 0.810608849636869
Position 3057: 0.6493542635036823
Position 1146: 0.6448836110832903
Position 4940: 0.5769445756531598
Position 897: 0.33158671132805706
Position 3039: 0.2647843621379547
Position 2508: 0.053188369860427166
Position 3510: 0.047352969750576936
Position 3277: 0.020591981676116772
Position 4954: 0.019767337910426806
Position 2715: 0.0174091548504687
Position 3946: 0.01736700830302698
Position 4982: 0.011762035783044153
Position 3636: 0.010245447166574871
Position 649: 0.007948043917964743
Position 610: 0.007697487716995912
Position 1169: 0.006253038541364012
Position 3814: 0.006224426025690815
Position 3869: 0.00553069692344549
Position 617: 0.005431751662238916
Position 626: 0.005173344761967429
Position 845: 0.0049236810282408255
Position 1397: 0.004481918074737513
Position 3404: 0.004294664263929095
Position 806: 0.003424978202851452
Position 444: 0.00311626085841339
Position 319: 0.0027828963757211404
Position 5038: 0.0027548306200080993
Position 4368: 0.0022426538373866685
Position 3011: 0.0021483426552664987
Position 636: 0.00195355474611781
Position 1945: 0.001873625359324189
Position 1855: 0.0018352956389722105
Position 3851: 0.0016869995933954823
Position 2010: 0.0016521682131182673
Position 3767: 0.0016240201645067336
Position 3173: 0.0013866816613070413
Position 3495: 0.00092858274394865
Position 674: 0.0007528388909155469
Position 525: 0.0006783623721133594
Position 1885: 0.0006421567243345259
Position 287: 0.0006275652307718589
Position 4843: 0.0005646150683750401
Position 3619: 0.000547322970352373
Position 4403: 0.00038246213354433474
Position 270: 0.0002970987479714523
Position 4972: 0.00027801647102814104
Position 20: 0.00026741581330512443
Position 300: 0.00021749830001981652
Position 57: 0.00021183923375082982
Position 4421: 0.0001260176961726421
Position 347: 7.223658898508688e-05
Position 297: 4.4136579100713786e-05
Position 240: 2.9685118152194654e-05
Position 4153: 2.7530284876174105e-05
Position 4839: 2.6086917006150143e-05
Position 188: 2.0280612268736286e-05
Position 686: 8.797857525824628e-06
Position 25: 3.245681156689559e-06
Position 86: 2.375360586999659e-07
Position 213: 1.790113812233134e-07
Position 104: 9.329425226566136e-08
Position 202: 9.00987285165276e-08
Position 4105: 6.191875101914747e-08
Position 224: 4.821354140814053e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 4206: 0.9944883317913571
Position 3364: 0.9758062957613386
Position 4046: 0.9573991733478436
Position 2619: 0.9185901248049946
Position 398: 0.8708755321476427
Position 3108: 0.6224454839741105
Position 5088: 0.5919937061673045
Position 956: 0.20281719651724142
Position 3094: 0.1284780038653768
Position 2869: 0.09281607597721214
Position 5002: 0.02150541025582336
Position 4048: 0.006704268232977354
Position 4213: 0.0054294882649815815
Position 1069: 0.004754073667694905
Position 3311: 0.0027687093421063735
Position 773: 0.0017597142458522762
Position 2555: 0.0011541758331448618
Position 1009: 0.001033871810620035
Position 5097: 0.0008250636635860214
Position 979: 0.00046913750153976464
Position 3340: 0.000425848672813534
Position 4914: 0.0002576243758331735
Position 5134: 0.00020657864568944428
Position 758: 0.00010274379576353993
Position 3320: 8.531016848153238e-05
Position 86: 6.991878574352832e-05
Position 3389: 6.937925612692574e-05
Position 89: 6.430524379862666e-05
Position 583: 5.705747752227835e-05
Position 4601: 3.134357841139087e-05
Position 4887: 2.890540350404552e-05
Position 496: 2.3644447417377933e-05
Position 4267: 1.798776865989408e-05
Position 95: 8.413474076434075e-06
Position 177: 5.48208718244793e-06
Position 183: 2.877286637980071e-06
Position 162: 4.96398751158354e-07
Position 264: 4.775299569705251e-07
Position 4262: 3.7002204865877865e-07
Position 166: 2.4813327448408833e-07
Position 104: 3.86281889815463e-08
