Gene = fmt
index = 1703
Annotated 5SS: [ 121  504  770 1149 1524 1725 1899 2533 2653 3764]
Annotated 3SS: [ 343  569  823 1209 1585 1779 1958 2587 2710 3937]
SMsplice 5SS: [ 121  504  770 1149 1524 1725 1899 2533 2653 3004 3764]
SMsplice 3SS: [ 343  569  823 1209 1585 1779 1958 2587 2710 3075 3952]
top_k =  100
Partition function (log Z): 20.917150471999136

Sorted 5' Splice Sites (High to Low Probability):
Position 2533: 0.9992825325242602
Position 1899: 0.999057854894162
Position 1524: 0.9985730436707854
Position 1149: 0.9857788532104367
Position 2653: 0.9840483412540341
Position 504: 0.9205444974336949
Position 3764: 0.9156009869252223
Position 1725: 0.9081650499763415
Position 770: 0.637900956792882
Position 121: 0.6132688963990651
Position 3004: 0.48240983789294056
Position 754: 0.3062560576795932
Position 2052: 0.2611102145058168
Position 3000: 0.07846891481871945
Position 3264: 0.07282033829511639
Position 4137: 0.06352248441017162
Position 3788: 0.04451918996299468
Position 4982: 0.033806340288525805
Position 2152: 0.01901934357096858
Position 94: 0.018784565298288345
Position 281: 0.017600061323828343
Position 253: 0.016595206806711848
Position 3753: 0.01325540276356766
Position 4164: 0.012774359701544195
Position 3014: 0.011767891018369584
Position 908: 0.008679989318262171
Position 3784: 0.0065222193960342845
Position 3031: 0.006334029876010943
Position 2059: 0.006282958572139369
Position 881: 0.005984501030815214
Position 203: 0.0056551288914578595
Position 294: 0.004535915806758463
Position 2104: 0.0033413660718771433
Position 276: 0.0030683331485805436
Position 3024: 0.0030205429886106176
Position 198: 0.0027082309228834305
Position 266: 0.0022202304639194646
Position 431: 0.001571891984636565
Position 287: 0.001567564527659067
Position 1019: 0.0009654952614733033
Position 730: 0.00096275582827109
Position 127: 0.0009618375022821707
Position 508: 0.0008690365740278866
Position 125: 0.0008217783598056655
Position 292: 0.0005389728662966902
Position 4: 0.0005154460220417912
Position 52: 0.0005062574552758026
Position 1671: 0.0004821284713808237
Position 55: 0.00033864408527961695
Position 108: 0.0002628252073678134
Position 285: 0.00025375161806193906
Position 1662: 0.00024789308884707434
Position 64: 0.0002373262403128883
Position 82: 0.00020363049816248902
Position 201: 0.00019479484347944488
Position 2537: 0.00018789515784406244
Position 2657: 0.00017320526885078412
Position 209: 0.00014413323971390737
Position 359: 0.0001426980844890438
Position 3432: 0.00013504701159594893
Position 35: 0.00012794484796573732
Position 2844: 0.0001270334943625039
Position 1438: 9.287175373187891e-05
Position 1492: 6.595224851872958e-05
Position 1528: 5.6317530677782686e-05
Position 1489: 5.5602415159453514e-05
Position 335: 4.731624648262375e-05
Position 264: 4.124427071106837e-05
Position 2951: 2.8804691892780696e-05
Position 1903: 2.2651219731367857e-05
Position 1698: 1.1502679265382493e-05
Position 1431: 9.2422243998436e-06
Position 2432: 8.854133536333877e-06
Position 1540: 8.254264938047332e-06
Position 2425: 7.022461474078435e-06
Position 2420: 2.4970594477692645e-06
Position 1843: 1.8944017029598504e-06
Position 681: 1.8788492964544004e-06
Position 666: 1.7932914755256936e-06
Position 722: 7.737250224831961e-07
Position 2056: 6.559950147866362e-07
Position 1974: 3.696234913626046e-08
Position 1120: 1.3680938318276678e-08
Position 17: 5.490277848843642e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 2587: 0.9995446857848597
Position 1585: 0.999489283157076
Position 1958: 0.9911720935095204
Position 2710: 0.9724823792597154
Position 823: 0.9602545492659126
Position 1209: 0.8940819173948985
Position 1779: 0.8911860709957768
Position 569: 0.8906901044040068
Position 3952: 0.8273538599282283
Position 3075: 0.5908084902648543
Position 343: 0.477401309722184
Position 407: 0.20695964787679558
Position 2125: 0.18506373534316325
Position 4233: 0.08538238303678528
Position 2151: 0.07316145951507591
Position 3337: 0.07256445808742301
Position 3973: 0.0709041359011616
Position 3937: 0.04467197363886392
Position 5350: 0.03380634028852578
Position 1267: 0.03135744953012016
Position 2446: 0.029724212512487354
Position 1222: 0.029001572993881283
Position 3976: 0.02841356104359096
Position 1321: 0.0264100159827371
Position 1792: 0.017850913171061893
Position 968: 0.013692811941458473
Position 937: 0.013212121318749848
Position 201: 0.004736592176885896
Position 2035: 0.0034387692285194936
Position 2205: 0.0030730522454308594
Position 2790: 0.0030466969369833765
Position 798: 0.002306268765959855
Position 1100: 0.0020269741546384583
Position 808: 0.0018879668503000956
Position 1338: 0.0017667028339968071
Position 2007: 0.0014223975401483485
Position 2103: 0.001294255625202937
Position 1398: 0.0011046225492953932
Position 1461: 0.0005321734965668388
Position 546: 0.0004996660823199483
Position 1347: 0.00048469426832943
Position 483: 0.00042551649151298246
Position 292: 0.00036550466189093865
Position 2004: 0.0002916185149174628
Position 366: 0.0002539573212336103
Position 614: 0.00022136532500064245
Position 1830: 0.00013240860370911746
Position 264: 0.0001313540443096322
Position 1610: 7.126992570245287e-05
Position 3080: 4.276879067488714e-05
Position 1587: 3.9795484090462575e-05
Position 2635: 1.8964995226162413e-05
Position 458: 1.4957989929427277e-05
Position 1646: 1.2706708067767747e-05
Position 1843: 1.9443748057350285e-06
Position 1625: 1.6100018501190903e-06
Position 94: 6.609222393089523e-07
Position 82: 5.865370938029196e-07
Position 137: 4.5238418864885194e-07
Position 1982: 2.934098626249193e-08
