Gene = G6P
index = 1173
Annotated 5SS: [ 157  381  954 1123]
Annotated 3SS: [ 215  454 1003 1170]
SMsplice 5SS: [ 381  954 1123]
SMsplice 3SS: [ 454 1003 1170]
top_k =  100
Partition function (log Z): 0.6628116899859069

Sorted 5' Splice Sites (High to Low Probability):
Position 954: 0.9920029060962652
Position 381: 0.933190895824049
Position 1123: 0.8168106513477652
Position 157: 0.4594839719602452
Position 1333: 0.18425388677949867
Position 1322: 0.01174357927137298
Position 183: 0.0073773894478210405
Position 945: 0.003970891617874568
Position 385: 0.0026465624942514027
Position 941: 0.00221028598201307
Position 800: 0.0005753736452363939
Position 1225: 0.0005706478483659904
Position 1307: 0.00028202332364078806
Position 1255: 0.0001361950928143082
Position 302: 0.00013117415483518486
Position 1277: 0.00010097293912528495
Position 958: 9.586010771902731e-05
Position 1269: 4.40309862622354e-05
Position 724: 2.3007383077375795e-05
Position 896: 1.9350786961576094e-05
Position 253: 1.8632765690297977e-05
Position 299: 1.0598315632922443e-05
Position 1127: 9.998656205258285e-06
Position 42: 5.102030591551983e-06
Position 221: 3.139222014190268e-06
Position 83: 2.4153236588729547e-06
Position 103: 1.7384399720170731e-06
Position 311: 8.907180080867396e-07
Position 276: 4.491520379877876e-07
Position 76: 4.4124399105656213e-07
Position 1046: 1.3824518603844062e-08
Position 902: 2.0614803400165514e-13
Position 571: 1.812398394208337e-13
Position 720: 1.724677241586952e-13
Position 398: 2.4910799493867536e-18

Sorted 3' Splice Sites (High to Low Probability):
Position 1003: 0.962245538609444
Position 454: 0.9112114637371095
Position 1170: 0.7619678072924608
Position 215: 0.39199412400721534
Position 1381: 0.2547295664399509
Position 251: 0.0631159812227701
Position 1022: 0.018158150585474136
Position 497: 0.014126059040809984
Position 1071: 0.011964043394269203
Position 221: 0.005302205654652863
Position 311: 0.005239850813406915
Position 521: 0.005122215607120574
Position 867: 0.0038948561219193704
Position 1322: 0.0014149007042973038
Position 551: 0.001298964082491778
Position 315: 0.0006985141214706264
Position 1046: 0.0006804182391271994
Position 1388: 0.0005793395650282524
Position 1264: 0.0004794620441969335
Position 1354: 0.0004140998627505401
Position 1261: 0.0003944860267261559
Position 492: 0.0003537840941978514
Position 356: 0.00026336733859102775
Position 230: 5.645334878022084e-05
Position 1073: 1.345955732755702e-05
Position 264: 3.8620491889507925e-06
Position 190: 6.962788614951768e-08
Position 200: 3.35934096175201e-08
